type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,384,34,64:54,E4,E4,0.1021,M2,120,4/4,C Major
note,621,32,66:62,F#4,Gb4,0.051,P5,120,4/4,C Major
note,1102,58,59:51,B3,B3,0.2552,M2,120,4/4,C Major
note,1191,73,61:58,C#4,Db4,0.2552,M2,120,4/4,C Major
note,1282,46,63:60,D#4,Eb4,0.2552,m2,120,4/4,C Major
note,1375,53,64:71,E4,E4,0.2552,m2,120,4/4,C Major
note,1463,43,63:62,D#4,Eb4,0.2552,m2,120,4/4,C Major
note,1561,69,64:62,E4,E4,0.2552,M2,120,4/4,C Major
note,1658,78,66:64,F#4,Gb4,0.2041,M2,120,4/4,C Major
note,1752,72,68:70,G#4,Ab4,0.2041,m2,120,4/4,C Major
note,1847,39,69:59,A4,A4,0.2552,M2,120,4/4,C Major
note,1938,48,71:85,B4,B4,0.2552,m3,120,4/4,C Major
note,2059,49,68:60,G#4,Ab4,0.3062,P4,120,4/4,C Major
note,2151,295,73:80,C#5,Db5,0.2552,M6,120,4/4,C Major
note,2173,46,64:67,E4,E4,0.2552,m2,120,4/4,C Major
note,2259,44,63:56,D#4,Eb4,0.3062,m2,120,4/4,C Major
note,2349,45,64:61,E4,E4,0.3572,M2,120,4/4,C Major
note,2442,52,66:58,F#4,Gb4,0.4082,M2,120,4/4,C Major
note,2538,42,64:66,E4,E4,0.3572,M2,120,4/4,C Major
note,2625,88,66:71,F#4,Gb4,0.4082,m3,120,4/4,C Major
note,2626,36,63:63,D#4,Eb4,0.3572,m2,120,4/4,C Major
note,2713,52,64:53,E4,E4,0.4082,M3,120,4/4,C Major
note,2724,104,68:66,G#4,Ab4,0.4082,M2,120,4/4,C Major
note,2812,80,66:56,F#4,Gb4,0.4082,M3,120,4/4,C Major
note,2820,65,70:64,A#4,Bb4,0.4082,P5,120,4/4,C Major
note,2923,44,63:66,D#4,Eb4,0.4593,m6,120,4/4,C Major
note,2925,79,71:77,B4,B4,0.4082,m7,120,4/4,C Major
note,3014,69,61:59,C#4,Db4,0.4082,M6,120,4/4,C Major
note,3018,58,70:68,A#4,Bb4,0.4593,P5,120,4/4,C Major
note,3103,44,63:59,D#4,Eb4,0.4082,m6,120,4/4,C Major
note,3122,74,71:76,B4,B4,0.4593,P5,120,4/4,C Major
note,3199,68,64:69,E4,E4,0.4082,M6,120,4/4,C Major
note,3211,144,73:74,C#5,Db5,0.4593,P5,120,4/4,C Major
note,3307,60,66:74,F#4,Gb4,0.4082,M6,120,4/4,C Major
note,3311,184,75:74,D#5,Eb5,0.3572,P5,120,4/4,C Major
note,3399,62,68:71,G#4,Ab4,0.4082,m6,120,4/4,C Major
note,3399,130,76:68,E5,E5,0.4082,P5,120,4/4,C Major
note,3502,52,69:68,A4,A4,0.3572,M6,120,4/4,C Major
note,3502,95,78:76,F#5,Gb5,0.3572,P1,120,4/4,C Major
note,3585,46,66:71,F#4,Gb4,0.3572,M6,120,4/4,C Major
note,3592,78,75:69,D#5,Eb5,0.3062,P5,120,4/4,C Major
note,3711,27,68:65,G#4,Ab4,0.3062,m3,120,4/4,C Major
note,3713,62,71:72,B4,B4,0.2552,M2,120,4/4,C Major
note,3798,54,69:62,A4,A4,0.3062,m7,120,4/4,C Major
note,3911,29,59:62,B3,B3,0.3062,P1,120,4/4,C Major
note,3917,46,71:75,B4,B4,0.2552,M2,120,4/4,C Major
note,3994,87,73:55,C#5,Db5,0.3062,M6,120,4/4,C Major
note,4108,434,64:78,E4,E4,0.2552,P5,120,4/4,C Major
note,4116,55,71:64,B4,B4,0.2041,M2,120,4/4,C Major
note,4205,71,69:57,A4,A4,0.2552,M2,120,4/4,C Major
note,4315,56,71:67,B4,B4,0.2552,P5,120,4/4,C Major
note,4318,40,52:62,E3,E3,0.2041,M2,120,4/4,C Major
note,4523,320,54:74,F#3,Gb3,0.3062,m3,120,4/4,C Major
note,4539,50,69:52,A4,A4,0.3062,m2,120,4/4,C Major
note,4625,104,68:55,G#4,Ab4,0.3062,P4,120,4/4,C Major
note,4716,56,63:72,D#4,Eb4,0.3572,d5,120,4/4,C Major
note,4726,90,69:65,A4,A4,0.3062,M2,120,4/4,C Major
