type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,482,784,60:66,C4,C4,0.051,m2,120,4/4,C Major
note,1203,714,61:72,C#4,Db4,0.051,m2,120,4/4,C Major
note,1875,727,60:73,C4,C4,0.051,m2,120,4/4,C Major
note,2535,768,59:69,B3,B3,0.051,P4,120,4/4,C Major
note,3222,717,64:73,E4,E4,0.051,m2,120,4/4,C Major
note,3880,782,65:75,F4,F4,0.051,P5,120,4/4,C Major
note,4536,725,58:76,A#3,Bb3,0.051,m2,120,4/4,C Major
note,5215,721,57:73,A3,A3,0.051,m2,120,4/4,C Major
note,5887,741,56:62,G#3,Ab3,0.051,m2,120,4/4,C Major
note,6571,1311,55:43,G3,G3,0.051,M2,120,4/4,C Major
note,7806,152,53:39,F3,F3,0.1021,P1,120,4/4,C Major
note,8099,183,53:46,F3,F3,0.2041,M2,120,4/4,C Major
note,8244,185,55:55,G3,G3,0.1531,m7,120,4/4,C Major
note,8392,598,65:76,F4,F4,0.1531,M6,120,4/4,C Major
note,8414,141,56:46,G#3,Ab3,0.1021,P1,120,4/4,C Major
note,8697,167,56:58,G#3,Ab3,0.2041,M2,120,4/4,C Major
note,8836,126,58:60,A#3,Bb3,0.2041,m7,120,4/4,C Major
note,8962,634,68:78,G#4,Ab4,0.2041,m6,120,4/4,C Major
note,8974,104,60:62,C4,C4,0.1531,m2,120,4/4,C Major
note,9102,191,47:59,B2,B2,0.1531,m2,120,4/4,C Major
note,9256,157,48:59,C3,C3,0.2041,M2,120,4/4,C Major
note,9396,171,50:52,D3,D3,0.1531,P4,120,4/4,C Major
note,9560,576,67:76,G4,G4,0.1021,M3,120,4/4,C Major
note,9565,563,51:47,D#3,Eb3,0.051,m3,120,4/4,C Major
note,10123,611,66:73,F#4,Gb4,0.1531,d5,120,4/4,C Major
note,10273,137,48:54,C3,C3,0.1531,M2,120,4/4,C Major
note,10404,160,50:59,D3,D3,0.2041,m2,120,4/4,C Major
note,10552,201,51:63,D#3,Eb3,0.1531,m6,120,4/4,C Major
note,10710,635,71:79,B4,B4,0.1021,d5,120,4/4,C Major
note,10716,706,53:52,F3,F3,0.051,P5,120,4/4,C Major
note,11312,642,72:77,C5,C5,0.1531,M6,120,4/4,C Major
note,11447,188,51:54,D#3,Eb3,0.1531,M2,120,4/4,C Major
note,11599,119,53:55,F3,F3,0.2041,M2,120,4/4,C Major
note,11745,203,55:52,G3,G3,0.1531,m7,120,4/4,C Major
note,11887,686,65:72,F4,F4,0.1021,M6,120,4/4,C Major
note,11898,688,56:43,G#3,Ab3,0.051,m6,120,4/4,C Major
note,12478,611,64:67,E4,E4,0.1531,M6,120,4/4,C Major
note,12620,156,55:48,G3,G3,0.1531,M2,120,4/4,C Major
note,12773,133,57:55,A3,A3,0.2041,M2,120,4/4,C Major
note,12902,162,59:53,B3,B3,0.1531,m2,120,4/4,C Major
note,13064,982,60:42,C4,C4,0.1021,m3,120,4/4,C Major
note,13065,680,63:63,D#4,Eb4,0.051,m2,120,4/4,C Major
note,13684,1221,62:61,D4,D4,0.1021,m3,120,4/4,C Major
note,13996,154,59:41,B3,B3,0.2041,M2,120,4/4,C Major
note,14128,125,57:41,A3,A3,0.2552,m3,120,4/4,C Major
note,14264,69,60:53,C4,C4,0.3062,m2,120,4/4,C Major
note,14345,66,59:56,B3,B3,0.3062,m2,120,4/4,C Major
note,14419,57,60:56,C4,C4,0.3062,m2,120,4/4,C Major
note,14488,71,59:57,B3,B3,0.3062,m2,120,4/4,C Major
note,14573,52,60:55,C4,C4,0.2552,m2,120,4/4,C Major
note,14633,71,59:55,B3,B3,0.2041,m2,120,4/4,C Major
note,14716,57,60:63,C4,C4,0.1531,m2,120,4/4,C Major
note,14801,45,59:58,B3,B3,0.2041,m2,120,4/4,C Major
note,14861,260,60:55,C4,C4,0.1531,P4,120,4/4,C Major
note,15172,328,55:51,G3,G3,0.3062,P4,120,4/4,C Major
note,15179,110,60:33,C4,C4,0.2552,M2,120,4/4,C Major
note,15326,163,62:57,D4,D4,0.2041,M2,120,4/4,C Major
note,15473,664,48:86,C3,C3,0.2552,M3,120,4/4,C Major
