type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,480,543,73:43,C#5,Db5,0.0456,P4,120,4/4,C Major
note,996,560,78:51,F#5,Gb5,0.0456,m2,120,4/4,C Major
note,1536,564,77:56,F5,F5,0.0456,m2,120,4/4,C Major
note,2077,604,78:55,F#5,Gb5,0.0456,m2,120,4/4,C Major
note,2590,247,77:56,F5,F5,0.0913,M2,120,4/4,C Major
note,2846,243,75:55,D#5,Eb5,0.0913,M2,120,4/4,C Major
note,3089,233,73:58,C#5,Db5,0.1369,M2,120,4/4,C Major
note,3345,113,75:58,D#5,Eb5,0.1826,M2,120,4/4,C Major
note,3476,83,73:61,C#5,Db5,0.2282,M2,120,4/4,C Major
note,3594,114,75:54,D#5,Eb5,0.1826,M2,120,4/4,C Major
note,3714,84,73:63,C#5,Db5,0.1826,M2,120,4/4,C Major
note,3830,85,71:55,B4,B4,0.1369,M2,120,4/4,C Major
note,3945,151,73:57,C#5,Db5,0.0913,M2,120,4/4,C Major
note,4125,1056,75:55,D#5,Eb5,0.0456,M2,120,4/4,C Major
note,5696,575,73:61,C#5,Db5,0.0456,M2,120,4/4,C Major
note,6232,577,71:63,B4,B4,0.0456,m2,120,4/4,C Major
note,6783,594,70:63,A#4,Bb4,0.0456,M2,120,4/4,C Major
note,7325,585,68:59,G#4,Ab4,0.0456,P4,120,4/4,C Major
note,7884,650,73:50,C#5,Db5,0.0456,m3,120,4/4,C Major
note,8440,491,70:41,A#4,Bb4,0.0456,M3,120,4/4,C Major
note,8962,508,66:53,F#4,Gb4,0.0913,P1,120,4/4,C Major
note,9198,276,78:48,F#5,Gb5,0.1369,P4,120,4/4,C Major
note,9443,535,73:58,C#5,Db5,0.1369,M3,120,4/4,C Major
note,9458,227,77:54,F5,F5,0.0913,m2,120,4/4,C Major
note,9681,257,78:58,F#5,Gb5,0.1369,M2,120,4/4,C Major
note,9940,326,80:46,G#5,Ab5,0.1369,m6,120,4/4,C Major
note,9941,514,72:60,C5,C5,0.0913,m3,120,4/4,C Major
note,10178,242,75:50,D#5,Eb5,0.1369,M2,120,4/4,C Major
note,10433,507,73:54,C#5,Db5,0.1369,M3,120,4/4,C Major
note,10437,219,77:56,F5,F5,0.0913,m2,120,4/4,C Major
note,10670,279,78:58,F#5,Gb5,0.1369,d5,120,4/4,C Major
note,10918,239,72:54,C5,C5,0.1826,m6,120,4/4,C Major
note,10940,1073,80:47,G#5,Ab5,0.1369,m7,120,4/4,C Major
note,11157,267,70:58,A#4,Bb4,0.0913,M2,120,4/4,C Major
note,11394,238,68:60,G#4,Ab4,0.1826,M2,120,4/4,C Major
note,11651,112,70:49,A#4,Bb4,0.3651,m6,120,4/4,C Major
note,11656,212,78:55,F#5,Gb5,0.3195,m7,120,4/4,C Major
note,11783,63,68:65,G#4,Ab4,0.3195,M6,120,4/4,C Major
