type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density
ticksPerQuarter,0,0,384,384,,
keySignature,0,0,0:0,C Major,,
timeSignature,0,0,4:4,4/4,,
setTempo,0,0,500000,120,,
noteOn,384,44,67:52,G4,G4,0.1021
noteOn,673,134,69:47,A4,A4,0.2041
noteOn,797,123,67:59,G4,G4,0.2041
noteOn,927,96,66:65,F#4,Gb4,0.1531
noteOn,1033,150,67:64,G4,G4,0.1021
noteOn,1164,68,69:62,A4,A4,0.1531
noteOn,1424,130,71:66,B4,B4,0.2041
noteOn,1519,128,69:68,A4,A4,0.2041
noteOn,1642,132,67:70,G4,G4,0.1531
noteOn,1753,154,69:68,A4,A4,0.1531
noteOn,1891,47,71:66,B4,B4,0.1021
noteOn,2134,46,69:58,A4,A4,0.1021
noteOn,2383,42,67:63,G4,G4,0.1021
noteOn,2637,25,62:52,D4,D4,0.1021
noteOn,2919,496,72:60,C5,C5,0.051
noteOn,3426,50,71:57,B4,B4,0.1021
noteOn,3683,38,69:70,A4,A4,0.1021
noteOn,3939,32,67:69,G4,G4,0.1021
noteOn,4171,32,66:72,F#4,Gb4,0.1021
noteOn,4445,497,76:74,E5,E5,0.051
noteOn,4944,72,74:58,D5,D5,0.1021
noteOn,5213,102,76:59,E5,E5,0.2041
noteOn,5331,127,74:55,D5,D5,0.2041
noteOn,5455,107,72:60,C5,C5,0.1531
noteOn,5578,126,71:54,B4,B4,0.1531
noteOn,5707,66,69:50,A4,A4,0.1531
noteOn,5961,98,72:56,C5,C5,0.2041
noteOn,6078,86,71:51,B4,B4,0.2041
noteOn,6183,102,69:49,A4,A4,0.2041
noteOn,6313,125,67:47,G4,G4,0.1531
noteOn,6460,37,66:56,F#4,Gb4,0.2552
noteOn,6466,41,62:47,D4,D4,0.2041
noteOn,6708,109,64:48,E4,E4,0.3062
noteOn,6720,37,67:57,G4,G4,0.2552
noteOn,6835,105,62:51,D4,D4,0.2552
noteOn,6951,129,61:57,C#4,Db4,0.2552
noteOn,6970,33,69:62,A4,A4,0.2041
noteOn,7080,137,62:52,D4,D4,0.2041
noteOn,7211,47,64:56,E4,E4,0.2552
noteOn,7223,35,67:57,G4,G4,0.2041
noteOn,7463,35,69:64,A4,A4,0.3062
noteOn,7467,100,66:63,F#4,Gb4,0.2552
noteOn,7567,114,64:58,E4,E4,0.2552
noteOn,7682,131,62:63,D4,D4,0.2552
noteOn,7699,44,71:65,B4,B4,0.2041
noteOn,7800,152,64:65,E4,E4,0.1531
noteOn,7935,73,66:69,F#4,Gb4,0.2552
noteOn,7961,29,69:65,A4,A4,0.2041
noteOn,8186,33,64:67,E4,E4,0.3062
noteOn,8211,68,71:48,B4,B4,0.2552
noteOn,8297,98,73:55,C#5,Db5,0.3062
noteOn,8414,100,74:55,D5,D5,0.3062
noteOn,8420,40,62:60,D4,D4,0.2552
noteOn,8540,108,71:44,B4,B4,0.2552
noteOn,8655,35,57:57,A3,A3,0.2552
noteOn,8672,63,73:55,C#5,Db5,0.2552
noteOn,8778,150,71:54,B4,B4,0.2041
noteOn,8918,509,67:64,G4,G4,0.2552
noteOn,8927,97,73:57,C#5,Db5,0.2041
noteOn,9053,108,74:53,D5,D5,0.2552
noteOn,9167,112,76:57,E5,E5,0.2552
noteOn,9291,116,73:57,C#5,Db5,0.3062
noteOn,9406,58,66:65,F#4,Gb4,0.3062
noteOn,9418,112,74:64,D5,D5,0.2552
noteOn,9536,88,73:67,C#5,Db5,0.3062
noteOn,9637,64,64:71,E4,E4,0.3062
noteOn,9644,135,74:73,D5,D5,0.2552
noteOn,9762,144,76:67,E5,E5,0.3062
noteOn,9871,55,62:75,D4,D4,0.3062
noteOn,9876,95,78:73,F#5,Gb5,0.2552
noteOn,9990,136,74:64,D5,D5,0.2041
noteOn,10111,42,61:76,C#4,Db4,0.2552
noteOn,10122,111,76:69,E5,E5,0.2552
noteOn,10241,160,74:69,D5,D5,0.2552
noteOn,10376,172,76:71,E5,E5,0.2552
noteOn,10377,508,71:74,B4,B4,0.2041
noteOn,10501,120,78:71,F#5,Gb5,0.2552
noteOn,10615,107,79:65,G5,G5,0.2041
noteOn,10724,170,76:62,E5,E5,0.1531
noteOn,10865,70,78:70,F#5,Gb5,0.2552
noteOn,10869,46,69:60,A4,A4,0.2552
noteOn,11124,110,71:51,B4,B4,0.4082
noteOn,11128,130,79:63,G5,G5,0.3572
