type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density
ticksPerQuarter,0,0,480,480,,
keySignature,0,0,-4:0,Ab Major,,
timeSignature,0,0,4:4,4/4,,
setTempo,0,0,500000,120,,
noteOn,480,239,56:80,Ab3,Ab3,0.1369
noteOn,720,239,63:80,Eb4,Eb4,0.1369
noteOn,960,239,60:80,C4,C4,0.1369
noteOn,1200,239,56:80,Ab3,Ab3,0.1369
noteOn,1440,239,65:80,F4,F4,0.1369
noteOn,1680,239,61:80,Db4,Db4,0.0913
noteOn,1920,599,63:80,Eb4,Eb4,0.0913
noteOn,2400,239,51:80,Eb3,Eb3,0.3195
noteOn,2520,119,61:80,Db4,Db4,0.3195
noteOn,2640,119,60:80,C4,C4,0.3651
noteOn,2640,239,56:80,Ab3,Ab3,0.3651
noteOn,2760,119,61:80,Db4,Db4,0.3195
noteOn,2880,119,63:80,Eb4,Eb4,0.3651
noteOn,2880,239,55:80,G3,G3,0.3651
noteOn,3000,119,65:80,F4,F4,0.3195
noteOn,3120,119,67:80,G4,G4,0.3651
noteOn,3120,239,51:80,Eb3,Eb3,0.3651
noteOn,3240,119,63:80,Eb4,Eb4,0.3195
noteOn,3360,119,68:80,Ab4,Ab4,0.3651
noteOn,3360,239,60:80,C4,C4,0.3651
noteOn,3480,119,70:80,Bb4,Bb4,0.3195
noteOn,3600,119,72:80,C5,C5,0.3651
noteOn,3600,239,56:80,Ab3,Ab3,0.3651
noteOn,3720,119,70:80,Bb4,Bb4,0.3195
noteOn,3840,119,68:80,Ab4,Ab4,0.3651
noteOn,3840,239,58:80,Bb3,Bb3,0.3651
noteOn,3960,119,67:80,G4,G4,0.2739
noteOn,4080,119,65:80,F4,F4,0.2739
noteOn,4080,239,51:80,Eb3,Eb3,0.2739
noteOn,4200,119,68:80,Ab4,Ab4,0.1826
noteOn,4320,959,67:80,G4,G4,0.1826
noteOn,4320,239,58:80,Bb3,Bb3,0.1826
noteOn,4560,239,55:80,G3,G3,0.1369
noteOn,4800,239,56:80,Ab3,Ab3,0.1826
noteOn,5040,239,51:80,Eb3,Eb3,0.1826
noteOn,5280,599,65:80,F4,F4,0.1826
noteOn,5280,239,56:80,Ab3,Ab3,0.1826
noteOn,5520,239,53:80,F3,F3,0.1826
noteOn,5760,599,55:80,G3,G3,0.2282
noteOn,5880,119,63:80,Eb4,Eb4,0.2282
noteOn,6000,119,62:80,D4,D4,0.2282
noteOn,6120,119,65:80,F4,F4,0.2282
noteOn,6240,719,63:80,Eb4,Eb4,0.2282
noteOn,6360,119,48:80,C3,C3,0.2282
noteOn,6480,119,49:80,Db3,Db3,0.2739
noteOn,6600,119,51:80,Eb3,Eb3,0.3195
noteOn,6720,119,53:80,F3,F3,0.3651
noteOn,6840,119,55:80,G3,G3,0.4108
noteOn,6960,119,61:80,Db4,Db4,0.4564
noteOn,6960,119,56:80,Ab3,Ab3,0.4564
noteOn,7080,119,60:80,C4,C4,0.4564
noteOn,7080,119,53:80,F3,F3,0.4564
noteOn,7200,119,61:80,Db4,Db4,0.4564
noteOn,7200,119,58:80,Bb3,Bb3,0.4564
noteOn,7320,119,65:80,F4,F4,0.4564
noteOn,7320,119,60:80,C4,C4,0.4564
noteOn,7440,119,70:80,Bb4,Bb4,0.4564
noteOn,7440,119,61:80,Db4,Db4,0.4564
noteOn,7560,119,68:80,Ab4,Ab4,0.4564
noteOn,7560,119,60:80,C4,C4,0.4564
noteOn,7680,119,67:80,G4,G4,0.5021
noteOn,7680,119,58:80,Bb3,Bb3,0.5021
noteOn,7800,119,65:80,F4,F4,0.4564
noteOn,7800,119,56:80,Ab3,Ab3,0.4564
noteOn,7920,119,63:80,Eb4,Eb4,0.4564
noteOn,7920,119,55:80,G3,G3,0.4564
noteOn,8040,119,61:80,Db4,Db4,0.4108
noteOn,8040,119,58:80,Bb3,Bb3,0.4108
noteOn,8160,239,68:80,Ab4,Ab4,0.4108
noteOn,8160,119,60:80,C4,C4,0.4108
noteOn,8160,599,56:80,Ab3,Ab3,0.4108
noteOn,8280,119,58:80,Bb3,Bb3,0.3195
noteOn,8400,239,75:80,Eb5,Eb5,0.3651
noteOn,8400,119,60:80,C4,C4,0.3651
noteOn,8520,119,61:80,Db4,Db4,0.3195
noteOn,8640,239,72:80,C5,C5,0.4108
noteOn,8640,479,63:80,Eb4,Eb4,0.4108
noteOn,8760,119,44:80,Ab2,Ab2,0.3651
noteOn,8880,239,68:80,Ab4,Ab4,0.4108
noteOn,8880,119,46:80,Bb2,Bb2,0.4108
noteOn,9000,119,48:80,C3,C3,0.3651
noteOn,9120,239,77:80,F5,F5,0.4564
noteOn,9120,479,56:80,Ab3,Ab3,0.4564
noteOn,9120,119,49:80,Db3,Db3,0.4564
noteOn,9240,119,51:80,Eb3,Eb3,0.3651
noteOn,9360,239,73:80,Db5,Db5,0.3651
noteOn,9360,119,53:80,F3,F3,0.3651
noteOn,9480,119,51:80,Eb3,Eb3,0.3195
noteOn,9600,1439,75:80,Eb5,Eb5,0.4108
noteOn,9600,479,55:80,G3,G3,0.4108
noteOn,9600,119,49:80,Db3,Db3,0.4108
noteOn,9720,119,48:80,C3,C3,0.3195
noteOn,9840,119,46:80,Bb2,Bb2,0.3651
noteOn,9960,119,49:80,Db3,Db3,0.3651
noteOn,10080,239,63:80,Eb4,Eb4,0.4564
noteOn,10080,119,56:80,Ab3,Ab3,0.4564
noteOn,10080,359,48:80,C3,C3,0.4564
noteOn,10200,119,58:80,Bb3,Bb3,0.3651
noteOn,10320,239,68:80,Ab4,Ab4,0.4108
noteOn,10320,239,60:80,C4,C4,0.4108
noteOn,10440,119,50:80,D3,D3,0.3651
noteOn,10560,239,67:80,G4,G4,0.4564
noteOn,10560,359,58:80,Bb3,Bb3,0.4564
noteOn,10560,119,51:80,Eb3,Eb3,0.4564
noteOn,10680,119,53:80,F3,F3,0.3651
noteOn,10800,239,63:80,Eb4,Eb4,0.4564
noteOn,10800,359,55:80,G3,G3,0.4564
noteOn,10920,119,58:80,Bb3,Bb3,0.4108
noteOn,11040,479,80:80,Ab5,Ab5,0.5477
noteOn,11040,239,72:80,C5,C5,0.5477
noteOn,11040,239,56:80,Ab3,Ab3,0.5477
noteOn,11160,119,55:80,G3,G3,0.4564
noteOn,11280,239,68:80,Ab4,Ab4,0.4564
noteOn,11280,239,60:80,C4,C4,0.4564
noteOn,11280,119,53:80,F3,F3,0.4564
noteOn,11400,119,51:80,Eb3,Eb3,0.3651
noteOn,11520,479,80:80,Ab5,Ab5,0.4108
noteOn,11520,599,70:80,Bb4,Bb4,0.4108
noteOn,11520,239,53:80,F3,F3,0.4108
noteOn,11520,119,50:80,D3,D3,0.4108
noteOn,11640,119,46:80,Bb2,Bb2,0.2739
noteOn,11760,119,48:80,C3,C3,0.2739
noteOn,11880,119,50:80,D3,D3,0.2739
noteOn,12000,479,79:80,G5,G5,0.3195
noteOn,12000,719,51:80,Eb3,Eb3,0.3195
noteOn,12120,119,63:80,Eb4,Eb4,0.2739
noteOn,12240,119,65:80,F4,F4,0.3195
noteOn,12360,119,67:80,G4,G4,0.3195
noteOn,12480,1079,77:80,F5,F5,0.3651
noteOn,12480,119,68:80,Ab4,Ab4,0.3651
noteOn,12600,119,70:80,Bb4,Bb4,0.3195
noteOn,12720,119,72:80,C5,C5,0.3651
noteOn,12720,239,56:80,Ab3,Ab3,0.3651
noteOn,12840,119,70:80,Bb4,Bb4,0.3195
noteOn,12960,119,68:80,Ab4,Ab4,0.3651
noteOn,12960,239,50:80,D3,D3,0.3651
noteOn,13080,119,67:80,G4,G4,0.3195
noteOn,13200,119,65:80,F4,F4,0.3195
noteOn,13200,239,58:80,Bb3,Bb3,0.3195
