type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,5:0,B Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,480,479,56:80,G#3,Ab3,0.0913,m2,120,4/4,B Major
note,960,239,55:80,G3,G3,0.1826,m2,120,4/4,B Major
note,1200,119,56:80,G#3,Ab3,0.1826,M2,120,4/4,B Major
note,1320,119,58:80,A#3,Bb3,0.1369,m2,120,4/4,B Major
note,1440,239,59:80,B3,B3,0.1369,m2,120,4/4,B Major
note,1680,239,58:80,A#3,Bb3,0.1369,M2,120,4/4,B Major
note,1920,239,56:80,G#3,Ab3,0.1369,d5,120,4/4,B Major
note,2160,239,62:80,D4,D4,0.1369,m2,120,4/4,B Major
note,2400,239,63:80,D#4,Eb4,0.1369,M6,120,4/4,B Major
note,2640,239,54:80,F#3,Gb3,0.1369,M2,120,4/4,B Major
note,2880,239,56:80,G#3,Ab3,0.1369,P1,120,4/4,B Major
note,3120,239,56:80,G#3,Ab3,0.1369,M2,120,4/4,B Major
note,3360,239,58:80,A#3,Bb3,0.1369,P1,120,4/4,B Major
note,3600,239,58:80,A#3,Bb3,0.1369,P5,120,4/4,B Major
note,3840,239,51:80,D#3,Eb3,0.1826,M2,120,4/4,B Major
note,4080,239,53:80,F3,F3,0.1369,m2,120,4/4,B Major
note,4320,719,54:80,F#3,Gb3,0.1369,M6,120,4/4,B Major
note,4320,479,63:80,D#4,Eb4,0.1369,m3,120,4/4,B Major
note,4800,239,60:80,C4,C4,0.3195,m6,120,4/4,B Major
note,5040,119,52:80,E3,E3,0.3651,M6,120,4/4,B Major
note,5040,119,61:80,C#4,Db4,0.3651,P5,120,4/4,B Major
note,5160,119,54:80,F#3,Gb3,0.3195,M6,120,4/4,B Major
note,5160,119,63:80,D#4,Eb4,0.3195,P5,120,4/4,B Major
note,5280,239,56:80,G#3,Ab3,0.3195,m6,120,4/4,B Major
note,5280,239,64:80,E4,E4,0.3195,M6,120,4/4,B Major
note,5520,119,55:80,G3,G3,0.3195,m6,120,4/4,B Major
note,5520,239,63:80,D#4,Eb4,0.3195,P5,120,4/4,B Major
note,5640,119,56:80,G#3,Ab3,0.2739,M2,120,4/4,B Major
note,5760,239,58:80,A#3,Bb3,0.3195,m3,120,4/4,B Major
note,5760,239,61:80,C#4,Db4,0.3195,P4,120,4/4,B Major
note,6000,119,56:80,G#3,Ab3,0.3195,M7,120,4/4,B Major
note,6000,239,67:80,G4,G4,0.3195,M6,120,4/4,B Major
note,6120,119,58:80,A#3,Bb3,0.2282,m2,120,4/4,B Major
note,6240,239,59:80,B3,B3,0.2739,M6,120,4/4,B Major
note,6240,239,68:80,G#4,Ab4,0.2739,P1,120,4/4,B Major
note,6480,239,56:80,G#3,Ab3,0.2282,m3,120,4/4,B Major
note,6480,239,59:80,B3,B3,0.2282,m2,120,4/4,B Major
note,6720,239,58:80,A#3,Bb3,0.2282,m3,120,4/4,B Major
note,6720,239,61:80,C#4,Db4,0.2282,P1,120,4/4,B Major
note,6960,239,61:80,C#4,Db4,0.1826,d5,120,4/4,B Major
note,7200,239,55:80,G3,G3,0.2282,m6,120,4/4,B Major
note,7200,239,63:80,D#4,Eb4,0.2282,P1,120,4/4,B Major
note,7440,239,63:80,D#4,Eb4,0.1826,P5,120,4/4,B Major
note,7680,0,56:80,G#3,Ab3,0.2739,P1,120,4/4,B Major
note,7680,479,56:80,G#3,Ab3,0.2739,M2,120,4/4,B Major
note,7920,239,54:80,F#3,Gb3,0.1826,M2,120,4/4,B Major
note,8160,479,52:80,E3,E3,0.2282,M6,120,4/4,B Major
note,8160,719,61:80,C#4,Db4,0.2282,P5,120,4/4,B Major
note,8160,479,68:80,G#4,Ab4,0.2282,P4,120,4/4,B Major
note,8640,239,51:80,D#3,Eb3,0.4108,M3,120,4/4,B Major
note,8640,239,67:80,G4,G4,0.4108,M7,120,4/4,B Major
note,8880,479,56:80,G#3,Ab3,0.4564,m3,120,4/4,B Major
note,8880,119,59:80,B3,B3,0.4564,M6,120,4/4,B Major
note,8880,119,68:80,G#4,Ab4,0.4564,P5,120,4/4,B Major
note,9000,119,61:80,C#4,Db4,0.3651,M6,120,4/4,B Major
note,9000,119,70:80,A#4,Bb4,0.3651,P5,120,4/4,B Major
note,9120,239,63:80,D#4,Eb4,0.4108,m6,120,4/4,B Major
note,9120,239,71:80,B4,B4,0.4108,m2,120,4/4,B Major
