type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,480,480,,,,,,
keySignature,0,0,4:0,E Major,,,,,,
timeSignature,0,0,12:16,12/16,,,,,,
tempo,0,0,500000,120,,,,,,
note,0,119,49:80,C#3,Db3,0.2282,m2,120,12/16,E Major
note,120,119,48:80,C3,C3,0.2282,m2,120,12/16,E Major
note,240,119,49:80,C#3,Db3,0.2282,M2,120,12/16,E Major
note,360,119,51:80,D#3,Eb3,0.2282,M2,120,12/16,E Major
note,480,119,49:80,C#3,Db3,0.2282,M2,120,12/16,E Major
note,600,119,51:80,D#3,Eb3,0.2282,P5,120,12/16,E Major
note,720,119,44:80,G#2,Ab2,0.2282,M2,120,12/16,E Major
note,840,119,46:80,A#2,Bb2,0.2282,M2,120,12/16,E Major
note,960,119,48:80,C3,C3,0.2282,m2,120,12/16,E Major
note,1080,119,49:80,C#3,Db3,0.2282,M2,120,12/16,E Major
note,1200,119,51:80,D#3,Eb3,0.2282,m2,120,12/16,E Major
note,1320,119,52:80,E3,E3,0.2282,M2,120,12/16,E Major
note,1440,119,54:80,F#3,Gb3,0.2282,M2,120,12/16,E Major
note,1560,119,52:80,E3,E3,0.2282,M2,120,12/16,E Major
note,1680,119,54:80,F#3,Gb3,0.2739,m3,120,12/16,E Major
note,1800,119,51:80,D#3,Eb3,0.3195,P4,120,12/16,E Major
note,1920,119,56:80,G#3,Ab3,0.3651,M2,120,12/16,E Major
note,2040,119,54:80,F#3,Gb3,0.4108,M2,120,12/16,E Major
note,2160,119,52:80,E3,E3,0.4108,M3,120,12/16,E Major
note,2160,119,68:80,G#4,Ab4,0.4108,P4,120,12/16,E Major
note,2280,119,51:80,D#3,Eb3,0.3651,M3,120,12/16,E Major
note,2280,119,67:80,G4,G4,0.3651,m3,120,12/16,E Major
note,2400,119,52:80,E3,E3,0.3195,M3,120,12/16,E Major
note,2400,119,68:80,G#4,Ab4,0.3195,P5,120,12/16,E Major
note,2520,719,49:80,C#3,Db3,0.2739,M6,120,12/16,E Major
note,2520,119,70:80,A#4,Bb4,0.2739,M2,120,12/16,E Major
note,2640,119,68:80,G#4,Ab4,0.2282,M2,120,12/16,E Major
note,2760,119,70:80,A#4,Bb4,0.2739,P5,120,12/16,E Major
note,2880,119,63:80,D#4,Eb4,0.2739,M2,120,12/16,E Major
note,3000,119,65:80,F4,F4,0.2739,M2,120,12/16,E Major
note,3120,119,67:80,G4,G4,0.3195,m6,120,12/16,E Major
note,3240,359,47:80,B2,B2,0.3195,M6,120,12/16,E Major
note,3240,119,68:80,G#4,Ab4,0.3195,M2,120,12/16,E Major
note,3360,119,70:80,A#4,Bb4,0.2739,m2,120,12/16,E Major
note,3480,119,71:80,B4,B4,0.3195,m2,120,12/16,E Major
note,3600,359,46:80,A#2,Bb2,0.3195,m3,120,12/16,E Major
note,3600,119,73:80,C#5,Db5,0.3195,M2,120,12/16,E Major
note,3720,119,71:80,B4,B4,0.2739,M2,120,12/16,E Major
note,3840,119,73:80,C#5,Db5,0.3195,d5,120,12/16,E Major
note,3960,359,55:80,G3,G3,0.3195,m3,120,12/16,E Major
note,3960,119,70:80,A#4,Bb4,0.3195,P4,120,12/16,E Major
note,4080,119,75:80,D#5,Eb5,0.2739,M2,120,12/16,E Major
note,4200,119,73:80,C#5,Db5,0.3195,P4,120,12/16,E Major
note,4320,359,44:80,G#2,Ab2,0.3195,m3,120,12/16,E Major
note,4320,119,71:80,B4,B4,0.3195,m2,120,12/16,E Major
note,4440,119,70:80,A#4,Bb4,0.2739,m2,120,12/16,E Major
note,4560,119,71:80,B4,B4,0.2739,P5,120,12/16,E Major
note,4680,719,52:80,E3,E3,0.2739,M3,120,12/16,E Major
note,4680,119,68:80,G#4,Ab4,0.2739,P4,120,12/16,E Major
note,4800,119,73:80,C#5,Db5,0.2282,M2,120,12/16,E Major
note,4920,119,71:80,B4,B4,0.2739,M2,120,12/16,E Major
note,5040,119,69:80,A4,A4,0.2739,m2,120,12/16,E Major
note,5160,119,68:80,G#4,Ab4,0.2739,m2,120,12/16,E Major
note,5280,119,69:80,A4,A4,0.3651,d5,120,12/16,E Major
note,5400,359,51:80,D#3,Eb3,0.3651,m3,120,12/16,E Major
note,5400,119,66:80,F#4,Gb4,0.3651,P4,120,12/16,E Major
note,5520,119,71:80,B4,B4,0.3195,M2,120,12/16,E Major
note,5640,119,69:80,A4,A4,0.4108,P4,120,12/16,E Major
note,5760,359,52:80,E3,E3,0.4108,M6,120,12/16,E Major
note,5760,119,61:80,C#4,Db4,0.4108,P5,120,12/16,E Major
note,5760,359,68:80,G#4,Ab4,0.4108,m6,120,12/16,E Major
note,5880,119,60:80,C4,C4,0.3195,m2,120,12/16,E Major
note,6000,119,61:80,C#4,Db4,0.3651,m2,120,12/16,E Major
note,6120,359,48:80,C3,C3,0.3651,m3,120,12/16,E Major
note,6120,119,63:80,D#4,Eb4,0.3651,m3,120,12/16,E Major
note,6120,719,66:80,F#4,Gb4,0.3651,P4,120,12/16,E Major
note,6240,119,61:80,C#4,Db4,0.2739,M2,120,12/16,E Major
note,6360,119,63:80,D#4,Eb4,0.3651,M2,120,12/16,E Major
note,6480,359,49:80,C#3,Db3,0.3651,P5,120,12/16,E Major
note,6480,119,56:80,G#3,Ab3,0.3651,M2,120,12/16,E Major
note,6600,119,58:80,A#3,Bb3,0.3195,M2,120,12/16,E Major
note,6720,119,60:80,C4,C4,0.3651,m2,120,12/16,E Major
note,6840,0,61:80,C#4,Db4,0.3651,P1,120,12/16,E Major
note,6840,719,61:80,C#4,Db4,0.3651,m3,120,12/16,E Major
note,6840,240,64:80,E4,E4,0.3651,m2,120,12/16,E Major
note,6960,119,63:80,D#4,Eb4,0.2739,m2,120,12/16,E Major
note,7080,119,64:80,E4,E4,0.3651,m2,120,12/16,E Major
note,7200,359,63:80,D#4,Eb4,0.3651,m3,120,12/16,E Major
note,7200,119,66:80,F#4,Gb4,0.3651,M2,120,12/16,E Major
note,7320,119,64:80,E4,E4,0.3195,M2,120,12/16,E Major
note,7440,119,66:80,F#4,Gb4,0.4108,d5,120,12/16,E Major
note,7560,359,60:80,C4,C4,0.4108,m3,120,12/16,E Major
note,7560,119,63:80,D#4,Eb4,0.4108,P1,120,12/16,E Major
note,7560,359,75:80,D#5,Eb5,0.4108,P5,120,12/16,E Major
note,7680,119,68:80,G#4,Ab4,0.3195,M2,120,12/16,E Major
note,7800,119,66:80,F#4,Gb4,0.4108,P4,120,12/16,E Major
note,7920,359,61:80,C#4,Db4,0.4108,m3,120,12/16,E Major
note,7920,119,64:80,E4,E4,0.4108,M3,120,12/16,E Major
note,7920,359,68:80,G#4,Ab4,0.4108,P4,120,12/16,E Major
note,8040,119,63:80,D#4,Eb4,0.3195,m2,120,12/16,E Major
note,8160,119,64:80,E4,E4,0.3651,m7,120,12/16,E Major
note,8280,359,54:80,F#3,Gb3,0.3651,P5,120,12/16,E Major
note,8280,119,61:80,C#4,Db4,0.3651,m6,120,12/16,E Major
note,8280,719,69:80,A4,A4,0.3651,m3,120,12/16,E Major
note,8400,119,66:80,F#4,Gb4,0.2739,M2,120,12/16,E Major
note,8520,119,64:80,E4,E4,0.3651,P4,120,12/16,E Major
note,8640,359,59:80,B3,B3,0.3651,M3,120,12/16,E Major
note,8640,119,63:80,D#4,Eb4,0.3651,M2,120,12/16,E Major
note,8760,119,61:80,C#4,Db4,0.3195,M2,120,12/16,E Major
note,8880,119,63:80,D#4,Eb4,0.3651,M7,120,12/16,E Major
note,9000,359,52:80,E3,E3,0.3651,P5,120,12/16,E Major
note,9000,119,59:80,B3,B3,0.3651,M6,120,12/16,E Major
note,9000,719,68:80,G#4,Ab4,0.3651,M3,120,12/16,E Major
note,9120,119,64:80,E4,E4,0.2739,m2,120,12/16,E Major
note,9240,119,63:80,D#4,Eb4,0.3195,d5,120,12/16,E Major
note,9360,719,57:80,A3,A3,0.3195,M3,120,12/16,E Major
note,9360,119,61:80,C#4,Db4,0.3195,M2,120,12/16,E Major
note,9480,119,63:80,D#4,Eb4,0.2739,m2,120,12/16,E Major
note,9600,119,64:80,E4,E4,0.3195,m2,120,12/16,E Major
note,9720,119,63:80,D#4,Eb4,0.3195,m3,120,12/16,E Major
note,9720,479,66:80,F#4,Gb4,0.3195,M2,120,12/16,E Major
note,9840,119,64:80,E4,E4,0.2739,m3,120,12/16,E Major
note,9960,119,61:80,C#4,Db4,0.2739,P4,120,12/16,E Major
note,10080,839,56:80,G#3,Ab3,0.2739,M3,120,12/16,E Major
note,10080,1079,60:80,C4,C4,0.2739,m6,120,12/16,E Major
note,10200,119,68:80,G#4,Ab4,0.2282,m2,120,12/16,E Major
note,10320,119,69:80,A4,A4,0.2282,m2,120,12/16,E Major
note,10440,119,68:80,G#4,Ab4,0.2282,m2,120,12/16,E Major
note,10560,119,69:80,A4,A4,0.2282,m3,120,12/16,E Major
note,10680,119,66:80,F#4,Gb4,0.2739,M2,120,12/16,E Major
note,10800,719,64:80,E4,E4,0.2739,m7,120,12/16,E Major
note,10920,119,54:80,F#3,Gb3,0.2739,M2,120,12/16,E Major
note,11040,119,56:80,G#3,Ab3,0.3195,M3,120,12/16,E Major
note,11160,119,52:80,E3,E3,0.3195,M6,120,12/16,E Major
note,11160,719,61:80,C#4,Db4,0.3195,M3,120,12/16,E Major
note,11280,119,57:80,A3,A3,0.2739,m2,120,12/16,E Major
note,11400,119,56:80,G#3,Ab3,0.3195,M2,120,12/16,E Major
note,11520,119,54:80,F#3,Gb3,0.3195,M6,120,12/16,E Major
note,11520,359,63:80,D#4,Eb4,0.3195,M7,120,12/16,E Major
note,11640,119,52:80,E3,E3,0.2739,M2,120,12/16,E Major
note,11760,119,54:80,F#3,Gb3,0.3651,m3,120,12/16,E Major
note,11880,119,51:80,D#3,Eb3,0.4108,M6,120,12/16,E Major
note,11880,359,60:80,C4,C4,0.4108,M3,120,12/16,E Major
note,12000,119,56:80,G#3,Ab3,0.4108,M2,120,12/16,E Major
note,12120,119,54:80,F#3,Gb3,0.4564,M2,120,12/16,E Major
note,12240,119,52:80,E3,E3,0.5021,M6,120,12/16,E Major
note,12240,1079,61:80,C#4,Db4,0.5021,P5,120,12/16,E Major
note,12240,119,68:80,G#4,Ab4,0.5021,P4,120,12/16,E Major
note,12360,119,51:80,D#3,Eb3,0.4564,m3,120,12/16,E Major
note,12360,119,66:80,F#4,Gb4,0.4564,M2,120,12/16,E Major
note,12480,119,52:80,E3,E3,0.4564,M3,120,12/16,E Major
note,12480,119,68:80,G#4,Ab4,0.4564,P5,120,12/16,E Major
note,12600,119,49:80,C#3,Db3,0.4108,m3,120,12/16,E Major
note,12600,119,64:80,E4,E4,0.4108,m7,120,12/16,E Major
note,12720,119,54:80,F#3,Gb3,0.3651,m3,120,12/16,E Major
note,12720,119,69:80,A4,A4,0.3651,P4,120,12/16,E Major
note,12840,119,52:80,E3,E3,0.4108,M3,120,12/16,E Major
note,12840,119,68:80,G#4,Ab4,0.4108,P4,120,12/16,E Major
note,12960,359,51:80,D#3,Eb3,0.3651,m3,120,12/16,E Major
note,12960,119,66:80,F#4,Gb4,0.3651,M2,120,12/16,E Major
note,13080,119,64:80,E4,E4,0.3195,M2,120,12/16,E Major
