type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,1:0,G Major,,,,,,
time_signature,0,0,3:8,3/8,,,,,,
tempo,0,0,500000,120,,,,,,
note,120,119,74:80,D5,D5,0.2282,m3,120,3/8,G Major
note,240,119,71:80,B4,B4,0.2282,m3,120,3/8,G Major
note,360,119,74:80,D5,D5,0.2282,P4,120,3/8,G Major
note,480,119,79:80,G5,G5,0.2282,P4,120,3/8,G Major
note,600,119,74:80,D5,D5,0.2282,m3,120,3/8,G Major
note,720,119,71:80,B4,B4,0.2282,m3,120,3/8,G Major
note,840,119,74:80,D5,D5,0.2282,P5,120,3/8,G Major
note,960,119,67:80,G4,G4,0.2282,P5,120,3/8,G Major
note,1080,119,74:80,D5,D5,0.2282,m3,120,3/8,G Major
note,1200,119,71:80,B4,B4,0.2282,m3,120,3/8,G Major
note,1320,119,74:80,D5,D5,0.2282,M2,120,3/8,G Major
note,1440,119,76:80,E5,E5,0.2282,M3,120,3/8,G Major
note,1560,119,72:80,C5,C5,0.2282,m3,120,3/8,G Major
note,1680,119,69:80,A4,A4,0.2282,m3,120,3/8,G Major
note,1800,119,72:80,C5,C5,0.2282,d5,120,3/8,G Major
note,1920,119,66:80,F#4,Gb4,0.2282,m3,120,3/8,G Major
note,2040,119,69:80,A4,A4,0.2282,P4,120,3/8,G Major
note,2160,119,74:80,D5,D5,0.2282,m3,120,3/8,G Major
note,2280,119,71:80,B4,B4,0.2282,M3,120,3/8,G Major
note,2400,119,67:80,G4,G4,0.2282,M3,120,3/8,G Major
note,2520,119,71:80,B4,B4,0.2282,P5,120,3/8,G Major
note,2640,119,64:80,E4,E4,0.2282,m3,120,3/8,G Major
note,2760,119,67:80,G4,G4,0.2282,P4,120,3/8,G Major
note,2880,119,72:80,C5,C5,0.2282,m3,120,3/8,G Major
note,3000,119,69:80,A4,A4,0.2282,m3,120,3/8,G Major
note,3120,119,66:80,F#4,Gb4,0.2282,m3,120,3/8,G Major
note,3240,119,69:80,A4,A4,0.2282,P5,120,3/8,G Major
note,3360,119,62:80,D4,D4,0.2282,M3,120,3/8,G Major
note,3480,119,66:80,F#4,Gb4,0.2282,P4,120,3/8,G Major
note,3600,119,71:80,B4,B4,0.2282,M2,120,3/8,G Major
note,3720,119,69:80,A4,A4,0.2282,M2,120,3/8,G Major
note,3840,119,67:80,G4,G4,0.2282,M2,120,3/8,G Major
note,3960,119,69:80,A4,A4,0.2282,M2,120,3/8,G Major
note,4080,119,71:80,B4,B4,0.2282,m2,120,3/8,G Major
note,4200,119,72:80,C5,C5,0.2282,M2,120,3/8,G Major
note,4320,119,74:80,D5,D5,0.2282,P4,120,3/8,G Major
note,4440,119,69:80,A4,A4,0.2282,M2,120,3/8,G Major
note,4560,119,71:80,B4,B4,0.2282,M2,120,3/8,G Major
note,4680,119,73:80,C#5,Db5,0.2739,m2,120,3/8,G Major
note,4800,119,74:80,D5,D5,0.3195,M2,120,3/8,G Major
note,4920,119,76:80,E5,E5,0.3651,M2,120,3/8,G Major
note,5040,119,78:80,F#5,Gb5,0.4108,M7,120,3/8,G Major
note,5160,119,67:80,G4,G4,0.4564,M6,120,3/8,G Major
note,5160,119,76:80,E5,E5,0.4564,m7,120,3/8,G Major
note,5280,119,66:80,F#4,Gb4,0.4564,m6,120,3/8,G Major
