type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,384,220,66:75,F#4,Gb4,0.1021,M3,120,4/4,C Major
note,612,19,62:87,D4,D4,0.1021,m3,120,4/4,C Major
note,840,19,59:83,B3,B3,0.1021,m2,120,4/4,C Major
note,1062,30,58:83,A#3,Bb3,0.1021,m2,120,4/4,C Major
note,1293,22,59:88,B3,B3,0.1531,M2,120,4/4,C Major
note,1509,41,61:79,C#4,Db4,0.2041,m2,120,4/4,C Major
note,1615,29,62:82,D4,D4,0.2041,M2,120,4/4,C Major
note,1717,30,64:80,E4,E4,0.1531,M2,120,4/4,C Major
note,1808,45,66:83,F#4,Gb4,0.1531,m2,120,4/4,C Major
note,1924,30,67:92,G4,G4,0.1021,P1,120,4/4,C Major
note,2149,22,55:84,G3,G3,0.1021,P1,120,4/4,C Major
note,2364,26,67:88,G4,G4,0.1021,m2,120,4/4,C Major
note,2575,28,66:94,F#4,Gb4,0.1021,P1,120,4/4,C Major
note,2792,39,54:82,F#3,Gb3,0.1021,P1,120,4/4,C Major
note,3008,27,66:85,F#4,Gb4,0.1021,M2,120,4/4,C Major
note,3219,34,64:81,E4,E4,0.1531,M2,120,4/4,C Major
note,3435,29,66:75,F#4,Gb4,0.2041,M2,120,4/4,C Major
note,3549,25,64:70,E4,E4,0.2041,M2,120,4/4,C Major
note,3649,45,62:76,D4,D4,0.2041,m2,120,4/4,C Major
note,3751,43,61:72,C#4,Db4,0.2041,m2,120,4/4,C Major
note,3856,52,62:77,D4,D4,0.2041,M3,120,4/4,C Major
note,3965,43,66:79,F#4,Gb4,0.2552,M2,120,4/4,C Major
note,4067,32,64:79,E4,E4,0.2552,M2,120,4/4,C Major
note,4168,46,62:75,D4,D4,0.3062,m2,120,4/4,C Major
note,4284,46,61:70,C#4,Db4,0.3062,m7,120,4/4,C Major
note,4293,220,71:81,B4,B4,0.2552,P1,120,4/4,C Major
note,4391,32,59:69,B3,B3,0.3062,M2,120,4/4,C Major
note,4499,44,61:76,C#4,Db4,0.3062,m6,120,4/4,C Major
note,4501,31,69:89,A4,A4,0.2552,m7,120,4/4,C Major
note,4608,41,59:70,B3,B3,0.3062,M2,120,4/4,C Major
note,4714,54,61:79,C#4,Db4,0.3062,P4,120,4/4,C Major
note,4716,20,66:84,F#4,Gb4,0.2552,M3,120,4/4,C Major
note,4819,42,62:78,D4,D4,0.3062,m2,120,4/4,C Major
note,4924,45,61:85,C#4,Db4,0.2552,M3,120,4/4,C Major
note,4924,28,65:92,F4,F4,0.2552,d5,120,4/4,C Major
note,5032,41,59:82,B3,B3,0.2552,M2,120,4/4,C Major
note,5139,27,57:90,A3,A3,0.2552,M6,120,4/4,C Major
note,5144,32,66:96,F#4,Gb4,0.2041,P1,120,4/4,C Major
note,5354,30,54:81,F#3,Gb3,0.3062,M2,120,4/4,C Major
note,5356,37,68:88,G#4,Ab4,0.2552,m2,120,4/4,C Major
note,5461,37,69:87,A4,A4,0.3062,M3,120,4/4,C Major
note,5565,24,53:77,F3,F3,0.3062,d5,120,4/4,C Major
note,5567,30,71:89,B4,B4,0.2552,M2,120,4/4,C Major
note,5665,22,73:90,C#5,Db5,0.3572,P5,120,4/4,C Major
note,5765,137,54:62,F#3,Gb3,0.4082,m6,120,4/4,C Major
note,5767,22,74:89,D5,D5,0.3572,d5,120,4/4,C Major
note,5873,80,56:63,G#3,Ab3,0.4593,m2,120,4/4,C Major
note,5980,46,57:70,A3,A3,0.4593,P4,120,4/4,C Major
note,5998,25,62:82,D4,D4,0.4082,d5,120,4/4,C Major
note,6038,52,56:68,G#3,Ab3,0.4082,m2,120,4/4,C Major
note,6103,58,57:76,A3,A3,0.4082,m2,120,4/4,C Major
note,6146,75,56:66,G#3,Ab3,0.3572,d5,120,4/4,C Major
note,6216,18,74:77,D5,D5,0.3572,P4,120,4/4,C Major
note,6217,54,57:66,A3,A3,0.3062,m2,120,4/4,C Major
note,6237,196,56:40,G#3,Ab3,0.2552,M2,120,4/4,C Major
note,6307,88,54:62,F#3,Gb3,0.3062,m3,120,4/4,C Major
note,6410,61,57:70,A3,A3,0.3062,M3,120,4/4,C Major
