type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,768,4747,52:44,E3,E3,0.1531,P1,120,4/4,C Major
note,772,521,64:48,E4,E4,0.1021,M3,120,4/4,C Major
note,1014,427,68:61,G#4,Ab4,0.1021,m3,120,4/4,C Major
note,1215,266,71:67,B4,B4,0.1531,m3,120,4/4,C Major
note,1441,703,56:50,G#3,Ab3,0.1531,m6,120,4/4,C Major
note,1441,288,76:68,E5,E5,0.1531,m2,120,4/4,C Major
note,1664,244,75:70,D#5,Eb5,0.1021,m2,120,4/4,C Major
note,1871,205,76:71,E5,E5,0.3062,m2,120,4/4,C Major
note,2083,58,75:65,D#5,Eb5,0.3062,d5,120,4/4,C Major
note,2092,1101,57:48,A3,A3,0.2552,M3,120,4/4,C Major
note,2149,36,73:67,C#5,Db5,0.2041,M2,120,4/4,C Major
note,2196,60,75:56,D#5,Eb5,0.2041,M2,120,4/4,C Major
note,2252,94,73:71,C#5,Db5,0.1531,M2,120,4/4,C Major
note,2328,351,71:74,B4,B4,0.1021,M2,120,4/4,C Major
note,2542,336,73:77,C#5,Db5,0.1021,m3,120,4/4,C Major
note,2762,593,76:73,E5,E5,0.1021,m6,120,4/4,C Major
note,2983,291,56:42,G#3,Ab3,0.1021,M2,120,4/4,C Major
note,3204,291,54:58,F#3,Gb3,0.3062,P5,120,4/4,C Major
note,3401,44,73:52,C#5,Db5,0.3062,P4,120,4/4,C Major
note,3416,976,56:52,G#3,Ab3,0.2552,m3,120,4/4,C Major
note,3464,39,71:59,B4,B4,0.2041,M2,120,4/4,C Major
note,3523,50,73:50,C#5,Db5,0.2041,M2,120,4/4,C Major
note,3565,81,71:63,B4,B4,0.1531,M2,120,4/4,C Major
note,3644,308,69:68,A4,A4,0.1021,M2,120,4/4,C Major
note,3868,332,71:66,B4,B4,0.1021,P4,120,4/4,C Major
note,4099,656,76:62,E5,E5,0.1021,P5,120,4/4,C Major
note,4330,390,57:48,A3,A3,0.1021,m2,120,4/4,C Major
note,4539,352,56:53,G#3,Ab3,0.1531,m2,120,4/4,C Major
note,4770,319,69:49,A4,A4,0.1531,m3,120,4/4,C Major
note,4776,1037,54:48,F#3,Gb3,0.1021,P4,120,4/4,C Major
note,5001,278,71:60,B4,B4,0.1021,M2,120,4/4,C Major
note,5216,272,73:69,C#5,Db5,0.1531,m7,120,4/4,C Major
note,5421,315,51:42,D#3,Eb3,0.1531,m6,120,4/4,C Major
note,5445,245,71:67,B4,B4,0.1021,M2,120,4/4,C Major
note,5650,261,73:66,C#5,Db5,0.1021,M3,120,4/4,C Major
note,5870,248,69:76,A4,A4,0.1531,P4,120,4/4,C Major
note,6082,437,52:42,E3,E3,0.2041,M3,120,4/4,C Major
note,6083,246,68:69,G#4,Ab4,0.1531,m3,120,4/4,C Major
note,6311,280,71:75,B4,B4,0.2041,m3,120,4/4,C Major
note,6313,318,56:48,G#3,Ab3,0.1531,m3,120,4/4,C Major
note,6515,288,59:58,B3,B3,0.2041,P4,120,4/4,C Major
note,6522,353,76:77,E5,E5,0.1531,M3,120,4/4,C Major
note,6741,947,80:82,G#5,Ab5,0.1531,M3,120,4/4,C Major
note,6749,324,64:53,E4,E4,0.1021,m2,120,4/4,C Major
note,6974,345,63:70,D#4,Eb4,0.1021,m2,120,4/4,C Major
note,7184,380,64:76,E4,E4,0.1021,d5,120,4/4,C Major
note,7407,1012,58:65,A#3,Bb3,0.1021,m6,120,4/4,C Major
note,7634,253,78:70,F#5,Gb5,0.1531,P4,120,4/4,C Major
note,7855,105,61:56,C#4,Db4,0.2041,m3,120,4/4,C Major
note,7855,223,76:74,E5,E5,0.2041,m7,120,4/4,C Major
note,8080,252,66:69,F#4,Gb4,0.1531,M6,120,4/4,C Major
note,8091,216,75:65,D#5,Eb5,0.1021,m2,120,4/4,C Major
note,8297,286,76:73,E5,E5,0.1021,m3,120,4/4,C Major
note,8529,108,73:79,C#5,Db5,0.2041,M2,120,4/4,C Major
note,8742,310,47:49,B2,B2,0.4082,M2,120,4/4,C Major
note,8762,80,73:63,C#5,Db5,0.3572,M2,120,4/4,C Major
note,8846,65,75:62,D#5,Eb5,0.4593,m2,120,4/4,C Major
