type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,773,467,64:49,E4,E4,0.1531,P1,120,4/4,C Major
note,777,4468,52:38,E3,E3,0.1021,M3,120,4/4,C Major
note,1080,505,68:63,G#4,Ab4,0.1021,m3,120,4/4,C Major
note,1293,274,71:69,B4,B4,0.1531,m3,120,4/4,C Major
note,1529,786,56:52,G#3,Ab3,0.1531,m6,120,4/4,C Major
note,1542,258,76:63,E5,E5,0.1021,m2,120,4/4,C Major
note,1772,256,75:65,D#5,Eb5,0.1021,m2,120,4/4,C Major
note,1985,245,76:68,E5,E5,0.2552,P5,120,4/4,C Major
note,2222,934,57:45,A3,A3,0.3062,d5,120,4/4,C Major
note,2225,39,75:59,D#5,Eb5,0.2552,M2,120,4/4,C Major
note,2272,34,73:61,C#5,Db5,0.2041,M2,120,4/4,C Major
note,2343,66,75:62,D#5,Eb5,0.2041,M2,120,4/4,C Major
note,2374,92,73:73,C#5,Db5,0.1531,M2,120,4/4,C Major
note,2455,311,71:70,B4,B4,0.1021,M2,120,4/4,C Major
note,2662,247,73:70,C#5,Db5,0.1021,m3,120,4/4,C Major
note,2885,636,76:64,E5,E5,0.1021,m6,120,4/4,C Major
note,3107,224,56:48,G#3,Ab3,0.1021,M2,120,4/4,C Major
note,3307,216,54:51,F#3,Gb3,0.3062,P5,120,4/4,C Major
note,3521,34,73:62,C#5,Db5,0.3062,P4,120,4/4,C Major
note,3522,861,56:45,G#3,Ab3,0.2552,m3,120,4/4,C Major
note,3566,34,71:61,B4,B4,0.2552,M2,120,4/4,C Major
note,3627,49,73:69,C#5,Db5,0.2041,M2,120,4/4,C Major
note,3673,43,71:69,B4,B4,0.1531,M2,120,4/4,C Major
note,3733,216,69:60,A4,A4,0.1021,M2,120,4/4,C Major
note,3933,303,71:66,B4,B4,0.1021,P4,120,4/4,C Major
note,4170,976,76:60,E5,E5,0.1021,P5,120,4/4,C Major
note,4377,272,57:43,A3,A3,0.1021,m2,120,4/4,C Major
note,4609,331,56:47,G#3,Ab3,0.1531,M2,120,4/4,C Major
note,4848,1403,54:47,F#3,Gb3,0.1531,m3,120,4/4,C Major
note,4848,329,69:51,A4,A4,0.1531,M2,120,4/4,C Major
note,5082,295,71:63,B4,B4,0.1021,M2,120,4/4,C Major
note,5303,269,73:71,C#5,Db5,0.1531,M2,120,4/4,C Major
note,5526,284,71:63,B4,B4,0.1531,m6,120,4/4,C Major
note,5530,706,51:50,D#3,Eb3,0.1021,m7,120,4/4,C Major
note,5752,221,73:72,C#5,Db5,0.1021,M3,120,4/4,C Major
note,5957,248,69:65,A4,A4,0.1531,m2,120,4/4,C Major
note,6179,240,68:56,G#4,Ab4,0.2041,M3,120,4/4,C Major
note,6183,420,52:44,E3,E3,0.1531,P5,120,4/4,C Major
note,6411,262,71:66,B4,B4,0.2041,m3,120,4/4,C Major
note,6415,301,56:64,G#3,Ab3,0.1531,m3,120,4/4,C Major
note,6618,231,59:66,B3,B3,0.2041,P4,120,4/4,C Major
note,6629,319,76:70,E5,E5,0.1531,P1,120,4/4,C Major
note,6851,238,64:71,E4,E4,0.1531,M3,120,4/4,C Major
note,6858,1180,80:75,G#5,Ab5,0.1021,P4,120,4/4,C Major
note,7061,221,63:67,D#4,Eb4,0.1021,m2,120,4/4,C Major
note,7263,302,64:72,E4,E4,0.1021,d5,120,4/4,C Major
note,7505,1003,58:67,A#3,Bb3,0.1021,m6,120,4/4,C Major
note,7732,257,78:71,F#5,Gb5,0.1531,P4,120,4/4,C Major
note,7940,90,61:63,C#4,Db4,0.2041,m3,120,4/4,C Major
note,7947,262,76:64,E5,E5,0.1531,m7,120,4/4,C Major
note,8193,371,66:58,F#4,Gb4,0.1531,M6,120,4/4,C Major
note,8204,252,75:62,D#5,Eb5,0.1021,m2,120,4/4,C Major
note,8424,254,76:64,E5,E5,0.1021,m3,120,4/4,C Major
note,8631,97,73:65,C#5,Db5,0.2041,M2,120,4/4,C Major
note,8859,558,47:38,B2,B2,0.3572,M2,120,4/4,C Major
note,8860,153,73:57,C#5,Db5,0.3062,M2,120,4/4,C Major
note,8987,75,75:62,D#5,Eb5,0.4082,m2,120,4/4,C Major
