type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,835,59,67:81,G4,G4,0.4082,P1,120,4/4,C Major
note,840,33,55:64,G3,G3,0.3572,M3,120,4/4,C Major
note,902,65,71:79,B4,B4,0.3572,m3,120,4/4,C Major
note,964,63,74:77,D5,D5,0.3572,P4,120,4/4,C Major
note,1038,74,79:86,G5,G5,0.3572,P1,120,4/4,C Major
note,1039,26,43:67,G2,G2,0.3062,P5,120,4/4,C Major
note,1113,65,74:83,D5,D5,0.3572,m3,120,4/4,C Major
note,1186,62,71:74,B4,B4,0.3572,m3,120,4/4,C Major
note,1270,66,74:77,D5,D5,0.3062,m3,120,4/4,C Major
note,1346,29,71:69,B4,B4,0.3572,M3,120,4/4,C Major
note,1421,36,67:65,G4,G4,0.3572,P1,120,4/4,C Major
note,1477,25,55:74,G3,G3,0.3572,M3,120,4/4,C Major
note,1491,98,71:82,B4,B4,0.3062,M3,120,4/4,C Major
note,1562,93,67:83,G4,G4,0.3062,P4,120,4/4,C Major
note,1656,48,62:76,D4,D4,0.3572,P5,120,4/4,C Major
note,1727,48,55:86,G3,G3,0.3572,M6,120,4/4,C Major
note,1737,59,64:84,E4,E4,0.3572,m3,120,4/4,C Major
note,1810,61,67:86,G4,G4,0.3062,P4,120,4/4,C Major
note,1891,83,72:74,C5,C5,0.3572,P4,120,4/4,C Major
note,1968,32,43:81,G2,G2,0.3572,M6,120,4/4,C Major
note,1969,103,76:82,E5,E5,0.3062,M3,120,4/4,C Major
note,2042,77,72:79,C5,C5,0.3062,P4,120,4/4,C Major
note,2119,69,67:75,G4,G4,0.3572,P4,120,4/4,C Major
note,2200,65,72:83,C5,C5,0.3572,P4,120,4/4,C Major
note,2270,55,67:78,G4,G4,0.3572,m3,120,4/4,C Major
note,2346,44,64:76,E4,E4,0.4082,M6,120,4/4,C Major
note,2426,39,55:85,G3,G3,0.4082,m7,120,4/4,C Major
note,2445,74,65:74,F4,F4,0.4082,M2,120,4/4,C Major
note,2445,62,67:74,G4,G4,0.4082,m3,120,4/4,C Major
note,2505,94,64:80,E4,E4,0.3062,M3,120,4/4,C Major
note,2592,49,60:75,C4,C4,0.4082,P4,120,4/4,C Major
note,2656,28,55:79,G3,G3,0.3572,M2,120,4/4,C Major
note,2661,66,57:82,A3,A3,0.3062,m3,120,4/4,C Major
note,2736,60,60:86,C4,C4,0.3062,d5,120,4/4,C Major
note,2815,87,66:73,F#4,Gb4,0.3062,m3,120,4/4,C Major
note,2898,94,69:82,A4,A4,0.3062,M2,120,4/4,C Major
note,2902,30,43:64,G2,G2,0.2552,M7,120,4/4,C Major
note,2970,75,66:78,F#4,Gb4,0.3062,d5,120,4/4,C Major
note,3050,80,60:62,C4,C4,0.3062,d5,120,4/4,C Major
note,3132,72,66:79,F#4,Gb4,0.3572,d5,120,4/4,C Major
note,3210,43,60:73,C4,C4,0.3572,m3,120,4/4,C Major
note,3298,29,57:62,A3,A3,0.3572,M2,120,4/4,C Major
note,3347,30,55:71,G3,G3,0.3062,P4,120,4/4,C Major
note,3365,69,60:76,C4,C4,0.2552,m3,120,4/4,C Major
note,3435,70,57:66,A3,A3,0.2552,m3,120,4/4,C Major
note,3510,41,54:69,F#3,Gb3,0.3062,m2,120,4/4,C Major
note,3582,43,55:80,G3,G3,0.3062,M3,120,4/4,C Major
note,3674,46,59:57,B3,B3,0.3062,m3,120,4/4,C Major
note,3751,69,62:60,D4,D4,0.3062,P5,120,4/4,C Major
note,3822,30,43:54,G2,G2,0.3062,P1,120,4/4,C Major
note,3825,87,67:68,G4,G4,0.2552,P4,120,4/4,C Major
note,3915,66,62:71,D4,D4,0.3572,m3,120,4/4,C Major
note,3989,67,59:66,B3,B3,0.3062,m3,120,4/4,C Major
note,4083,66,62:73,D4,D4,0.3572,m3,120,4/4,C Major
note,4159,30,59:70,B3,B3,0.3572,M3,120,4/4,C Major
note,4230,41,55:69,G3,G3,0.4082,P1,120,4/4,C Major
note,4298,38,55:54,G3,G3,0.3572,M3,120,4/4,C Major
note,4299,47,59:80,B3,B3,0.3062,M3,120,4/4,C Major
note,4391,26,55:80,G3,G3,0.3062,m3,120,4/4,C Major
