type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,768,80,67:66,G4,G4,0.4082,P1,120,4/4,C Major
note,788,221,55:52,G3,G3,0.3572,M3,120,4/4,C Major
note,841,88,71:71,B4,B4,0.3062,m3,120,4/4,C Major
note,924,71,74:70,D5,D5,0.3572,P5,120,4/4,C Major
note,991,38,43:64,G2,G2,0.3572,P1,120,4/4,C Major
note,999,89,79:83,G5,G5,0.3062,P4,120,4/4,C Major
note,1077,68,74:75,D5,D5,0.2552,m3,120,4/4,C Major
note,1151,77,71:76,B4,B4,0.3062,m3,120,4/4,C Major
note,1233,55,74:71,D5,D5,0.3572,m3,120,4/4,C Major
note,1297,59,71:70,B4,B4,0.3062,M3,120,4/4,C Major
note,1375,72,67:76,G4,G4,0.3572,M3,120,4/4,C Major
note,1468,75,71:72,B4,B4,0.3572,M3,120,4/4,C Major
note,1471,34,55:68,G3,G3,0.3062,P1,120,4/4,C Major
note,1541,70,67:80,G4,G4,0.3062,P4,120,4/4,C Major
note,1614,66,62:74,D4,D4,0.3572,M2,120,4/4,C Major
note,1700,70,64:77,E4,E4,0.3572,M6,120,4/4,C Major
note,1717,229,55:74,G3,G3,0.3572,P1,120,4/4,C Major
note,1775,75,67:76,G4,G4,0.3062,P4,120,4/4,C Major
note,1857,71,72:77,C5,C5,0.3062,P4,120,4/4,C Major
note,1928,36,43:73,G2,G2,0.3062,M6,120,4/4,C Major
note,1937,101,76:86,E5,E5,0.3062,M3,120,4/4,C Major
note,2016,73,72:85,C5,C5,0.3572,P4,120,4/4,C Major
note,2092,66,67:79,G4,G4,0.3572,P4,120,4/4,C Major
note,2169,71,72:80,C5,C5,0.3572,P4,120,4/4,C Major
note,2243,60,67:73,G4,G4,0.3572,m3,120,4/4,C Major
note,2318,67,64:76,E4,E4,0.3572,M6,120,4/4,C Major
note,2387,23,55:75,G3,G3,0.3572,P1,120,4/4,C Major
note,2398,79,67:82,G4,G4,0.3062,m3,120,4/4,C Major
note,2476,57,64:70,E4,E4,0.3062,M3,120,4/4,C Major
note,2539,73,60:77,C4,C4,0.3572,m3,120,4/4,C Major
note,2623,84,57:75,A3,A3,0.3572,M2,120,4/4,C Major
note,2634,262,55:76,G3,G3,0.3062,P4,120,4/4,C Major
note,2714,54,60:71,C4,C4,0.3062,d5,120,4/4,C Major
note,2791,85,66:76,F#4,Gb4,0.3062,M7,120,4/4,C Major
note,2875,44,43:70,G2,G2,0.3062,M2,120,4/4,C Major
note,2875,91,69:82,A4,A4,0.3062,m3,120,4/4,C Major
note,2961,78,66:80,F#4,Gb4,0.3572,d5,120,4/4,C Major
note,3038,78,60:74,C4,C4,0.3572,d5,120,4/4,C Major
note,3117,78,66:79,F#4,Gb4,0.3572,d5,120,4/4,C Major
note,3184,62,60:74,C4,C4,0.3572,m3,120,4/4,C Major
note,3262,79,57:72,A3,A3,0.3062,M2,120,4/4,C Major
note,3339,22,55:73,G3,G3,0.3062,P4,120,4/4,C Major
note,3345,67,60:77,C4,C4,0.2552,m3,120,4/4,C Major
note,3414,69,57:65,A3,A3,0.2552,m3,120,4/4,C Major
note,3486,79,54:77,F#3,Gb3,0.3062,m2,120,4/4,C Major
note,3568,147,55:84,G3,G3,0.3062,M3,120,4/4,C Major
note,3654,90,59:74,B3,B3,0.3572,m3,120,4/4,C Major
note,3742,71,62:77,D4,D4,0.3572,P5,120,4/4,C Major
note,3808,38,43:72,G2,G2,0.3572,P1,120,4/4,C Major
note,3816,83,67:82,G4,G4,0.3062,P4,120,4/4,C Major
note,3892,62,62:73,D4,D4,0.3572,m3,120,4/4,C Major
note,3957,70,59:76,B3,B3,0.3572,m3,120,4/4,C Major
note,4030,68,62:79,D4,D4,0.3572,m3,120,4/4,C Major
note,4101,49,59:75,B3,B3,0.3062,M3,120,4/4,C Major
note,4165,34,55:69,G3,G3,0.3572,M3,120,4/4,C Major
note,4249,80,59:69,B3,B3,0.3572,M3,120,4/4,C Major
note,4254,29,55:65,G3,G3,0.3062,P1,120,4/4,C Major
note,4326,65,55:68,G3,G3,0.3062,P4,120,4/4,C Major
note,4397,32,50:78,D3,D3,0.3572,P4,120,4/4,C Major
