type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,952,67,67:80,G4,G4,0.3195,P1,120,4/4,C Major
note,973,35,55:72,G3,G3,0.3195,M3,120,4/4,C Major
note,1045,94,71:82,B4,B4,0.3195,m3,120,4/4,C Major
note,1143,89,74:82,D5,D5,0.3195,P5,120,4/4,C Major
note,1242,31,43:72,G2,G2,0.3195,P1,120,4/4,C Major
note,1242,93,79:91,G5,G5,0.3195,P4,120,4/4,C Major
note,1328,81,74:81,D5,D5,0.3195,m3,120,4/4,C Major
note,1433,83,71:77,B4,B4,0.3195,m3,120,4/4,C Major
note,1521,64,74:81,D5,D5,0.3195,m3,120,4/4,C Major
note,1613,62,71:77,B4,B4,0.3651,M3,120,4/4,C Major
note,1706,58,67:72,G4,G4,0.3195,P1,120,4/4,C Major
note,1794,37,55:73,G3,G3,0.3195,M3,120,4/4,C Major
note,1798,94,71:84,B4,B4,0.2739,M3,120,4/4,C Major
note,1888,85,67:75,G4,G4,0.2739,P4,120,4/4,C Major
note,1993,47,62:67,D4,D4,0.3195,P5,120,4/4,C Major
note,2078,55,55:80,G3,G3,0.3195,M6,120,4/4,C Major
note,2082,79,64:67,E4,E4,0.2739,m3,120,4/4,C Major
note,2193,80,67:77,G4,G4,0.3195,P4,120,4/4,C Major
note,2280,115,72:82,C5,C5,0.3195,P4,120,4/4,C Major
note,2371,46,43:72,G2,G2,0.3195,M6,120,4/4,C Major
note,2391,101,76:84,E5,E5,0.2739,M3,120,4/4,C Major
note,2476,91,72:79,C5,C5,0.3195,P4,120,4/4,C Major
note,2584,78,67:76,G4,G4,0.3195,P4,120,4/4,C Major
note,2668,85,72:80,C5,C5,0.3195,P4,120,4/4,C Major
note,2759,72,67:75,G4,G4,0.3651,m3,120,4/4,C Major
note,2846,69,64:75,E4,E4,0.3195,M6,120,4/4,C Major
note,2933,36,55:73,G3,G3,0.3651,P1,120,4/4,C Major
note,2949,82,67:77,G4,G4,0.3195,m3,120,4/4,C Major
note,3036,61,64:72,E4,E4,0.3651,M3,120,4/4,C Major
note,3128,64,60:71,C4,C4,0.3651,P4,120,4/4,C Major
note,3212,47,55:76,G3,G3,0.3651,M2,120,4/4,C Major
note,3223,58,57:71,A3,A3,0.3195,m3,120,4/4,C Major
note,3327,41,60:66,C4,C4,0.3195,d5,120,4/4,C Major
note,3406,102,66:67,F#4,Gb4,0.3195,M7,120,4/4,C Major
note,3503,38,43:59,G2,G2,0.3195,M2,120,4/4,C Major
note,3512,71,69:64,A4,A4,0.2739,m3,120,4/4,C Major
note,3592,83,66:67,F#4,Gb4,0.3195,d5,120,4/4,C Major
note,3689,67,60:66,C4,C4,0.3195,d5,120,4/4,C Major
note,3776,80,66:66,F#4,Gb4,0.3195,d5,120,4/4,C Major
note,3869,55,60:70,C4,C4,0.3195,m3,120,4/4,C Major
