type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density
ticksPerQuarter,0,0,480,480,,
keySignature,0,0,0:0,C Major,,
timeSignature,0,0,4:4,4/4,,
setTempo,0,0,500000,120,,
noteOn,0,4319,36:80,C2,C2,0.2739
noteOn,0,4319,48:80,C3,C3,0.2739
noteOn,120,119,72:80,C5,C5,0.2282
noteOn,240,119,74:80,D5,D5,0.2282
noteOn,360,119,76:80,E5,E5,0.2282
noteOn,480,119,67:80,G4,G4,0.2282
noteOn,600,119,76:80,E5,E5,0.2739
noteOn,720,119,65:80,F4,F4,0.3195
noteOn,840,119,74:80,D5,D5,0.3195
noteOn,960,59,64:80,E4,E4,0.3195
noteOn,1020,59,72:80,C5,C5,0.2739
noteOn,1080,59,71:80,B4,B4,0.2739
noteOn,1140,59,69:80,A4,A4,0.2282
noteOn,1200,119,67:80,G4,G4,0.2282
noteOn,1320,119,70:80,A#4,Bb4,0.2282
noteOn,1440,119,64:80,E4,E4,0.2282
noteOn,1560,119,67:80,G4,G4,0.2739
noteOn,1680,119,60:80,C4,C4,0.3195
noteOn,1800,119,70:80,A#4,Bb4,0.3195
noteOn,1920,59,69:80,A4,A4,0.3195
noteOn,1980,59,67:80,G4,G4,0.2739
noteOn,2040,59,65:80,F4,F4,0.2739
noteOn,2100,59,64:80,E4,E4,0.2282
noteOn,2160,119,65:80,F4,F4,0.2282
noteOn,2280,119,69:80,A4,A4,0.2282
noteOn,2400,119,62:80,D4,D4,0.2282
noteOn,2520,119,65:80,F4,F4,0.2282
noteOn,2640,119,57:80,A3,A3,0.2282
noteOn,2760,119,60:80,C4,C4,0.2282
noteOn,2880,119,59:80,B3,B3,0.2282
noteOn,3000,119,62:80,D4,D4,0.2282
noteOn,3120,119,64:80,E4,E4,0.2282
noteOn,3240,119,65:80,F4,F4,0.2282
noteOn,3360,119,55:80,G3,G3,0.2282
noteOn,3480,119,65:80,F4,F4,0.2739
noteOn,3600,119,64:80,E4,E4,0.2739
noteOn,3720,119,62:80,D4,D4,0.2739
noteOn,3840,2519,64:80,E4,E4,0.2739
noteOn,3960,0,60:80,C4,C4,0.2739
noteOn,3960,1799,60:80,C4,C4,0.2739
noteOn,4080,119,59:80,B3,B3,0.2282
noteOn,4200,119,57:80,A3,A3,0.2282
noteOn,4320,1439,55:80,G3,G3,0.2282
noteOn,4440,119,53:80,F3,F3,0.2739
noteOn,4560,119,52:80,E3,E3,0.3195
noteOn,4680,119,50:80,D3,D3,0.3195
noteOn,4800,59,48:80,C3,C3,0.3195
noteOn,4860,59,50:80,D3,D3,0.2739
noteOn,4920,59,48:80,C3,C3,0.2739
noteOn,4980,59,47:80,B2,B2,0.2282
noteOn,5040,119,48:80,C3,C3,0.2282
noteOn,5160,119,52:80,E3,E3,0.2282
noteOn,5280,119,43:80,G2,G2,0.2739
noteOn,5400,119,46:80,A#2,Bb2,0.2739
noteOn,5520,119,45:80,A2,A2,0.2739
noteOn,5640,119,43:80,G2,G2,0.2739
noteOn,5760,959,57:80,A3,A3,0.2739
noteOn,5760,1439,41:80,F2,F2,0.2739
