type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,480,480,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,993,592,50:87,D3,D3,0.2282,P1,120,4/4,C Major
note,1002,598,38:76,D2,D2,0.1826,P1,120,4/4,C Major
note,1280,107,62:89,D4,D4,0.2282,M2,120,4/4,C Major
note,1371,136,64:86,E4,E4,0.2282,M2,120,4/4,C Major
note,1462,86,66:79,F#4,Gb4,0.1826,m2,120,4/4,C Major
note,1543,117,67:82,G4,G4,0.1369,M2,120,4/4,C Major
note,1638,36,69:95,A4,A4,0.1369,m3,120,4/4,C Major
note,1843,37,66:83,F#4,Gb4,0.1369,m3,120,4/4,C Major
note,2034,33,69:82,A4,A4,0.1369,P4,120,4/4,C Major
note,2232,43,74:98,D5,D5,0.1369,P4,120,4/4,C Major
note,2420,61,69:90,A4,A4,0.1369,P4,120,4/4,C Major
note,2617,47,74:101,D5,D5,0.1369,M3,120,4/4,C Major
note,2804,55,78:101,F#5,Gb5,0.1369,M3,120,4/4,C Major
note,2992,57,74:97,D5,D5,0.1369,M3,120,4/4,C Major
note,3187,49,78:102,F#5,Gb5,0.0913,m3,120,4/4,C Major
note,3439,576,81:96,A5,A5,0.0456,P1,120,4/4,C Major
note,4148,435,81:84,A5,A5,0.1369,P5,120,4/4,C Major
note,4159,874,62:49,D4,D4,0.0913,M3,120,4/4,C Major
note,4169,456,78:75,F#5,Gb5,0.0456,m3,120,4/4,C Major
note,4844,353,81:80,A5,A5,0.2282,P1,120,4/4,C Major
note,4856,874,69:57,A4,A4,0.1826,M6,120,4/4,C Major
note,4864,386,78:71,F#5,Gb5,0.1369,M2,120,4/4,C Major
note,5188,226,76:79,E5,E5,0.2282,m3,120,4/4,C Major
note,5193,228,79:79,G5,G5,0.1826,m7,120,4/4,C Major
note,5546,679,57:65,A3,A3,0.2282,m7,120,4/4,C Major
note,5546,374,79:79,G5,G5,0.2282,m3,120,4/4,C Major
note,5551,389,76:76,E5,E5,0.1369,M2,120,4/4,C Major
note,5901,238,78:71,F#5,Gb5,0.2282,M3,120,4/4,C Major
note,5905,215,74:57,D5,D5,0.1826,M3,120,4/4,C Major
note,6239,281,78:69,F#5,Gb5,0.2739,M3,120,4/4,C Major
note,6243,219,62:62,D4,D4,0.2282,P1,120,4/4,C Major
note,6254,294,74:65,D5,D5,0.1826,P1,120,4/4,C Major
note,6482,119,50:77,D3,D3,0.2282,M2,120,4/4,C Major
note,6568,112,52:73,E3,E3,0.2282,M2,120,4/4,C Major
note,6654,104,54:83,F#3,Gb3,0.1826,m2,120,4/4,C Major
note,6749,95,55:82,G3,G3,0.1369,M2,120,4/4,C Major
note,6839,51,57:97,A3,A3,0.1369,m3,120,4/4,C Major
note,7035,59,54:86,F#3,Gb3,0.1369,m3,120,4/4,C Major
note,7239,36,57:93,A3,A3,0.1369,P4,120,4/4,C Major
note,7421,48,62:102,D4,D4,0.1369,P4,120,4/4,C Major
