type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,480,480,,,,,,
keySignature,0,0,3:0,A Major,,,,,,
timeSignature,0,0,3:4,3/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,0,839,54:80,F#3,Gb3,0.2282,P1,120,3/4,A Major
note,0,239,78:80,F#5,Gb5,0.2282,M6,120,3/4,A Major
note,240,239,57:80,A3,A3,0.2282,M3,120,3/4,A Major
note,240,479,73:80,C#5,Db5,0.2282,P1,120,3/4,A Major
note,480,239,61:80,C#4,Db4,0.3195,P4,120,3/4,A Major
note,720,479,66:80,F#4,Gb4,0.5021,m3,120,3/4,A Major
note,720,119,69:80,A4,A4,0.5021,m2,120,3/4,A Major
note,840,119,56:80,G#3,Ab3,0.4564,m3,120,3/4,A Major
note,840,119,71:80,B4,B4,0.4564,M2,120,3/4,A Major
note,960,239,57:80,A3,A3,0.5477,M3,120,3/4,A Major
note,960,79,73:80,C#5,Db5,0.5477,M2,120,3/4,A Major
note,1040,79,71:80,B4,B4,0.4564,M2,120,3/4,A Major
note,1120,79,69:80,A4,A4,0.4564,m6,120,3/4,A Major
note,1200,239,61:80,C#4,Db4,0.5021,M3,120,3/4,A Major
note,1200,239,65:80,F4,F4,0.5021,d5,120,3/4,A Major
note,1200,79,71:80,B4,B4,0.5021,M2,120,3/4,A Major
note,1280,79,69:80,A4,A4,0.3651,m2,120,3/4,A Major
note,1360,79,68:80,G#4,Ab4,0.3651,M2,120,3/4,A Major
note,1440,1679,54:80,F#3,Gb3,0.3651,P1,120,3/4,A Major
note,1440,239,66:80,F#4,Gb4,0.3651,m3,120,3/4,A Major
note,1440,119,69:80,A4,A4,0.3651,M2,120,3/4,A Major
note,1560,119,71:80,B4,B4,0.2739,m7,120,3/4,A Major
note,1680,479,61:80,C#4,Db4,0.3195,m6,120,3/4,A Major
note,1680,119,69:80,A4,A4,0.3195,m2,120,3/4,A Major
note,1800,119,68:80,G#4,Ab4,0.3195,m2,120,3/4,A Major
note,1920,119,69:80,A4,A4,0.3651,M3,120,3/4,A Major
note,2040,119,73:80,C#5,Db5,0.4108,M3,120,3/4,A Major
note,2160,119,57:80,A3,A3,0.5477,M6,120,3/4,A Major
note,2160,119,78:80,F#5,Gb5,0.5477,P5,120,3/4,A Major
note,2280,119,59:80,B3,B3,0.5477,M6,120,3/4,A Major
note,2280,119,80:80,G#5,Ab5,0.5477,P5,120,3/4,A Major
note,2400,79,61:80,C#4,Db4,0.639,m6,120,3/4,A Major
note,2400,79,81:80,A5,A5,0.639,m7,120,3/4,A Major
note,2480,79,59:80,B3,B3,0.5477,M6,120,3/4,A Major
note,2480,79,80:80,G#5,Ab5,0.5477,M7,120,3/4,A Major
note,2560,79,57:80,A3,A3,0.5021,M6,120,3/4,A Major
note,2560,79,78:80,F#5,Gb5,0.5021,P5,120,3/4,A Major
note,2640,79,59:80,B3,B3,0.5021,M6,120,3/4,A Major
note,2640,79,80:80,G#5,Ab5,0.5021,M7,120,3/4,A Major
note,2720,79,57:80,A3,A3,0.4108,M6,120,3/4,A Major
note,2720,79,78:80,F#5,Gb5,0.4108,m7,120,3/4,A Major
note,2800,79,56:80,G#3,Ab3,0.3651,M6,120,3/4,A Major
note,2800,79,77:80,F5,F5,0.3651,m6,120,3/4,A Major
note,2880,239,57:80,A3,A3,0.4108,M6,120,3/4,A Major
note,2880,119,78:80,F#5,Gb5,0.4108,P4,120,3/4,A Major
note,3000,239,73:80,C#5,Db5,0.3651,P4,120,3/4,A Major
note,3120,239,56:80,G#3,Ab3,0.4108,m3,120,3/4,A Major
note,3120,239,59:80,B3,B3,0.4108,d5,120,3/4,A Major
note,3240,119,77:80,F5,F5,0.3651,m6,120,3/4,A Major
note,3360,239,57:80,A3,A3,0.4564,M3,120,3/4,A Major
note,3360,239,61:80,C#4,Db4,0.4564,P4,120,3/4,A Major
note,3360,119,78:80,F#5,Gb5,0.4564,P4,120,3/4,A Major
note,3480,239,73:80,C#5,Db5,0.3651,M2,120,3/4,A Major
