type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,480,480,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,940,237,59:52,B3,B3,0.4108,m6,120,4/4,C Major
note,953,84,67:51,G4,G4,0.3651,P1,120,4/4,C Major
note,958,3565,55:40,G3,G3,0.3195,P5,120,4/4,C Major
note,1067,92,74:58,D5,D5,0.3195,P4,120,4/4,C Major
note,1169,67,57:49,A3,A3,0.3651,M6,120,4/4,C Major
note,1172,54,66:63,F#4,Gb4,0.3195,m6,120,4/4,C Major
note,1284,56,74:48,D5,D5,0.3195,m3,120,4/4,C Major
note,1382,44,59:55,B3,B3,0.3651,m6,120,4/4,C Major
note,1383,54,67:58,G4,G4,0.3195,P5,120,4/4,C Major
note,1485,89,74:48,D5,D5,0.3195,P4,120,4/4,C Major
note,1593,70,69:67,A4,A4,0.3651,M6,120,4/4,C Major
note,1605,36,60:51,C4,C4,0.3195,M2,120,4/4,C Major
note,1712,50,74:63,D5,D5,0.3195,P1,120,4/4,C Major
note,1805,42,62:61,D4,D4,0.3651,M6,120,4/4,C Major
note,1809,58,71:69,B4,B4,0.3195,m3,120,4/4,C Major
note,1906,90,74:66,D5,D5,0.3195,M2,120,4/4,C Major
note,2023,77,72:66,C5,C5,0.3651,m6,120,4/4,C Major
note,2024,35,64:61,E4,E4,0.3195,m7,120,4/4,C Major
note,2125,102,74:42,D5,D5,0.3195,P1,120,4/4,C Major
note,2241,37,62:53,D4,D4,0.3651,M6,120,4/4,C Major
note,2241,94,71:68,B4,B4,0.3651,m3,120,4/4,C Major
note,2361,62,74:64,D5,D5,0.3195,M2,120,4/4,C Major
note,2447,33,60:49,C4,C4,0.3651,M6,120,4/4,C Major
note,2461,62,69:63,A4,A4,0.3195,P4,120,4/4,C Major
note,2565,58,74:61,D5,D5,0.3195,P5,120,4/4,C Major
note,2660,80,67:63,G4,G4,0.3651,m6,120,4/4,C Major
note,2676,36,59:38,B3,B3,0.3195,m3,120,4/4,C Major
note,2781,84,74:58,D5,D5,0.3195,m7,120,4/4,C Major
note,2871,35,64:59,E4,E4,0.3651,m6,120,4/4,C Major
note,2877,88,72:65,C5,C5,0.3195,M2,120,4/4,C Major
note,2971,70,74:54,D5,D5,0.3195,m3,120,4/4,C Major
note,3082,89,71:64,B4,B4,0.3651,M6,120,4/4,C Major
note,3091,37,62:59,D4,D4,0.3195,P1,120,4/4,C Major
note,3189,60,74:59,D5,D5,0.3195,M2,120,4/4,C Major
note,3293,36,60:65,C4,C4,0.3651,M6,120,4/4,C Major
note,3295,67,69:65,A4,A4,0.3195,P4,120,4/4,C Major
note,3396,93,74:63,D5,D5,0.3195,m3,120,4/4,C Major
note,3509,88,71:67,B4,B4,0.3651,M6,120,4/4,C Major
note,3515,41,62:56,D4,D4,0.3195,P1,120,4/4,C Major
note,3612,69,74:56,D5,D5,0.3195,P4,120,4/4,C Major
note,3711,61,69:65,A4,A4,0.3651,M6,120,4/4,C Major
