type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,428,507,45:32,A2,A2,0.2041,m3,120,4/4,C Major
note,535,146,72:58,C5,C5,0.2552,M2,120,4/4,C Major
note,664,85,74:69,D5,D5,0.2041,M2,120,4/4,C Major
note,761,98,76:71,E5,E5,0.2041,m2,120,4/4,C Major
note,878,228,77:75,F5,F5,0.1531,m6,120,4/4,C Major
note,892,456,57:51,A3,A3,0.1021,m3,120,4/4,C Major
note,1112,211,72:76,C5,C5,0.1531,M3,120,4/4,C Major
note,1342,419,56:50,G#3,Ab3,0.1531,m3,120,4/4,C Major
note,1344,202,71:70,B4,B4,0.1021,M3,120,4/4,C Major
note,1547,205,75:74,D#5,Eb5,0.1531,m2,120,4/4,C Major
note,1752,204,76:67,E5,E5,0.1531,M6,120,4/4,C Major
note,1767,414,55:34,G3,G3,0.1021,m3,120,4/4,C Major
note,1975,198,70:72,A#4,Bb4,0.1531,m2,120,4/4,C Major
note,2185,203,69:70,A4,A4,0.1531,m3,120,4/4,C Major
note,2194,386,54:48,F#3,Gb3,0.1021,P5,120,4/4,C Major
note,2391,216,73:75,C#5,Db5,0.1531,m6,120,4/4,C Major
note,2608,428,53:43,F3,F3,0.1531,M6,120,4/4,C Major
note,2609,214,74:66,D5,D5,0.1021,d5,120,4/4,C Major
note,2834,444,68:71,G#4,Ab4,0.1021,M3,120,4/4,C Major
note,3032,433,52:52,E3,E3,0.1021,P4,120,4/4,C Major
note,3245,404,69:69,A4,A4,0.1021,P5,120,4/4,C Major
note,3459,511,50:52,D3,D3,0.1021,M6,120,4/4,C Major
note,3667,198,71:62,B4,B4,0.1531,P5,120,4/4,C Major
note,3869,283,64:59,E4,E4,0.2041,M3,120,4/4,C Major
note,3978,120,48:63,C3,C3,0.2552,M2,120,4/4,C Major
note,4083,106,50:74,D3,D3,0.2041,M2,120,4/4,C Major
note,4186,111,52:72,E3,E3,0.2041,P4,120,4/4,C Major
note,4288,474,69:69,A4,A4,0.1531,M3,120,4/4,C Major
note,4308,258,53:73,F3,F3,0.1021,P4,120,4/4,C Major
note,4525,197,48:70,C3,C3,0.1531,m2,120,4/4,C Major
note,4721,224,47:66,B2,B2,0.1531,M6,120,4/4,C Major
note,4737,432,68:64,G#4,Ab4,0.1021,P4,120,4/4,C Major
note,4947,197,51:80,D#3,Eb3,0.1531,m2,120,4/4,C Major
note,5153,205,52:70,E3,E3,0.1531,m3,120,4/4,C Major
note,5164,388,67:66,G4,G4,0.1021,M6,120,4/4,C Major
note,5351,227,46:69,A#2,Bb2,0.1531,m2,120,4/4,C Major
note,5563,233,45:61,A2,A2,0.1531,M6,120,4/4,C Major
note,5573,378,66:59,F#4,Gb4,0.1021,P4,120,4/4,C Major
note,5794,192,49:67,C#3,Db3,0.1531,m2,120,4/4,C Major
note,5998,209,50:65,D3,D3,0.1531,m3,120,4/4,C Major
note,6003,426,65:58,F4,F4,0.1021,M6,120,4/4,C Major
note,6205,455,44:67,G#2,Ab2,0.1021,m6,120,4/4,C Major
note,6421,419,64:62,E4,E4,0.1021,P5,120,4/4,C Major
note,6645,411,45:59,A2,A2,0.1021,P4,120,4/4,C Major
note,6858,648,62:60,D4,D4,0.1021,m3,120,4/4,C Major
note,7049,233,47:66,B2,B2,0.1021,P5,120,4/4,C Major
note,7285,476,40:55,E2,E2,0.1531,m6,120,4/4,C Major
note,7520,65,60:62,C4,C4,0.2041,m2,120,4/4,C Major
note,7610,112,59:66,B3,B3,0.2041,M2,120,4/4,C Major
note,7716,448,45:56,A2,A2,0.1531,m3,120,4/4,C Major
note,7718,112,60:68,C4,C4,0.1021,M6,120,4/4,C Major
note,7935,417,69:74,A4,A4,0.1021,m7,120,4/4,C Major
note,8145,436,47:59,B2,B2,0.1021,M6,120,4/4,C Major
note,8353,105,68:72,G#4,Ab4,0.1531,m6,120,4/4,C Major
note,8561,206,76:71,E5,E5,0.1531,m3,120,4/4,C Major
note,8577,415,49:49,C#3,Db3,0.1021,d5,120,4/4,C Major
note,8789,356,67:67,G4,G4,0.1021,P4,120,4/4,C Major
note,8991,430,50:57,D3,D3,0.1531,m3,120,4/4,C Major
