type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,840,150,45:36,A2,A2,0.1826,m3,120,4/4,C Major
note,985,103,72:58,C5,C5,0.2282,M2,120,4/4,C Major
note,1114,82,74:55,D5,D5,0.1826,M2,120,4/4,C Major
note,1209,156,76:66,E5,E5,0.1826,P5,120,4/4,C Major
note,1344,592,57:38,A3,A3,0.1369,m6,120,4/4,C Major
note,1359,741,77:64,F5,F5,0.0913,P4,120,4/4,C Major
note,1597,257,72:66,C5,C5,0.1369,m2,120,4/4,C Major
note,1841,322,71:62,B4,B4,0.1369,m3,120,4/4,C Major
note,1863,557,56:45,G#3,Ab3,0.0913,P5,120,4/4,C Major
note,2086,300,75:74,D#5,Eb5,0.1369,m2,120,4/4,C Major
note,2352,750,76:62,E5,E5,0.1369,M6,120,4/4,C Major
note,2358,517,55:42,G3,G3,0.0913,m3,120,4/4,C Major
note,2590,279,70:63,A#4,Bb4,0.1369,M3,120,4/4,C Major
note,2859,537,54:47,F#3,Gb3,0.1369,m3,120,4/4,C Major
note,2859,294,69:61,A4,A4,0.1369,M3,120,4/4,C Major
note,3096,293,73:68,C#5,Db5,0.1369,m2,120,4/4,C Major
note,3358,291,74:60,D5,D5,0.1369,M6,120,4/4,C Major
note,3362,489,53:45,F3,F3,0.0913,m3,120,4/4,C Major
note,3597,491,68:64,G#4,Ab4,0.0913,M3,120,4/4,C Major
note,3855,500,52:49,E3,E3,0.0913,P4,120,4/4,C Major
note,4093,478,69:65,A4,A4,0.0913,P5,120,4/4,C Major
note,4351,537,50:46,D3,D3,0.1369,M6,120,4/4,C Major
note,4581,199,71:62,B4,B4,0.1826,P5,120,4/4,C Major
note,4815,531,64:57,E4,E4,0.2282,M3,120,4/4,C Major
note,4927,115,48:48,C3,C3,0.2282,M2,120,4/4,C Major
note,5039,98,50:58,D3,D3,0.1826,M2,120,4/4,C Major
note,5150,107,52:64,E3,E3,0.1826,P4,120,4/4,C Major
note,5290,567,69:69,A4,A4,0.1369,M3,120,4/4,C Major
note,5296,239,53:53,F3,F3,0.0913,P4,120,4/4,C Major
note,5540,277,48:61,C3,C3,0.1369,m6,120,4/4,C Major
note,5797,521,68:72,G#4,Ab4,0.1369,M6,120,4/4,C Major
note,5799,236,47:54,B2,B2,0.0913,M3,120,4/4,C Major
note,6045,256,51:59,D#3,Eb3,0.1369,m2,120,4/4,C Major
note,6306,243,52:42,E3,E3,0.1369,m3,120,4/4,C Major
note,6308,509,67:58,G4,G4,0.0913,M6,120,4/4,C Major
note,6554,259,46:49,A#2,Bb2,0.1369,m2,120,4/4,C Major
note,6799,220,45:45,A2,A2,0.1369,M6,120,4/4,C Major
note,6803,510,66:57,F#4,Gb4,0.0913,P4,120,4/4,C Major
note,7046,232,49:54,C#3,Db3,0.1369,M3,120,4/4,C Major
note,7308,479,65:52,F4,F4,0.1369,m3,120,4/4,C Major
