type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,0,239,45:80,A2,A2,0.4108,m3,120,4/4,C Major
note,60,59,72:80,C5,C5,0.3651,M2,120,4/4,C Major
note,120,59,74:80,D5,D5,0.3651,M2,120,4/4,C Major
note,180,59,76:80,E5,E5,0.3195,P5,120,4/4,C Major
note,240,239,57:80,A3,A3,0.3651,m6,120,4/4,C Major
note,240,119,77:80,F5,F5,0.3651,P4,120,4/4,C Major
note,360,119,72:80,C5,C5,0.3195,M3,120,4/4,C Major
note,480,239,56:80,G#3,Ab3,0.3651,m3,120,4/4,C Major
note,480,119,71:80,B4,B4,0.3651,M3,120,4/4,C Major
note,600,119,75:80,D#5,Eb5,0.3195,m6,120,4/4,C Major
note,720,239,55:80,G3,G3,0.3651,M6,120,4/4,C Major
note,720,119,76:80,E5,E5,0.3651,d5,120,4/4,C Major
note,840,119,70:80,A#4,Bb4,0.3195,M3,120,4/4,C Major
note,960,239,54:80,F#3,Gb3,0.3195,m3,120,4/4,C Major
note,960,119,69:80,A4,A4,0.3195,M3,120,4/4,C Major
note,1080,119,73:80,C#5,Db5,0.2739,m6,120,4/4,C Major
note,1200,239,53:80,F3,F3,0.2739,M6,120,4/4,C Major
note,1200,119,74:80,D5,D5,0.2739,d5,120,4/4,C Major
note,1320,239,68:80,G#4,Ab4,0.2282,M3,120,4/4,C Major
note,1440,239,52:80,E3,E3,0.2282,P4,120,4/4,C Major
note,1560,239,69:80,A4,A4,0.2739,P5,120,4/4,C Major
note,1680,299,50:80,D3,D3,0.3651,M6,120,4/4,C Major
note,1800,119,71:80,B4,B4,0.3651,P5,120,4/4,C Major
note,1920,239,64:80,E4,E4,0.4108,M3,120,4/4,C Major
note,1980,59,48:80,C3,C3,0.3651,M2,120,4/4,C Major
note,2040,59,50:80,D3,D3,0.3651,M2,120,4/4,C Major
note,2100,59,52:80,E3,E3,0.3195,m2,120,4/4,C Major
note,2160,119,53:80,F3,F3,0.3651,M3,120,4/4,C Major
note,2160,239,69:80,A4,A4,0.3651,M6,120,4/4,C Major
note,2280,119,48:80,C3,C3,0.3195,m2,120,4/4,C Major
note,2400,119,47:80,B2,B2,0.3651,M6,120,4/4,C Major
note,2400,239,68:80,G#4,Ab4,0.3651,P4,120,4/4,C Major
note,2520,119,51:80,D#3,Eb3,0.3195,m2,120,4/4,C Major
note,2640,119,52:80,E3,E3,0.3651,m3,120,4/4,C Major
note,2640,239,67:80,G4,G4,0.3651,M6,120,4/4,C Major
note,2760,119,46:80,A#2,Bb2,0.3195,m2,120,4/4,C Major
note,2880,119,45:80,A2,A2,0.3195,M6,120,4/4,C Major
note,2880,239,66:80,F#4,Gb4,0.3195,P4,120,4/4,C Major
note,3000,119,49:80,C#3,Db3,0.2739,m2,120,4/4,C Major
note,3120,119,50:80,D3,D3,0.2739,m3,120,4/4,C Major
