type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,921,499,47:51,B2,B2,0.1826,P1,120,4/4,C Major
note,1057,136,59:53,B3,B3,0.1826,M2,120,4/4,C Major
note,1208,136,61:57,C#4,Db4,0.1826,M2,120,4/4,C Major
note,1353,123,63:64,D#4,Eb4,0.1826,m2,120,4/4,C Major
note,1498,132,64:64,E4,E4,0.1826,M2,120,4/4,C Major
note,1638,131,66:66,F#4,Gb4,0.2282,M2,120,4/4,C Major
note,1772,119,68:65,G#4,Ab4,0.2739,M2,120,4/4,C Major
note,1915,72,70:66,A#4,Bb4,0.2739,m2,120,4/4,C Major
note,2017,37,71:62,B4,B4,0.2739,m2,120,4/4,C Major
note,2064,58,70:77,A#4,Bb4,0.2739,m2,120,4/4,C Major
note,2135,354,71:81,B4,B4,0.2282,P1,120,4/4,C Major
note,2229,129,59:48,B3,B3,0.2739,m2,120,4/4,C Major
note,2370,125,58:43,A#3,Bb3,0.3651,m3,120,4/4,C Major
note,2493,134,73:75,C#5,Db5,0.4564,P4,120,4/4,C Major
note,2504,132,56:60,G#3,Ab3,0.4108,M2,120,4/4,C Major
note,2644,94,54:58,F#3,Gb3,0.5021,M6,120,4/4,C Major
note,2648,52,75:68,D#5,Eb5,0.4564,M2,120,4/4,C Major
note,2727,49,73:74,C#5,Db5,0.5477,M6,120,4/4,C Major
note,2784,181,52:47,E3,E3,0.5021,M7,120,4/4,C Major
note,2821,36,75:63,D#5,Eb5,0.4564,M2,120,4/4,C Major
note,2890,40,73:62,C#5,Db5,0.4564,m7,120,4/4,C Major
note,2901,155,51:49,D#3,Eb3,0.4108,P1,120,4/4,C Major
note,2930,62,75:84,D#5,Eb5,0.3651,M2,120,4/4,C Major
note,3007,64,73:77,C#5,Db5,0.3195,P1,120,4/4,C Major
note,3052,139,49:49,C#3,Db3,0.3195,m7,120,4/4,C Major
note,3063,66,71:73,B4,B4,0.2739,M2,120,4/4,C Major
note,3130,82,73:74,C#5,Db5,0.2282,M2,120,4/4,C Major
note,3197,217,47:52,B2,B2,0.2282,M3,120,4/4,C Major
note,3206,160,75:81,D#5,Eb5,0.1826,P4,120,4/4,C Major
note,3370,134,70:79,A#4,Bb4,0.2282,m2,120,4/4,C Major
note,3520,117,71:78,B4,B4,0.3195,M3,120,4/4,C Major
note,3637,161,75:86,D#5,Eb5,0.3651,P1,120,4/4,C Major
note,3798,58,51:58,D#3,Eb3,0.4108,m2,120,4/4,C Major
note,3802,120,76:72,E5,E5,0.3651,m3,120,4/4,C Major
note,3877,59,49:61,C#3,Db3,0.3651,M6,120,4/4,C Major
note,3955,126,70:75,A#4,Bb4,0.4108,P5,120,4/4,C Major
note,3978,85,51:65,D#3,Eb3,0.3651,M2,120,4/4,C Major
note,4048,124,49:63,C#3,Db3,0.3195,m7,120,4/4,C Major
note,4089,133,71:69,B4,B4,0.3195,P1,120,4/4,C Major
