type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1501,39,58:88,A#3,Bb3,0.3062,P1,117,4/4,C Major
note,1588,36,58:67,A#3,Bb3,0.3062,P1,117,4/4,C Major
note,1664,33,58:65,A#3,Bb3,0.3062,P1,117,4/4,C Major
note,1732,40,58:89,A#3,Bb3,0.3062,m2,117,4/4,C Major
note,1816,78,57:78,A3,A3,0.3062,m2,117,4/4,C Major
note,1884,54,58:81,A#3,Bb3,0.3062,M3,117,4/4,C Major
note,1965,36,54:89,F#3,Gb3,0.3062,P1,117,4/4,C Major
note,2030,52,54:62,F#3,Gb3,0.3062,m3,117,4/4,C Major
note,2111,42,57:83,A3,A3,0.2552,m2,117,4/4,C Major
note,2186,30,58:91,A#3,Bb3,0.2552,m3,117,4/4,C Major
note,2260,41,61:82,C#4,Db4,0.2552,m2,117,4/4,C Major
note,2338,33,60:83,C4,C4,0.2552,M3,117,4/4,C Major
note,2411,37,56:94,G#3,Ab3,0.2552,P1,117,4/4,C Major
note,2499,35,56:80,G#3,Ab3,0.2552,P1,117,4/4,C Major
note,2576,36,56:75,G#3,Ab3,0.3062,P1,117,4/4,C Major
note,2648,47,56:88,G#3,Ab3,0.2552,m3,117,4/4,C Major
note,2740,65,53:82,F3,F3,0.3062,m2,117,4/4,C Major
note,2809,47,54:86,F#3,Gb3,0.2552,M2,117,4/4,C Major
note,2896,38,56:93,G#3,Ab3,0.2041,M2,117,4/4,C Major
note,2956,63,58:88,A#3,Bb3,0.1531,M2,117,4/4,C Major
note,3039,42,56:88,G#3,Ab3,0.1531,m3,117,4/4,C Major
note,3123,243,53:97,F3,F3,0.1531,P4,117,4/4,C Major
note,3388,25,58:76,A#3,Bb3,0.2552,P1,117,4/4,C Major
note,3485,27,58:72,A#3,Bb3,0.2552,P1,117,4/4,C Major
note,3566,20,58:53,A#3,Bb3,0.2552,P1,117,4/4,C Major
note,3648,22,58:75,A#3,Bb3,0.3062,m2,117,4/4,C Major
note,3733,40,57:65,A3,A3,0.3062,m2,117,4/4,C Major
note,3811,28,58:62,A#3,Bb3,0.3062,M3,117,4/4,C Major
note,3885,27,54:62,F#3,Gb3,0.3062,P1,117,4/4,C Major
note,3960,33,54:61,F#3,Gb3,0.2552,m3,117,4/4,C Major
note,4027,30,57:70,A3,A3,0.2552,m2,117,4/4,C Major
note,4113,29,58:61,A#3,Bb3,0.2552,m3,117,4/4,C Major
note,4193,29,61:64,C#4,Db4,0.2552,m2,117,4/4,C Major
note,4264,24,60:71,C4,C4,0.2552,M3,117,4/4,C Major
note,4355,22,56:59,G#3,Ab3,0.2552,P1,117,4/4,C Major
note,4434,28,56:68,G#3,Ab3,0.3062,P1,117,4/4,C Major
note,4513,25,56:71,G#3,Ab3,0.2552,P1,117,4/4,C Major
note,4588,25,56:74,G#3,Ab3,0.2552,m3,117,4/4,C Major
note,4669,44,53:70,F3,F3,0.3062,m2,117,4/4,C Major
note,4744,26,54:65,F#3,Gb3,0.2552,M2,117,4/4,C Major
note,4812,29,56:73,G#3,Ab3,0.2041,M2,117,4/4,C Major
note,4903,44,58:67,A#3,Bb3,0.1531,M2,117,4/4,C Major
note,4975,36,56:74,G#3,Ab3,0.1531,m3,117,4/4,C Major
note,5051,238,53:76,F3,F3,0.1531,m2,117,4/4,C Major
note,5296,44,54:95,F#3,Gb3,0.2552,P1,117,4/4,C Major
note,5370,71,54:81,F#3,Gb3,0.2552,m3,117,4/4,C Major
note,5450,38,57:87,A3,A3,0.2552,m2,117,4/4,C Major
note,5528,38,58:97,A#3,Bb3,0.2552,P1,117,4/4,C Major
note,5621,91,58:72,A#3,Bb3,0.2552,M2,117,4/4,C Major
note,5697,40,60:89,C4,C4,0.2552,m3,117,4/4,C Major
note,5772,24,63:95,D#4,Eb4,0.2552,P1,117,4/4,C Major
note,5862,62,63:88,D#4,Eb4,0.2552,M2,117,4/4,C Major
note,5938,45,61:86,C#4,Db4,0.2552,m2,117,4/4,C Major
note,6018,33,60:91,C4,C4,0.2552,P1,117,4/4,C Major
note,6098,62,60:83,C4,C4,0.2552,M2,117,4/4,C Major
note,6175,46,58:83,A#3,Bb3,0.2552,M2,117,4/4,C Major
