type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1134,202,63:38,D#4,Eb4,0.1021,P1,117,4/4,C Major
note,1143,182,51:32,D#3,Eb3,0.051,P1,117,4/4,C Major
note,1885,1378,63:43,D#4,Eb4,0.2041,m3,117,4/4,C Major
note,1901,1104,60:32,C4,C4,0.1531,M3,117,4/4,C Major
note,1907,1266,44:29,G#2,Ab2,0.1021,P5,117,4/4,C Major
note,1913,1327,51:28,D#3,Eb3,0.051,P4,117,4/4,C Major
note,2492,264,68:50,G#4,Ab4,0.1021,P1,117,4/4,C Major
note,2521,220,56:35,G#3,Ab3,0.051,P1,117,4/4,C Major
note,3045,253,68:51,G#4,Ab4,0.1021,P1,117,4/4,C Major
note,3066,278,56:38,G#3,Ab3,0.051,P1,117,4/4,C Major
note,3619,347,68:52,G#4,Ab4,0.4082,P4,117,4/4,C Major
note,3627,1162,63:39,D#4,Eb4,0.3572,P1,117,4/4,C Major
note,3632,1118,51:33,D#3,Eb3,0.3062,P4,117,4/4,C Major
note,3640,285,56:34,G#3,Ab3,0.2552,m7,117,4/4,C Major
note,3642,1794,46:34,A#2,Bb2,0.2041,m3,117,4/4,C Major
note,3644,1720,61:35,C#4,Db4,0.1531,d5,117,4/4,C Major
note,3905,145,67:55,G4,G4,0.2041,P1,117,4/4,C Major
note,3934,134,55:36,G3,G3,0.1531,P1,117,4/4,C Major
note,4208,458,67:53,G4,G4,0.1021,P1,117,4/4,C Major
note,4232,426,55:31,G3,G3,0.051,m7,117,4/4,C Major
note,4660,160,65:52,F4,F4,0.2041,P1,117,4/4,C Major
note,4680,154,53:32,F3,F3,0.1531,M2,117,4/4,C Major
note,4790,552,67:57,G4,G4,0.1021,P1,117,4/4,C Major
note,4796,437,55:42,G3,G3,0.051,m6,117,4/4,C Major
note,5258,190,63:57,D#4,Eb4,0.2041,P1,117,4/4,C Major
note,5272,121,51:44,D#3,Eb3,0.1531,P4,117,4/4,C Major
note,5372,1302,68:61,G#4,Ab4,0.1021,P1,117,4/4,C Major
note,5394,974,56:49,G#3,Ab3,0.051,P5,117,4/4,C Major
note,5980,347,63:38,D#4,Eb4,0.1021,m3,117,4/4,C Major
note,6000,482,48:37,C3,C3,0.051,m7,117,4/4,C Major
note,6569,324,70:67,A#4,Bb4,0.2552,P5,117,4/4,C Major
note,6582,264,63:47,D#4,Eb4,0.2041,m6,117,4/4,C Major
note,6600,316,43:38,G2,G2,0.1531,m3,117,4/4,C Major
note,6603,222,58:44,A#3,Bb3,0.1021,P5,117,4/4,C Major
note,6616,265,51:38,D#3,Eb3,0.051,m7,117,4/4,C Major
note,7217,293,73:67,C#5,Db5,0.3062,P4,117,4/4,C Major
note,7232,271,68:55,G#4,Ab4,0.2552,P4,117,4/4,C Major
note,7242,491,63:50,D#4,Eb4,0.2041,m3,117,4/4,C Major
note,7245,418,60:41,C4,C4,0.1531,M3,117,4/4,C Major
note,7247,229,44:39,G#2,Ab2,0.1021,P5,117,4/4,C Major
note,7260,194,51:34,D#3,Eb3,0.051,M6,117,4/4,C Major
note,7702,37,72:51,C5,C5,0.3572,M2,117,4/4,C Major
note,7861,304,70:52,A#4,Bb4,0.3062,m3,117,4/4,C Major
note,7868,276,67:52,G4,G4,0.2552,M3,117,4/4,C Major
note,7883,243,63:20,D#4,Eb4,0.2041,P1,117,4/4,C Major
note,7885,268,51:33,D#3,Eb3,0.1531,P5,117,4/4,C Major
note,7885,209,58:25,A#3,Bb3,0.1531,P5,117,4/4,C Major
note,7893,248,39:34,D#2,Eb2,0.051,M6,117,4/4,C Major
note,8559,88,72:41,C5,C5,0.2041,M2,117,4/4,C Major
note,8597,124,70:50,A#4,Bb4,0.2041,m2,117,4/4,C Major
note,8718,149,69:55,A4,A4,0.1531,m2,117,4/4,C Major
note,8838,120,70:65,A#4,Bb4,0.2552,M2,117,4/4,C Major
note,8950,226,72:62,C5,C5,0.2041,m2,117,4/4,C Major
note,9147,1325,73:54,C#5,Db5,0.1531,P4,117,4/4,C Major
note,9167,803,68:38,G#4,Ab4,0.1021,m3,117,4/4,C Major
note,9173,740,53:28,F3,F3,0.051,P1,117,4/4,C Major
