type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,966,779,79:68,G5,G5,0.1826,P4,120,4/4,C Major
note,1074,250,62:47,D4,D4,0.1369,m3,120,4/4,C Major
note,1081,245,59:40,B3,B3,0.0913,M3,120,4/4,C Major
note,1091,195,55:43,G3,G3,0.0456,M7,120,4/4,C Major
note,1760,66,78:51,F#5,Gb5,0.2739,M2,120,4/4,C Major
note,1839,55,76:57,E5,E5,0.2739,M2,120,4/4,C Major
note,1912,74,74:54,D5,D5,0.2739,m2,120,4/4,C Major
note,1993,78,75:63,D#5,Eb5,0.2739,m2,120,4/4,C Major
note,2068,56,76:65,E5,E5,0.2739,P4,120,4/4,C Major
note,2162,39,71:67,B4,B4,0.2739,m3,120,4/4,C Major
note,2245,83,74:54,D5,D5,0.2282,M2,120,4/4,C Major
note,2327,78,72:63,C5,C5,0.1826,m2,120,4/4,C Major
note,2410,63,71:62,B4,B4,0.1369,M2,120,4/4,C Major
note,2499,52,69:57,A4,A4,0.0913,M2,120,4/4,C Major
note,2583,295,67:44,G4,G4,0.0456,P1,120,4/4,C Major
note,3303,452,67:36,G4,G4,0.4108,P4,120,4/4,C Major
note,3306,70,62:29,D4,D4,0.3651,m3,120,4/4,C Major
note,3307,100,59:36,B3,B3,0.3195,M3,120,4/4,C Major
note,3387,54,43:38,G2,G2,0.3195,P1,120,4/4,C Major
note,3402,46,55:25,G3,G3,0.2739,M3,120,4/4,C Major
note,3685,509,71:49,B4,B4,0.3651,M6,120,4/4,C Major
note,3696,60,62:40,D4,D4,0.3195,m3,120,4/4,C Major
note,3707,83,59:42,B3,B3,0.3195,M3,120,4/4,C Major
note,3783,51,43:37,G2,G2,0.3195,P1,120,4/4,C Major
note,3800,49,55:23,G3,G3,0.2739,P5,120,4/4,C Major
note,4115,61,62:29,D4,D4,0.2282,m3,120,4/4,C Major
note,4117,93,59:37,B3,B3,0.1826,m6,120,4/4,C Major
note,4127,61,67:24,G4,G4,0.1369,P1,120,4/4,C Major
note,4184,51,55:33,G3,G3,0.0913,P1,120,4/4,C Major
note,4194,57,43:20,G2,G2,0.0456,P1,120,4/4,C Major
note,4857,473,67:39,G4,G4,0.4108,m6,120,4/4,C Major
note,4869,62,59:30,B3,B3,0.3651,m3,120,4/4,C Major
note,4885,40,62:15,D4,D4,0.3651,P5,120,4/4,C Major
note,4942,44,43:36,G2,G2,0.3195,P1,120,4/4,C Major
note,4943,40,55:34,G3,G3,0.2739,P5,120,4/4,C Major
note,5255,81,74:55,D5,D5,0.4564,P1,120,4/4,C Major
note,5259,83,62:43,D4,D4,0.4108,M6,120,4/4,C Major
note,5268,48,71:47,B4,B4,0.3651,M3,120,4/4,C Major
note,5316,60,43:43,G2,G2,0.3195,P1,120,4/4,C Major
note,5365,40,55:7,G3,G3,0.2739,P1,120,4/4,C Major
