type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,918,9599,37:39,C#2,Db2,0.0913,m3,120,4/4,C Major
note,1247,9301,40:43,E2,E2,0.1369,P4,120,4/4,C Major
note,1478,9180,45:53,A2,A2,0.0913,M3,120,4/4,C Major
note,1723,1354,49:51,C#3,Db3,0.0913,m3,120,4/4,C Major
note,2054,854,52:51,E3,E3,0.0456,P4,120,4/4,C Major
note,2640,866,57:43,A3,A3,0.0456,M3,120,4/4,C Major
note,5033,130,61:47,C#4,Db4,0.0456,m3,120,4/4,C Major
note,6177,126,64:47,E4,E4,0.0456,P4,120,4/4,C Major
note,7897,3339,69:49,A4,A4,0.0456,m6,120,4/4,C Major
note,12658,115,49:47,C#3,Db3,0.3651,m6,120,4/4,C Major
note,12671,75,57:37,A3,A3,0.3195,P1,120,4/4,C Major
note,12690,135,69:44,A4,A4,0.3195,M2,120,4/4,C Major
note,12797,63,67:57,G4,G4,0.4108,m7,120,4/4,C Major
note,12937,59,57:42,A3,A3,0.5021,P5,120,4/4,C Major
note,12943,60,50:47,D3,D3,0.4564,P4,120,4/4,C Major
note,12943,130,67:53,G4,G4,0.4564,M2,120,4/4,C Major
note,13051,57,65:65,F4,F4,0.4108,m6,120,4/4,C Major
note,13170,59,57:51,A3,A3,0.5021,P4,120,4/4,C Major
note,13177,47,52:54,E3,E3,0.4564,m2,120,4/4,C Major
note,13177,107,65:68,F4,F4,0.4564,m2,120,4/4,C Major
note,13270,60,64:76,E4,E4,0.4108,P1,120,4/4,C Major
note,13387,90,64:68,E4,E4,0.5021,M7,120,4/4,C Major
note,13389,38,53:60,F3,F3,0.4564,M3,120,4/4,C Major
note,13389,56,57:56,A3,A3,0.4564,P4,120,4/4,C Major
note,13479,34,62:69,D4,D4,0.4108,P4,120,4/4,C Major
note,13614,50,57:58,A3,A3,0.5021,m6,120,4/4,C Major
note,13616,49,49:61,C#3,Db3,0.4564,m6,120,4/4,C Major
note,13634,106,69:53,A4,A4,0.4108,M2,120,4/4,C Major
note,13704,77,67:53,G4,G4,0.4108,P4,120,4/4,C Major
note,13846,53,50:60,D3,D3,0.5021,P4,120,4/4,C Major
note,13848,133,67:64,G4,G4,0.4564,m7,120,4/4,C Major
note,13852,46,57:57,A3,A3,0.4108,m6,120,4/4,C Major
note,13952,62,65:76,F4,F4,0.4108,m2,120,4/4,C Major
note,14068,49,52:68,E3,E3,0.5021,m2,120,4/4,C Major
note,14073,103,65:77,F4,F4,0.4564,m6,120,4/4,C Major
note,14075,53,57:57,A3,A3,0.4108,P5,120,4/4,C Major
note,14163,57,64:84,E4,E4,0.4108,P1,120,4/4,C Major
note,14283,82,64:81,E4,E4,0.5021,M7,120,4/4,C Major
note,14284,40,53:65,F3,F3,0.4564,M3,120,4/4,C Major
note,14288,43,57:66,A3,A3,0.4108,P4,120,4/4,C Major
