type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1509,190,72:43,C5,C5,0.4082,P1,117,4/4,C Major
note,1529,677,60:18,C4,C4,0.3572,m3,117,4/4,C Major
note,1529,576,63:21,D#4,Eb4,0.3572,P5,117,4/4,C Major
note,1533,660,44:20,G#2,Ab2,0.2552,P5,117,4/4,C Major
note,1549,621,51:12,D#3,Eb3,0.2041,M2,117,4/4,C Major
note,1555,624,53:10,F3,F3,0.1531,m3,117,4/4,C Major
note,1568,634,56:6,G#3,Ab3,0.1021,M6,117,4/4,C Major
note,1879,26,65:48,F4,F4,0.1021,P1,117,4/4,C Major
note,1993,198,65:49,F4,F4,0.051,P5,117,4/4,C Major
note,2733,179,72:55,C5,C5,0.4082,M6,117,4/4,C Major
note,2755,611,63:36,D#4,Eb4,0.3572,m7,117,4/4,C Major
note,2763,584,53:35,F3,F3,0.3062,M6,117,4/4,C Major
note,2765,651,44:31,G#2,Ab2,0.2552,P1,117,4/4,C Major
note,2766,572,56:25,G#3,Ab3,0.2041,M3,117,4/4,C Major
note,2766,634,60:37,C4,C4,0.2041,M6,117,4/4,C Major
note,2768,606,51:39,D#3,Eb3,0.1021,M2,117,4/4,C Major
note,3060,30,65:39,F4,F4,0.1021,P1,117,4/4,C Major
note,3177,230,65:55,F4,F4,0.051,P1,117,4/4,C Major
note,3994,226,65:38,F4,F4,0.2552,P4,117,4/4,C Major
note,3998,198,60:25,C4,C4,0.2041,M6,117,4/4,C Major
note,4012,212,39:22,D#2,Eb2,0.1531,P1,117,4/4,C Major
note,4012,192,63:27,D#4,Eb4,0.1531,P5,117,4/4,C Major
note,4013,202,32:28,G#1,Ab1,0.051,M6,117,4/4,C Major
note,4402,215,65:44,F4,F4,0.2552,M2,117,4/4,C Major
note,4409,185,63:45,D#4,Eb4,0.2041,m3,117,4/4,C Major
note,4424,191,60:37,C4,C4,0.1531,M3,117,4/4,C Major
note,4434,183,32:31,G#1,Ab1,0.1531,P5,117,4/4,C Major
note,4435,185,39:15,D#2,Eb2,0.1021,M2,117,4/4,C Major
note,4816,423,65:47,F4,F4,0.2552,P4,117,4/4,C Major
note,4836,222,60:42,C4,C4,0.2041,m3,117,4/4,C Major
note,4840,212,63:41,D#4,Eb4,0.1531,P5,117,4/4,C Major
note,4849,288,32:32,G#1,Ab1,0.1021,P5,117,4/4,C Major
note,4871,202,39:21,D#2,Eb2,0.051,m3,117,4/4,C Major
note,5376,937,66:45,F#4,Gb4,0.2552,m3,117,4/4,C Major
note,5398,768,63:41,D#4,Eb4,0.2041,d5,117,4/4,C Major
note,5414,552,33:38,A1,A1,0.1531,m3,117,4/4,C Major
note,5419,853,60:37,C4,C4,0.1021,M6,117,4/4,C Major
note,5430,774,39:34,D#2,Eb2,0.051,m3,117,4/4,C Major
note,7048,306,66:51,F#4,Gb4,0.3062,m3,117,4/4,C Major
note,7055,242,63:41,D#4,Eb4,0.2552,m3,117,4/4,C Major
note,7064,284,60:36,C4,C4,0.2041,m3,117,4/4,C Major
note,7073,278,45:34,A2,A2,0.1531,d5,117,4/4,C Major
note,7078,255,51:36,D#3,Eb3,0.1021,m3,117,4/4,C Major
note,7082,270,54:30,F#3,Gb3,0.051,P1,117,4/4,C Major
note,7560,312,66:67,F#4,Gb4,0.3062,m3,117,4/4,C Major
note,7577,287,63:58,D#4,Eb4,0.2552,d5,117,4/4,C Major
note,7581,208,45:48,A2,A2,0.2041,m3,117,4/4,C Major
note,7581,319,60:52,C4,C4,0.2041,d5,117,4/4,C Major
note,7584,222,54:44,F#3,Gb3,0.1021,m3,117,4/4,C Major
note,7594,195,51:53,D#3,Eb3,0.051,m3,117,4/4,C Major
note,8043,481,66:83,F#4,Gb4,0.3062,m3,117,4/4,C Major
note,8060,245,63:67,D#4,Eb4,0.2552,d5,117,4/4,C Major
note,8064,96,45:58,A2,A2,0.2041,m3,117,4/4,C Major
note,8066,143,60:59,C4,C4,0.1531,M6,117,4/4,C Major
note,8072,112,51:59,D#3,Eb3,0.1021,m3,117,4/4,C Major
note,8080,96,54:50,F#3,Gb3,0.051,m2,117,4/4,C Major
note,8852,1244,67:81,G4,G4,0.3062,M3,117,4/4,C Major
