type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density
ticksPerQuarter,0,0,384,384,,
keySignature,0,0,0:0,C Major,,
timeSignature,0,0,4:4,4/4,,
setTempo,0,0,512820,117.000117000117,,
noteOn,1506,512,60:48,C4,C4,0.3062
noteOn,1509,507,56:35,G#3,Ab3,0.2552
noteOn,1524,503,51:38,D#3,Eb3,0.2041
noteOn,1625,94,32:41,G#1,Ab1,0.2041
noteOn,1741,39,36:53,C2,C2,0.2041
noteOn,1849,51,39:49,D#2,Eb2,0.3572
noteOn,1976,58,44:43,G#2,Ab2,0.3572
noteOn,2097,107,32:44,G#1,Ab1,0.3062
noteOn,2210,79,55:51,G3,G3,0.4082
noteOn,2212,260,61:68,C#4,Db4,0.3572
noteOn,2218,88,34:49,A#1,Bb1,0.3062
noteOn,2232,111,51:43,D#3,Eb3,0.3062
noteOn,2343,40,46:50,A#2,Bb2,0.3062
noteOn,2489,495,51:50,D#3,Eb3,0.3062
noteOn,2494,456,56:45,G#3,Ab3,0.2552
noteOn,2499,548,63:49,D#4,Eb4,0.2041
noteOn,2605,37,36:46,C2,C2,0.2041
noteOn,2723,40,39:52,D#2,Eb2,0.2041
noteOn,2829,39,44:54,G#2,Ab2,0.2552
noteOn,2969,47,48:43,C3,C3,0.3062
noteOn,3066,70,36:47,C2,C2,0.2552
noteOn,3192,228,65:72,F4,F4,0.3062
noteOn,3205,74,37:47,C#2,Db2,0.3062
noteOn,3216,486,53:43,F3,F3,0.2552
noteOn,3336,42,49:48,C#3,Db3,0.3572
noteOn,3460,241,61:62,C#4,Db4,0.3572
noteOn,3473,96,34:45,A#1,Bb1,0.3062
noteOn,3589,35,46:49,A#2,Bb2,0.4082
noteOn,3692,29,63:69,D#4,Eb4,0.4082
noteOn,3703,23,58:46,A#3,Bb3,0.3572
noteOn,3712,83,31:50,G1,G1,0.3062
noteOn,3834,34,43:41,G2,G2,0.4082
noteOn,3926,33,60:67,C4,C4,0.4082
noteOn,3932,61,32:54,G#1,Ab1,0.3572
noteOn,3939,28,51:45,D#3,Eb3,0.3062
noteOn,4049,39,44:55,G#2,Ab2,0.4082
noteOn,4159,29,56:69,G#3,Ab3,0.4082
noteOn,4175,26,51:48,D#3,Eb3,0.3572
noteOn,4177,62,36:43,C2,C2,0.3062
noteOn,4296,41,48:51,C3,C3,0.3062
noteOn,4412,80,39:45,D#2,Eb2,0.3062
noteOn,4417,313,58:60,A#3,Bb3,0.2552
noteOn,4427,299,55:48,G3,G3,0.2041
noteOn,4542,38,51:57,D#3,Eb3,0.2041
noteOn,4666,23,51:55,D#3,Eb3,0.3062
noteOn,4764,36,51:65,D#3,Eb3,0.4082
noteOn,4889,39,51:59,D#3,Eb3,0.5103
noteOn,5002,35,49:52,C#3,Db3,0.5613
noteOn,5004,44,55:65,G3,G3,0.5103
noteOn,5010,31,51:56,D#3,Eb3,0.5103
noteOn,5125,33,56:71,G#3,Ab3,0.5103
noteOn,5131,43,48:49,C3,C3,0.4593
noteOn,5139,32,53:56,F3,F3,0.4593
noteOn,5232,21,55:60,G3,G3,0.4082
noteOn,5233,38,58:63,A#3,Bb3,0.3572
noteOn,5236,35,46:59,A#2,Bb2,0.3062
noteOn,5380,485,60:60,C4,C4,0.3572
noteOn,5381,113,44:45,G#2,Ab2,0.3062
noteOn,5392,469,56:42,G#3,Ab3,0.2552
noteOn,5408,404,51:41,D#3,Eb3,0.2041
noteOn,5517,82,32:49,G#1,Ab1,0.2041
noteOn,5628,46,36:59,C2,C2,0.2041
noteOn,5742,46,39:56,D#2,Eb2,0.3572
noteOn,5865,50,44:44,G#2,Ab2,0.3572
noteOn,5977,120,32:54,G#1,Ab1,0.3062
noteOn,6092,76,55:52,G3,G3,0.4082
noteOn,6092,253,61:76,C#4,Db4,0.4082
noteOn,6108,107,34:49,A#1,Bb1,0.3062
noteOn,6112,123,51:45,D#3,Eb3,0.2552
noteOn,6230,52,46:57,A#2,Bb2,0.2552
noteOn,6366,545,63:60,D#4,Eb4,0.3062
noteOn,6381,476,56:47,G#3,Ab3,0.2552
noteOn,6391,493,51:34,D#3,Eb3,0.2041
noteOn,6510,45,36:45,C2,C2,0.2041
noteOn,6622,43,39:51,D#2,Eb2,0.2041
noteOn,6743,43,44:47,G#2,Ab2,0.2552
noteOn,6864,50,48:48,C3,C3,0.2552
noteOn,6979,62,36:45,C2,C2,0.2552
