type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,480,480,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,512819,117,,,,,,
note,1918,40,36:43,C2,C2,0.3651,P1,117,4/4,C Major
note,2080,41,36:46,C2,C2,0.5021,M3,117,4/4,C Major
note,2087,44,52:40,E3,E3,0.4564,M3,117,4/4,C Major
note,2094,41,48:40,C3,C3,0.4564,P1,117,4/4,C Major
note,2241,41,36:48,C2,C2,0.5477,M3,117,4/4,C Major
note,2242,49,52:54,E3,E3,0.5021,M6,117,4/4,C Major
note,2243,53,43:35,G2,G2,0.4564,P4,117,4/4,C Major
note,2269,45,48:29,C3,C3,0.4564,P4,117,4/4,C Major
note,2410,49,43:36,G2,G2,0.5477,M6,117,4/4,C Major
note,2410,43,52:45,E3,E3,0.5477,M3,117,4/4,C Major
note,2434,61,36:23,C2,C2,0.4564,P1,117,4/4,C Major
note,2458,111,48:13,C3,C3,0.5021,M3,117,4/4,C Major
note,2569,50,52:53,E3,E3,0.5477,M6,117,4/4,C Major
note,2580,46,43:44,G2,G2,0.5021,P5,117,4/4,C Major
note,2588,66,36:25,C2,C2,0.4564,P1,117,4/4,C Major
note,2612,33,48:24,C3,C3,0.5021,M3,117,4/4,C Major
note,2746,53,52:48,E3,E3,0.5021,M6,117,4/4,C Major
note,2758,44,43:42,G2,G2,0.4564,P5,117,4/4,C Major
note,2762,50,36:31,C2,C2,0.4564,P1,117,4/4,C Major
note,2777,45,48:34,C3,C3,0.4564,M3,117,4/4,C Major
note,2922,47,52:47,E3,E3,0.5021,M6,117,4/4,C Major
note,2928,41,43:42,G2,G2,0.5021,P5,117,4/4,C Major
note,2946,54,36:26,C2,C2,0.5021,P1,117,4/4,C Major
note,2974,189,48:8,C3,C3,0.5021,M3,117,4/4,C Major
note,3079,51,52:56,E3,E3,0.5021,M6,117,4/4,C Major
note,3082,45,43:50,G2,G2,0.5021,P5,117,4/4,C Major
note,3093,46,36:36,C2,C2,0.4564,M3,117,4/4,C Major
note,3242,49,52:54,E3,E3,0.5021,M6,117,4/4,C Major
note,3244,42,43:47,G2,G2,0.4564,P4,117,4/4,C Major
note,3271,39,48:27,C3,C3,0.5021,P1,117,4/4,C Major
note,3272,44,36:37,C2,C2,0.5477,P5,117,4/4,C Major
note,3403,44,43:48,G2,G2,0.5477,M6,117,4/4,C Major
note,3412,45,52:47,E3,E3,0.5477,M3,117,4/4,C Major
note,3437,42,48:36,C3,C3,0.5477,P1,117,4/4,C Major
note,3455,127,36:14,C2,C2,0.5477,P5,117,4/4,C Major
note,3560,57,43:53,G2,G2,0.5477,M6,117,4/4,C Major
note,3581,46,52:55,E3,E3,0.5477,M3,117,4/4,C Major
note,3605,38,48:41,C3,C3,0.5934,P4,117,4/4,C Major
note,3739,26,43:47,G2,G2,0.6847,M6,117,4/4,C Major
note,3740,37,52:57,E3,E3,0.639,M3,117,4/4,C Major
note,3752,50,36:33,C2,C2,0.639,P1,117,4/4,C Major
