type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1133,31,36:59,C2,C2,0.4593,P1,117,4/4,C Major
note,1254,31,36:56,C2,C2,0.4082,P1,117,4/4,C Major
note,1262,32,48:52,C3,C3,0.3572,M3,117,4/4,C Major
note,1264,32,52:52,E3,E3,0.3062,M6,117,4/4,C Major
note,1275,36,43:37,G2,G2,0.3572,M6,117,4/4,C Major
note,1393,26,52:51,E3,E3,0.4082,M3,117,4/4,C Major
note,1407,44,36:15,C2,C2,0.4082,P5,117,4/4,C Major
note,1410,42,43:22,G2,G2,0.3572,M6,117,4/4,C Major
note,1515,34,52:50,E3,E3,0.4082,P1,117,4/4,C Major
note,1654,38,52:51,E3,E3,0.6124,M6,117,4/4,C Major
note,1658,39,43:31,G2,G2,0.5613,P4,117,4/4,C Major
note,1681,42,48:22,C3,C3,0.6124,P1,117,4/4,C Major
note,1776,33,36:33,C2,C2,0.6634,P5,117,4/4,C Major
note,1782,28,43:52,G2,G2,0.6124,M6,117,4/4,C Major
note,1815,38,52:24,E3,E3,0.6634,M3,117,4/4,C Major
note,1898,35,36:59,C2,C2,0.6124,P5,117,4/4,C Major
note,1900,34,43:57,G2,G2,0.5613,P4,117,4/4,C Major
note,1925,37,48:27,C3,C3,0.7144,M3,117,4/4,C Major
note,1925,28,52:32,E3,E3,0.7144,M6,117,4/4,C Major
note,2029,30,43:52,G2,G2,0.6124,P5,117,4/4,C Major
note,2035,29,36:50,C2,C2,0.5613,M3,117,4/4,C Major
note,2047,30,52:51,E3,E3,0.6634,M3,117,4/4,C Major
note,2056,30,48:45,C3,C3,0.6634,P1,117,4/4,C Major
note,2156,32,36:54,C2,C2,0.6124,P5,117,4/4,C Major
note,2159,30,43:45,G2,G2,0.5613,P4,117,4/4,C Major
note,2180,32,48:42,C3,C3,0.6634,M3,117,4/4,C Major
note,2184,33,52:39,E3,E3,0.6124,M3,117,4/4,C Major
note,2286,32,36:57,C2,C2,0.6124,P5,117,4/4,C Major
note,2286,32,43:48,G2,G2,0.6124,M6,117,4/4,C Major
note,2296,37,52:51,E3,E3,0.5103,M3,117,4/4,C Major
note,2306,30,48:40,C3,C3,0.4593,P4,117,4/4,C Major
note,2420,30,43:48,G2,G2,0.6124,P5,117,4/4,C Major
note,2421,31,36:53,C2,C2,0.5613,P1,117,4/4,C Major
note,2423,32,48:49,C3,C3,0.5103,M3,117,4/4,C Major
note,2432,35,52:50,E3,E3,0.5613,M3,117,4/4,C Major
note,2551,33,36:61,C2,C2,0.6124,P5,117,4/4,C Major
note,2556,31,43:47,G2,G2,0.5613,M6,117,4/4,C Major
note,2563,42,52:55,E3,E3,0.5613,M3,117,4/4,C Major
note,2570,32,48:45,C3,C3,0.6124,P1,117,4/4,C Major
note,2694,29,36:51,C2,C2,0.7655,P5,117,4/4,C Major
note,2694,33,43:42,G2,G2,0.7655,M6,117,4/4,C Major
note,2694,48,52:45,E3,E3,0.7655,M3,117,4/4,C Major
note,2697,26,48:50,C3,C3,0.6634,P1,117,4/4,C Major
note,2808,35,48:54,C3,C3,0.6124,P4,117,4/4,C Major
note,2816,32,43:55,G2,G2,0.6634,M6,117,4/4,C Major
note,2818,40,52:58,E3,E3,0.6124,M3,117,4/4,C Major
note,2821,31,36:52,C2,C2,0.5613,d5,117,4/4,C Major
note,2942,32,54:66,F#3,Gb3,0.6124,M3,117,4/4,C Major
note,2950,24,50:55,D3,D3,0.5613,M2,117,4/4,C Major
note,2953,27,36:56,C2,C2,0.5103,M6,117,4/4,C Major
note,2959,24,45:56,A2,A2,0.4593,M6,117,4/4,C Major
note,3067,38,54:67,F#3,Gb3,0.5103,M6,117,4/4,C Major
note,3070,33,45:64,A2,A2,0.4593,P4,117,4/4,C Major
note,3074,24,50:52,D3,D3,0.4082,M2,117,4/4,C Major
note,3079,28,36:55,C2,C2,0.3572,P5,117,4/4,C Major
note,3194,412,55:59,G3,G3,0.4082,P4,117,4/4,C Major
note,3199,482,50:43,D3,D3,0.3572,m3,117,4/4,C Major
note,3216,38,35:64,B1,B1,0.3062,m6,117,4/4,C Major
note,3219,37,43:60,G2,G2,0.2552,m6,117,4/4,C Major
