type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1127,40,36:53,C2,C2,0.4593,P1,117,4/4,C Major
note,1251,50,36:38,C2,C2,0.6124,M3,117,4/4,C Major
note,1253,27,52:44,E3,E3,0.5613,M3,117,4/4,C Major
note,1265,37,48:29,C3,C3,0.5103,P4,117,4/4,C Major
note,1266,22,43:39,G2,G2,0.4593,M6,117,4/4,C Major
note,1384,31,52:39,E3,E3,0.6124,M3,117,4/4,C Major
note,1392,32,48:39,C3,C3,0.5613,P1,117,4/4,C Major
note,1393,44,36:37,C2,C2,0.5103,P5,117,4/4,C Major
note,1394,38,43:51,G2,G2,0.4593,M6,117,4/4,C Major
note,1514,29,52:44,E3,E3,0.6124,M3,117,4/4,C Major
note,1526,38,36:38,C2,C2,0.5613,P1,117,4/4,C Major
note,1526,31,48:41,C3,C3,0.5613,P4,117,4/4,C Major
note,1529,30,43:36,G2,G2,0.4593,P4,117,4/4,C Major
note,1660,37,48:49,C3,C3,0.6124,P1,117,4/4,C Major
note,1662,46,36:44,C2,C2,0.5613,P5,117,4/4,C Major
note,1663,42,43:50,G2,G2,0.5103,M6,117,4/4,C Major
note,1664,34,52:38,E3,E3,0.4593,M6,117,4/4,C Major
note,1794,40,43:41,G2,G2,0.6124,M6,117,4/4,C Major
note,1794,24,52:49,E3,E3,0.6124,M3,117,4/4,C Major
note,1795,41,36:40,C2,C2,0.5103,P1,117,4/4,C Major
note,1810,40,48:26,C3,C3,0.6124,M3,117,4/4,C Major
note,1917,29,52:38,E3,E3,0.5613,M3,117,4/4,C Major
note,1918,50,36:42,C2,C2,0.5103,P5,117,4/4,C Major
note,1928,36,43:41,G2,G2,0.4593,P4,117,4/4,C Major
note,1941,35,48:36,C3,C3,0.5613,M3,117,4/4,C Major
note,2052,30,52:43,E3,E3,0.5103,M3,117,4/4,C Major
note,2058,39,36:42,C2,C2,0.4593,P5,117,4/4,C Major
note,2064,28,43:47,G2,G2,0.4593,P4,117,4/4,C Major
note,2108,36,48:3,C3,C3,0.5103,P4,117,4/4,C Major
note,2184,34,43:45,G2,G2,0.5103,M6,117,4/4,C Major
note,2184,36,52:52,E3,E3,0.5103,M3,117,4/4,C Major
note,2191,32,36:53,C2,C2,0.4082,P1,117,4/4,C Major
note,2315,48,36:44,C2,C2,0.5103,M3,117,4/4,C Major
note,2320,25,52:51,E3,E3,0.4593,M6,117,4/4,C Major
note,2321,31,43:47,G2,G2,0.4082,M6,117,4/4,C Major
note,2448,44,52:44,E3,E3,0.5103,M6,117,4/4,C Major
note,2463,33,43:39,G2,G2,0.6124,P5,117,4/4,C Major
note,2464,35,36:52,C2,C2,0.5613,P1,117,4/4,C Major
note,2508,34,48:3,C3,C3,0.5103,P1,117,4/4,C Major
note,2583,40,36:55,C2,C2,0.4593,M3,117,4/4,C Major
note,2588,29,52:56,E3,E3,0.4593,M6,117,4/4,C Major
note,2590,28,43:52,G2,G2,0.4082,P5,117,4/4,C Major
note,2711,41,36:56,C2,C2,0.5613,P5,117,4/4,C Major
note,2711,42,43:53,G2,G2,0.5613,M6,117,4/4,C Major
note,2716,34,52:53,E3,E3,0.5103,P1,117,4/4,C Major
note,2835,32,52:61,E3,E3,0.4593,M3,117,4/4,C Major
note,2843,34,36:50,C2,C2,0.4082,P5,117,4/4,C Major
note,2846,27,43:52,G2,G2,0.3572,P5,117,4/4,C Major
note,2970,34,36:60,C2,C2,0.6124,d5,117,4/4,C Major
note,2975,23,54:57,F#3,Gb3,0.5613,M6,117,4/4,C Major
note,2982,23,45:58,A2,A2,0.5103,M6,117,4/4,C Major
note,3088,47,36:59,C2,C2,0.4593,M6,117,4/4,C Major
note,3089,31,45:57,A2,A2,0.4082,M6,117,4/4,C Major
note,3096,45,54:54,F#3,Gb3,0.4082,m2,117,4/4,C Major
note,3235,342,55:71,G3,G3,0.5103,m6,117,4/4,C Major
note,3237,29,35:64,B1,B1,0.4593,m6,117,4/4,C Major
note,3243,23,43:53,G2,G2,0.4593,P5,117,4/4,C Major
note,3257,35,50:30,D3,D3,0.4082,P5,117,4/4,C Major
note,3348,43,43:57,G2,G2,0.4082,m6,117,4/4,C Major
