type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,384,188,36:27,C2,C2,0.1021,M3,120,4/4,C Major
note,768,230,52:21,E3,E3,0.1531,m3,120,4/4,C Major
note,905,162,55:34,G3,G3,0.2041,P4,120,4/4,C Major
note,1048,210,60:38,C4,C4,0.2041,P5,120,4/4,C Major
note,1179,70,79:56,G5,G5,0.2041,m3,120,4/4,C Major
note,1209,176,64:32,E4,E4,0.2041,P1,120,4/4,C Major
note,1357,84,52:4,E3,E3,0.2552,m3,120,4/4,C Major
note,1480,74,55:12,G3,G3,0.2552,P4,120,4/4,C Major
note,1566,109,60:37,C4,C4,0.2041,M3,120,4/4,C Major
note,1697,202,64:35,E4,E4,0.2552,m3,120,4/4,C Major
note,1699,689,79:60,G5,G5,0.2041,m3,120,4/4,C Major
note,1831,109,52:26,E3,E3,0.2041,m3,120,4/4,C Major
note,1956,77,55:29,G3,G3,0.2041,P4,120,4/4,C Major
note,2067,127,60:35,C4,C4,0.2552,M3,120,4/4,C Major
note,2180,177,64:39,E4,E4,0.2552,P1,120,4/4,C Major
note,2296,153,52:28,E3,E3,0.2552,P1,120,4/4,C Major
note,2394,270,76:52,E5,E5,0.2552,M6,120,4/4,C Major
note,2414,218,55:35,G3,G3,0.2041,P4,120,4/4,C Major
note,2523,220,60:36,C4,C4,0.2041,M2,120,4/4,C Major
note,2624,570,74:54,D5,D5,0.2041,M6,120,4/4,C Major
note,2737,115,53:37,F3,F3,0.2552,M2,120,4/4,C Major
note,2865,94,55:36,G3,G3,0.2552,M3,120,4/4,C Major
note,2950,89,59:33,B3,B3,0.2552,m6,120,4/4,C Major
note,3061,612,67:49,G4,G4,0.2552,P4,120,4/4,C Major
note,3069,279,62:41,D4,D4,0.2041,M6,120,4/4,C Major
note,3176,126,53:37,F3,F3,0.2041,M2,120,4/4,C Major
note,3295,62,55:29,G3,G3,0.2041,M3,120,4/4,C Major
note,3379,112,59:36,B3,B3,0.2041,m2,120,4/4,C Major
note,3498,458,72:64,C5,C5,0.2041,m6,120,4/4,C Major
note,3649,78,52:24,E3,E3,0.2552,m3,120,4/4,C Major
note,3735,63,55:33,G3,G3,0.2552,P4,120,4/4,C Major
note,3855,72,60:25,C4,C4,0.2552,M3,120,4/4,C Major
note,3922,62,76:41,E5,E5,0.3062,P1,120,4/4,C Major
note,3951,132,64:36,E4,E4,0.2552,P1,120,4/4,C Major
note,4063,68,52:25,E3,E3,0.2552,m3,120,4/4,C Major
note,4150,48,55:37,G3,G3,0.2552,P4,120,4/4,C Major
note,4257,126,60:33,C4,C4,0.2552,P1,120,4/4,C Major
note,4263,148,48:49,C3,C3,0.2041,P1,120,4/4,C Major
note,4392,92,36:46,C2,C2,0.2041,M3,120,4/4,C Major
note,4506,110,52:27,E3,E3,0.2552,m3,120,4/4,C Major
note,4610,59,55:35,G3,G3,0.2552,P4,120,4/4,C Major
note,4716,129,60:29,C4,C4,0.2552,P5,120,4/4,C Major
note,4827,82,79:70,G5,G5,0.2552,m3,120,4/4,C Major
note,4840,150,64:38,E4,E4,0.2041,P1,120,4/4,C Major
note,4957,86,52:21,E3,E3,0.2552,m3,120,4/4,C Major
note,5049,71,55:39,G3,G3,0.2552,P4,120,4/4,C Major
note,5161,158,60:35,C4,C4,0.2552,P5,120,4/4,C Major
note,5295,586,79:70,G5,G5,0.2552,m3,120,4/4,C Major
note,5315,142,64:36,E4,E4,0.2041,P1,120,4/4,C Major
note,5429,76,52:26,E3,E3,0.2041,m3,120,4/4,C Major
note,5523,69,55:39,G3,G3,0.2041,P4,120,4/4,C Major
note,5626,123,60:32,C4,C4,0.2552,M3,120,4/4,C Major
note,5735,174,64:40,E4,E4,0.2552,P1,120,4/4,C Major
note,5834,90,52:32,E3,E3,0.2552,P1,120,4/4,C Major
note,5934,284,76:55,E5,E5,0.2552,M6,120,4/4,C Major
note,5953,130,55:35,G3,G3,0.2041,P4,120,4/4,C Major
note,6040,297,60:34,C4,C4,0.2041,M2,120,4/4,C Major
note,6161,584,74:64,D5,D5,0.2041,M6,120,4/4,C Major
note,6280,91,53:34,F3,F3,0.2552,M2,120,4/4,C Major
