type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,-1:0,F Major,,,,,,
time_signature,0,0,2:4,2/4,,,,,,
tempo,0,0,517242,116,,,,,,
note,0,119,41:49,F2,F2,0.2282,M3,116,2/4,F Major
note,120,119,45:49,A2,A2,0.2282,m3,116,2/4,F Major
note,240,119,48:49,C3,C3,0.2282,P4,116,2/4,F Major
note,360,119,53:49,F3,F3,0.2282,m7,116,2/4,F Major
note,480,119,43:49,G2,G2,0.2282,M6,116,2/4,F Major
note,600,119,52:49,E3,E3,0.2282,P5,116,2/4,F Major
note,720,119,45:49,A2,A2,0.2282,m6,116,2/4,F Major
note,840,119,53:49,F3,F3,0.2282,P5,116,2/4,F Major
note,960,119,46:49,Bb2,Bb2,0.2282,M6,116,2/4,F Major
note,1080,119,55:49,G3,G3,0.2282,P5,116,2/4,F Major
note,1200,119,48:49,C3,C3,0.2282,M6,116,2/4,F Major
note,1320,119,57:49,A3,A3,0.2282,P5,116,2/4,F Major
note,1440,119,50:49,D3,D3,0.2282,m6,116,2/4,F Major
note,1560,119,58:49,Bb3,Bb3,0.2739,d5,116,2/4,F Major
note,1680,119,52:49,E3,E3,0.2739,m6,116,2/4,F Major
note,1800,119,60:49,C4,C4,0.2739,m3,116,2/4,F Major
note,1920,119,57:49,A3,A3,0.2739,M3,116,2/4,F Major
note,2040,1799,53:64,F3,F3,0.2739,M3,116,2/4,F Major
note,2040,119,57:49,A3,A3,0.2739,m3,116,2/4,F Major
note,2160,119,60:49,C4,C4,0.2282,P4,116,2/4,F Major
note,2280,119,65:49,F4,F4,0.2282,m7,116,2/4,F Major
note,2400,119,55:49,G3,G3,0.2282,M6,116,2/4,F Major
note,2520,119,64:49,E4,E4,0.2282,P5,116,2/4,F Major
note,2640,119,57:49,A3,A3,0.2282,m6,116,2/4,F Major
note,2760,119,65:49,F4,F4,0.2282,P5,116,2/4,F Major
note,2880,119,58:49,Bb3,Bb3,0.2282,M6,116,2/4,F Major
note,3000,119,67:49,G4,G4,0.2282,P5,116,2/4,F Major
note,3120,119,60:49,C4,C4,0.2282,M6,116,2/4,F Major
note,3240,119,69:49,A4,A4,0.2282,P5,116,2/4,F Major
note,3360,119,62:49,D4,D4,0.2739,m6,116,2/4,F Major
note,3480,119,70:49,Bb4,Bb4,0.3195,d5,116,2/4,F Major
note,3600,119,64:49,E4,E4,0.3651,m6,116,2/4,F Major
note,3720,119,72:49,C5,C5,0.3651,P5,116,2/4,F Major
note,3840,119,53:49,F3,F3,0.3651,M3,116,2/4,F Major
note,3840,119,69:49,A4,A4,0.3651,P1,116,2/4,F Major
note,3960,119,57:49,A3,A3,0.3195,m6,116,2/4,F Major
note,3960,119,65:49,F4,F4,0.3195,P4,116,2/4,F Major
note,4080,119,60:49,C4,C4,0.2739,P1,116,2/4,F Major
note,4080,1560,72:64,C5,C5,0.2739,P5,116,2/4,F Major
note,4200,119,65:49,F4,F4,0.2282,m7,116,2/4,F Major
note,4320,119,55:49,G3,G3,0.2282,M6,116,2/4,F Major
note,4440,119,64:49,E4,E4,0.2282,P5,116,2/4,F Major
