type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density
ticksPerQuarter,0,0,384,384,,
keySignature,0,0,0:0,C Major,,
timeSignature,0,0,4:4,4/4,,
setTempo,0,0,512820,117.000117000117,,
noteOn,1506,164,60:46,C4,C4,0.1021
noteOn,1536,140,36:28,C2,C2,0.051
noteOn,1930,82,56:43,G#3,Ab3,0.2041
noteOn,1932,122,32:39,G#1,Ab1,0.1531
noteOn,2027,1396,53:43,F3,F3,0.1021
noteOn,2049,1391,29:35,F1,F1,0.051
noteOn,3355,69,56:39,G#3,Ab3,0.2552
noteOn,3362,165,32:26,G#1,Ab1,0.2041
noteOn,3623,81,36:47,C2,C2,0.2041
noteOn,3640,77,60:50,C4,C4,0.1531
noteOn,3720,412,65:46,F4,F4,0.2041
noteOn,3750,363,41:40,F2,F2,0.1531
noteOn,4081,205,44:49,G#2,Ab2,0.3062
noteOn,4084,111,68:61,G#4,Ab4,0.2552
noteOn,4326,98,72:72,C5,C5,0.2041
noteOn,4327,58,48:52,C3,C3,0.1531
noteOn,4419,470,77:68,F5,F5,0.1021
noteOn,4442,394,53:41,F3,F3,0.1531
noteOn,4806,110,65:57,F4,F4,0.1021
noteOn,4815,133,56:31,G#3,Ab3,0.051
noteOn,5330,751,72:62,C5,C5,0.2041
noteOn,5333,720,60:33,C4,C4,0.1531
noteOn,5336,722,52:33,E3,E3,0.1021
noteOn,5337,724,55:32,G3,G3,0.051
noteOn,6076,36,74:63,D5,D5,0.3572
noteOn,6230,842,59:45,B3,B3,0.4082
noteOn,6242,853,56:36,G#3,Ab3,0.3572
noteOn,6245,841,53:38,F3,F3,0.3062
noteOn,6323,40,72:44,C5,C5,0.3572
noteOn,6399,35,74:56,D5,D5,0.4082
noteOn,6453,40,76:63,E5,E5,0.3572
noteOn,6524,22,74:57,D5,D5,0.4082
noteOn,6573,33,76:64,E5,E5,0.4082
noteOn,6630,24,74:62,D5,D5,0.4593
noteOn,6673,35,76:71,E5,E5,0.4082
noteOn,6732,26,74:60,D5,D5,0.4082
noteOn,6768,36,76:69,E5,E5,0.3572
noteOn,6842,23,74:50,D5,D5,0.3572
noteOn,6861,49,76:69,E5,E5,0.3062
noteOn,6938,22,74:51,D5,D5,0.3062
noteOn,6960,36,76:57,E5,E5,0.2552
noteOn,7012,50,74:75,D5,D5,0.4082
noteOn,7092,59,72:63,C5,C5,0.3572
noteOn,7158,82,76:61,E5,E5,0.3062
noteOn,7249,134,74:53,D5,D5,0.2552
noteOn,7372,281,55:22,G3,G3,0.2041
noteOn,7380,320,52:36,E3,E3,0.1531
noteOn,7381,262,60:31,C4,C4,0.1021
noteOn,7385,222,72:48,C5,C5,0.051
noteOn,9123,442,61:31,C#4,Db4,0.1021
noteOn,9135,244,37:29,C#2,Db2,0.051
noteOn,9576,162,58:35,A#3,Bb3,0.2041
noteOn,9587,98,34:33,A#1,Bb1,0.1531
noteOn,9694,1285,54:29,F#3,Gb3,0.1021
noteOn,9697,1279,30:35,F#1,Gb1,0.051
noteOn,10911,164,34:35,A#1,Bb1,0.3062
noteOn,10919,58,58:33,A#3,Bb3,0.2552
noteOn,11181,69,37:43,C#2,Db2,0.2041
noteOn,11188,61,61:52,C#4,Db4,0.1531
noteOn,11276,403,66:49,F#4,Gb4,0.2041
noteOn,11292,409,42:37,F#2,Gb2,0.1531
noteOn,11647,247,70:58,A#4,Bb4,0.3062
noteOn,11653,221,46:44,A#2,Bb2,0.2552
noteOn,11888,90,73:67,C#5,Db5,0.2041
noteOn,11893,49,49:46,C#3,Db3,0.1531
noteOn,11969,527,78:76,F#5,Gb5,0.1021
noteOn,11972,446,54:41,F#3,Gb3,0.051
noteOn,12375,163,58:40,A#3,Bb3,0.1021
noteOn,12377,119,66:56,F#4,Gb4,0.051
noteOn,12863,637,61:36,C#4,Db4,0.2041
noteOn,12864,671,56:35,G#3,Ab3,0.1531
noteOn,12872,601,53:29,F3,F3,0.1021
noteOn,12896,689,73:67,C#5,Db5,0.051
noteOn,13556,37,75:61,D#5,Eb5,0.3572
noteOn,13709,806,60:37,C4,C4,0.4593
noteOn,13716,872,57:36,A3,A3,0.4082
noteOn,13718,838,54:30,F#3,Gb3,0.3572
noteOn,13775,49,73:46,C#5,Db5,0.4082
noteOn,13839,32,75:48,D#5,Eb5,0.4082
noteOn,13898,42,77:57,F5,F5,0.4082
