type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1134,749,60:41,C4,C4,0.1021,P1,117,4/4,C Major
note,1189,691,36:35,C2,C2,0.051,m6,117,4/4,C Major
note,1654,176,56:37,G#3,Ab3,0.2041,P1,117,4/4,C Major
note,1661,192,32:34,G#1,Ab1,0.1531,m3,117,4/4,C Major
note,1784,1845,29:38,F1,F1,0.1021,P1,117,4/4,C Major
note,1785,1734,53:38,F3,F3,0.051,m3,117,4/4,C Major
note,3298,344,56:37,G#3,Ab3,0.2041,P1,117,4/4,C Major
note,3320,429,32:33,G#1,Ab1,0.1531,M3,117,4/4,C Major
note,3657,80,60:47,C4,C4,0.2041,P1,117,4/4,C Major
note,3669,78,36:39,C2,C2,0.1531,P4,117,4/4,C Major
note,3775,560,41:42,F2,F2,0.1021,P1,117,4/4,C Major
note,3779,499,65:55,F4,F4,0.051,m3,117,4/4,C Major
note,4207,320,68:43,G#4,Ab4,0.2041,P1,117,4/4,C Major
note,4208,434,44:37,G#2,Ab2,0.1531,M3,117,4/4,C Major
note,4526,98,72:53,C5,C5,0.2041,P1,117,4/4,C Major
note,4536,106,48:38,C3,C3,0.1531,P4,117,4/4,C Major
note,4636,521,77:52,F5,F5,0.1021,P1,117,4/4,C Major
note,4662,540,53:35,F3,F3,0.051,P1,117,4/4,C Major
note,5091,369,65:35,F4,F4,0.1021,M6,117,4/4,C Major
note,5100,692,56:30,G#3,Ab3,0.051,M3,117,4/4,C Major
note,5717,840,72:51,C5,C5,0.2041,P4,117,4/4,C Major
note,5759,1140,55:33,G3,G3,0.1531,P4,117,4/4,C Major
note,5763,634,60:29,C4,C4,0.1021,m6,117,4/4,C Major
note,5771,758,52:34,E3,E3,0.051,m7,117,4/4,C Major
note,6533,226,74:51,D5,D5,0.2552,M2,117,4/4,C Major
note,6778,131,72:51,C5,C5,0.4082,M3,117,4/4,C Major
note,6806,1204,56:33,G#3,Ab3,0.3572,m3,117,4/4,C Major
note,6816,692,53:37,F3,F3,0.3062,d5,117,4/4,C Major
note,6818,744,59:38,B3,B3,0.2552,m3,117,4/4,C Major
note,6927,72,74:51,D5,D5,0.3062,M2,117,4/4,C Major
note,7009,36,76:61,E5,E5,0.3572,M2,117,4/4,C Major
note,7070,43,74:47,D5,D5,0.3572,M2,117,4/4,C Major
note,7123,49,76:68,E5,E5,0.3572,M2,117,4/4,C Major
note,7206,31,74:52,D5,D5,0.3572,M2,117,4/4,C Major
note,7264,34,76:57,E5,E5,0.3062,M2,117,4/4,C Major
note,7339,25,74:38,D5,D5,0.3062,M2,117,4/4,C Major
note,7378,35,76:60,E5,E5,0.3062,M2,117,4/4,C Major
note,7441,31,74:55,D5,D5,0.2552,M2,117,4/4,C Major
note,7490,80,76:62,E5,E5,0.2552,M2,117,4/4,C Major
note,7564,61,74:52,D5,D5,0.2041,M2,117,4/4,C Major
note,7664,59,72:55,C5,C5,0.3572,M3,117,4/4,C Major
note,7753,56,76:50,E5,E5,0.3062,M2,117,4/4,C Major
note,7849,82,74:46,D5,D5,0.2552,M2,117,4/4,C Major
note,7973,698,72:43,C5,C5,0.2041,P4,117,4/4,C Major
note,8008,654,55:35,G3,G3,0.1531,P4,117,4/4,C Major
note,8015,656,60:26,C4,C4,0.1021,m6,117,4/4,C Major
note,8018,654,52:30,E3,E3,0.051,M6,117,4/4,C Major
note,10069,632,61:41,C#4,Db4,0.1021,P1,117,4/4,C Major
note,10102,563,37:30,C#2,Db2,0.1531,m3,117,4/4,C Major
note,10466,199,34:40,A#1,Bb1,0.2041,P1,117,4/4,C Major
note,10474,93,58:37,A#3,Bb3,0.1531,M3,117,4/4,C Major
note,10584,1629,54:39,F#3,Gb3,0.1021,P1,117,4/4,C Major
note,10603,1747,30:37,F#1,Gb1,0.051,M3,117,4/4,C Major
note,12015,356,58:33,A#3,Bb3,0.2041,P1,117,4/4,C Major
note,12030,395,34:27,A#1,Bb1,0.1531,m3,117,4/4,C Major
note,12345,75,61:47,C#4,Db4,0.2041,P1,117,4/4,C Major
note,12356,66,37:39,C#2,Db2,0.1531,P4,117,4/4,C Major
note,12442,523,66:51,F#4,Gb4,0.1021,P1,117,4/4,C Major
