type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,480,480,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,988,402,60:40,C4,C4,0.1826,P1,120,4/4,C Major
note,1005,414,36:33,C2,C2,0.1369,m6,120,4/4,C Major
note,1403,137,56:36,G#3,Ab3,0.1826,P1,120,4/4,C Major
note,1417,112,32:29,G#1,Ab1,0.1369,m3,120,4/4,C Major
note,1516,1530,29:29,F1,F1,0.0913,P1,120,4/4,C Major
note,1538,1519,53:36,F3,F3,0.0456,M6,120,4/4,C Major
note,2966,361,32:42,G#1,Ab1,0.2739,P1,120,4/4,C Major
note,2980,311,56:45,G#3,Ab3,0.2282,m6,120,4/4,C Major
note,3317,72,36:41,C2,C2,0.1826,P1,120,4/4,C Major
note,3321,91,60:45,C4,C4,0.1369,P4,120,4/4,C Major
note,3425,118,65:50,F4,F4,0.1826,P1,120,4/4,C Major
note,3439,93,41:35,F2,F2,0.1369,m3,120,4/4,C Major
note,3886,332,44:43,G#2,Ab2,0.2739,P1,120,4/4,C Major
note,3890,303,68:60,G#4,Ab4,0.2282,m6,120,4/4,C Major
note,4211,71,48:45,C3,C3,0.1826,P1,120,4/4,C Major
note,4228,82,72:58,C5,C5,0.1369,P4,120,4/4,C Major
note,4328,211,77:61,F5,F5,0.0913,P1,120,4/4,C Major
note,4339,135,53:40,F3,F3,0.0456,m3,120,4/4,C Major
note,4830,203,56:37,G#3,Ab3,0.0913,M6,120,4/4,C Major
note,4837,355,65:44,F4,F4,0.0456,m7,120,4/4,C Major
note,5398,1115,55:23,G3,G3,0.1826,m3,120,4/4,C Major
note,5403,400,52:31,E3,E3,0.1369,m6,120,4/4,C Major
note,5408,473,60:29,C4,C4,0.0913,P1,120,4/4,C Major
note,5434,734,72:57,C5,C5,0.0456,M2,120,4/4,C Major
note,6194,241,74:59,D5,D5,0.3195,d5,120,4/4,C Major
note,6403,1007,56:35,G#3,Ab3,0.4108,m3,120,4/4,C Major
note,6409,402,59:38,B3,B3,0.3651,d5,120,4/4,C Major
note,6414,1196,53:35,F3,F3,0.3195,P5,120,4/4,C Major
note,6489,81,72:44,C5,C5,0.3195,M2,120,4/4,C Major
note,6586,43,74:42,D5,D5,0.3651,M2,120,4/4,C Major
note,6661,50,76:52,E5,E5,0.3651,M2,120,4/4,C Major
note,6744,39,74:55,D5,D5,0.3651,M2,120,4/4,C Major
note,6812,38,76:54,E5,E5,0.3651,M2,120,4/4,C Major
note,6875,38,74:59,D5,D5,0.3195,M2,120,4/4,C Major
note,6949,29,76:50,E5,E5,0.3195,M2,120,4/4,C Major
note,7007,37,74:41,D5,D5,0.2739,M2,120,4/4,C Major
note,7039,62,76:59,E5,E5,0.3195,M2,120,4/4,C Major
note,7110,73,74:55,D5,D5,0.3651,M2,120,4/4,C Major
note,7212,80,72:49,C5,C5,0.3195,M3,120,4/4,C Major
note,7279,118,76:50,E5,E5,0.2739,M2,120,4/4,C Major
