type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,753,366,60:35,C4,C4,0.1021,P1,120,4/4,C Major
note,766,468,36:34,C2,C2,0.1021,m6,120,4/4,C Major
note,1148,98,56:38,G#3,Ab3,0.2041,P1,120,4/4,C Major
note,1161,88,32:31,G#1,Ab1,0.1531,m3,120,4/4,C Major
note,1269,1489,29:34,F1,F1,0.1021,P1,120,4/4,C Major
note,1283,1438,53:32,F3,F3,0.051,m3,120,4/4,C Major
note,2598,344,56:33,G#3,Ab3,0.2041,P1,120,4/4,C Major
note,2607,305,32:29,G#1,Ab1,0.1531,M3,120,4/4,C Major
note,2909,141,60:45,C4,C4,0.2041,P1,120,4/4,C Major
note,2921,103,36:31,C2,C2,0.1531,P4,120,4/4,C Major
note,3058,447,41:34,F2,F2,0.1021,P1,120,4/4,C Major
note,3058,506,65:43,F4,F4,0.1021,m3,120,4/4,C Major
note,3515,326,68:50,G#4,Ab4,0.2041,P1,120,4/4,C Major
note,3523,312,44:41,G#2,Ab2,0.1531,M3,120,4/4,C Major
note,3835,99,72:52,C5,C5,0.2041,P1,120,4/4,C Major
note,3854,98,48:46,C3,C3,0.1531,P4,120,4/4,C Major
note,3951,574,77:54,F5,F5,0.1021,P1,120,4/4,C Major
note,3985,505,53:42,F3,F3,0.051,P1,120,4/4,C Major
note,4449,604,65:44,F4,F4,0.1021,M6,120,4/4,C Major
note,4451,642,56:39,G#3,Ab3,0.051,M3,120,4/4,C Major
note,5028,869,72:49,C5,C5,0.2041,P4,120,4/4,C Major
note,5059,534,55:39,G3,G3,0.1531,m3,120,4/4,C Major
note,5084,889,52:26,E3,E3,0.1021,m6,120,4/4,C Major
note,5089,535,60:21,C4,C4,0.051,M2,120,4/4,C Major
note,5927,81,74:52,D5,D5,0.4082,M6,120,4/4,C Major
note,6000,629,53:33,F3,F3,0.4082,d5,120,4/4,C Major
note,6004,682,59:32,B3,B3,0.3572,m3,120,4/4,C Major
note,6028,713,56:21,G#3,Ab3,0.3572,M3,120,4/4,C Major
note,6040,48,72:55,C5,C5,0.3062,M2,120,4/4,C Major
note,6139,39,74:50,D5,D5,0.3572,M2,120,4/4,C Major
note,6198,50,76:64,E5,E5,0.3572,M2,120,4/4,C Major
note,6264,36,74:64,D5,D5,0.3572,M2,120,4/4,C Major
note,6331,38,76:65,E5,E5,0.3572,M2,120,4/4,C Major
note,6393,29,74:60,D5,D5,0.3572,M2,120,4/4,C Major
note,6445,38,76:66,E5,E5,0.3572,M2,120,4/4,C Major
note,6490,33,74:69,D5,D5,0.3062,M2,120,4/4,C Major
note,6547,35,76:65,E5,E5,0.3062,M2,120,4/4,C Major
note,6601,40,74:59,D5,D5,0.2552,M2,120,4/4,C Major
note,6661,50,76:62,E5,E5,0.2552,M2,120,4/4,C Major
note,6729,45,74:61,D5,D5,0.4082,M2,120,4/4,C Major
note,6823,48,72:60,C5,C5,0.3572,M3,120,4/4,C Major
note,6904,47,76:62,E5,E5,0.3062,M2,120,4/4,C Major
note,6998,43,74:45,D5,D5,0.2552,m7,120,4/4,C Major
note,7086,442,52:25,E3,E3,0.2041,m6,120,4/4,C Major
note,7088,434,60:23,C4,C4,0.1531,P1,120,4/4,C Major
note,7088,438,72:45,C5,C5,0.1531,P4,120,4/4,C Major
note,7095,433,55:26,G3,G3,0.051,d5,120,4/4,C Major
note,8739,420,61:30,C#4,Db4,0.1021,P1,120,4/4,C Major
note,8746,486,37:25,C#2,Db2,0.051,M6,120,4/4,C Major
note,9155,116,58:38,A#3,Bb3,0.2041,P1,120,4/4,C Major
note,9200,95,34:26,A#1,Bb1,0.1531,m6,120,4/4,C Major
note,9291,1353,54:38,F#3,Gb3,0.1021,P1,120,4/4,C Major
note,9298,1414,30:34,F#1,Gb1,0.051,M3,120,4/4,C Major
note,10545,390,58:38,A#3,Bb3,0.2041,P1,120,4/4,C Major
note,10552,341,34:17,A#1,Bb1,0.1531,m3,120,4/4,C Major
note,10874,129,61:50,C#4,Db4,0.2041,P1,120,4/4,C Major
note,10876,162,37:35,C#2,Db2,0.1531,P4,120,4/4,C Major
note,11007,523,66:49,F#4,Gb4,0.1021,P1,120,4/4,C Major
