type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1506,216,61:52,C#4,Db4,0.2041,P5,117,4/4,C Major
note,1542,2463,42:22,F#2,Gb2,0.1531,M3,117,4/4,C Major
note,1544,175,58:31,A#3,Bb3,0.1021,M3,117,4/4,C Major
note,1562,2512,30:16,F#1,Gb1,0.051,P1,117,4/4,C Major
note,2884,746,66:52,F#4,Gb4,0.1531,P4,117,4/4,C Major
note,2926,376,61:29,C#4,Db4,0.1021,m3,117,4/4,C Major
note,2929,295,58:28,A#3,Bb3,0.051,m7,117,4/4,C Major
note,4256,187,68:59,G#4,Ab4,0.1531,m3,117,4/4,C Major
note,4281,97,65:34,F4,F4,0.1021,d5,117,4/4,C Major
note,4292,206,59:25,B3,B3,0.051,M6,117,4/4,C Major
note,4730,683,68:54,G#4,Ab4,0.2552,M6,117,4/4,C Major
note,4754,503,59:32,B3,B3,0.2041,d5,117,4/4,C Major
note,4756,579,65:37,F4,F4,0.1531,M7,117,4/4,C Major
note,4762,2631,42:37,F#2,Gb2,0.1021,P1,117,4/4,C Major
note,4763,2646,30:33,F#1,Gb1,0.051,M3,117,4/4,C Major
note,6572,283,70:51,A#4,Bb4,0.1531,M6,117,4/4,C Major
note,6589,271,61:28,C#4,Db4,0.1021,P4,117,4/4,C Major
note,6592,645,66:43,F#4,Gb4,0.051,M3,117,4/4,C Major
note,7211,211,70:68,A#4,Bb4,0.1531,M6,117,4/4,C Major
note,7243,107,61:40,C#4,Db4,0.1021,m3,117,4/4,C Major
note,7268,143,64:23,E4,E4,0.051,P5,117,4/4,C Major
note,8060,414,71:61,B4,B4,0.2552,P4,117,4/4,C Major
note,8090,349,66:41,F#4,Gb4,0.2041,m3,117,4/4,C Major
note,8091,356,63:39,D#4,Eb4,0.1531,M6,117,4/4,C Major
note,8096,3048,30:34,F#1,Gb1,0.1021,P1,117,4/4,C Major
note,8101,3070,42:26,F#2,Gb2,0.051,P5,117,4/4,C Major
note,8897,202,73:56,C#5,Db5,0.1531,M2,117,4/4,C Major
note,9093,150,71:63,B4,B4,0.1531,m2,117,4/4,C Major
note,9231,95,70:66,A#4,Bb4,0.2552,m2,117,4/4,C Major
note,9338,254,71:70,B4,B4,0.2041,M3,117,4/4,C Major
note,9550,1522,75:68,D#5,Eb5,0.1531,m7,117,4/4,C Major
note,9589,431,65:47,F4,F4,0.1021,m3,117,4/4,C Major
note,9592,514,68:49,G#4,Ab4,0.051,P4,117,4/4,C Major
note,11045,618,73:55,C#5,Db5,0.051,M2,117,4/4,C Major
note,11607,328,71:53,B4,B4,0.2552,P4,117,4/4,C Major
note,11640,1637,66:35,F#4,Gb4,0.2041,P1,117,4/4,C Major
note,11648,1930,30:32,F#1,Gb1,0.1531,P1,117,4/4,C Major
note,11652,2089,42:29,F#2,Gb2,0.1021,M3,117,4/4,C Major
note,11905,237,70:57,A#4,Bb4,0.1021,P4,117,4/4,C Major
note,12111,199,75:47,D#5,Eb5,0.1021,M2,117,4/4,C Major
note,12308,214,73:48,C#5,Db5,0.051,P1,117,4/4,C Major
note,12841,1928,73:45,C#5,Db5,0.051,m3,117,4/4,C Major
note,15748,401,70:54,A#4,Bb4,0.1021,m2,117,4/4,C Major
note,16062,88,71:58,B4,B4,0.2041,P4,117,4/4,C Major
note,16144,179,42:30,F#2,Gb2,0.2552,P5,117,4/4,C Major
note,16144,426,73:55,C#5,Db5,0.2552,P5,117,4/4,C Major
note,16353,185,54:40,F#3,Gb3,0.2552,P1,117,4/4,C Major
note,16494,401,66:66,F#4,Gb4,0.3572,P4,117,4/4,C Major
note,16515,165,61:48,C#4,Db4,0.3062,m3,117,4/4,C Major
note,16537,162,58:44,A#3,Bb3,0.2552,M3,117,4/4,C Major
note,16669,193,54:50,F#3,Gb3,0.2552,M7,117,4/4,C Major
note,16848,327,65:64,F4,F4,0.3572,M3,117,4/4,C Major
note,16867,171,61:42,C#4,Db4,0.3062,M2,117,4/4,C Major
note,16873,134,59:45,B3,B3,0.2552,P4,117,4/4,C Major
note,17028,175,54:44,F#3,Gb3,0.2552,P1,117,4/4,C Major
note,17177,150,66:61,F#4,Gb4,0.2552,P4,117,4/4,C Major
