type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,788,1976,67:51,G4,G4,0.1021,M3,120,4/4,C Major
note,807,1184,63:38,D#4,Eb4,0.051,M2,120,4/4,C Major
note,2489,2265,65:49,F4,F4,0.1021,P5,120,4/4,C Major
note,2498,1274,58:42,A#3,Bb3,0.051,m7,120,4/4,C Major
note,4591,1606,48:25,C3,C3,0.2041,m3,120,4/4,C Major
note,4595,2296,63:36,D#4,Eb4,0.1531,m6,120,4/4,C Major
note,4597,1474,55:33,G3,G3,0.1021,P5,120,4/4,C Major
note,4616,1264,36:29,C2,C2,0.051,m3,120,4/4,C Major
note,7303,1002,63:43,D#4,Eb4,0.1531,m3,120,4/4,C Major
note,7329,945,48:26,C3,C3,0.1021,m3,120,4/4,C Major
note,7331,962,51:33,D#3,Eb3,0.051,P4,120,4/4,C Major
note,7975,330,68:57,G#4,Ab4,0.2041,m7,120,4/4,C Major
note,8185,525,46:33,A#2,Bb2,0.1531,M6,120,4/4,C Major
note,8185,730,67:56,G4,G4,0.1531,m3,120,4/4,C Major
note,8186,517,52:36,E3,E3,0.051,m3,120,4/4,C Major
note,9067,1083,67:59,G4,G4,0.1531,m3,120,4/4,C Major
note,9069,1017,52:40,E3,E3,0.1021,d5,120,4/4,C Major
note,9091,970,46:36,A#2,Bb2,0.051,m3,120,4/4,C Major
note,9684,382,73:77,C#5,Db5,0.2041,M3,120,4/4,C Major
note,9950,1008,45:44,A2,A2,0.1531,m3,120,4/4,C Major
note,9951,582,72:73,C5,C5,0.1021,P5,120,4/4,C Major
note,9956,486,53:52,F3,F3,0.051,m2,120,4/4,C Major
note,10867,766,54:52,F#3,Gb3,0.3062,d5,120,4/4,C Major
note,10907,161,72:66,C5,C5,0.3062,M3,120,4/4,C Major
note,10913,774,44:42,G#2,Ab2,0.2552,d5,120,4/4,C Major
note,11088,93,74:66,D5,D5,0.2041,M2,120,4/4,C Major
note,11152,52,72:82,C5,C5,0.2041,m2,120,4/4,C Major
note,11202,80,71:85,B4,B4,0.1531,m2,120,4/4,C Major
note,11264,307,72:93,C5,C5,0.1021,M2,120,4/4,C Major
note,11498,459,74:89,D5,D5,0.1531,m2,120,4/4,C Major
note,11868,1698,75:89,D#5,Eb5,0.2041,m6,120,4/4,C Major
note,11879,561,55:50,G3,G3,0.1531,m6,120,4/4,C Major
note,11890,594,63:69,D#4,Eb4,0.1021,m6,120,4/4,C Major
note,11893,2275,43:45,G2,G2,0.051,M7,120,4/4,C Major
note,12782,654,66:56,F#4,Gb4,0.1531,m3,120,4/4,C Major
note,12816,755,63:37,D#4,Eb4,0.1021,d5,120,4/4,C Major
note,12822,443,57:39,A3,A3,0.051,m3,120,4/4,C Major
note,13235,660,72:62,C5,C5,0.051,m2,120,4/4,C Major
note,13738,606,71:46,B4,B4,0.2041,M3,120,4/4,C Major
note,13766,444,67:38,G4,G4,0.1531,m6,120,4/4,C Major
note,13771,571,59:36,B3,B3,0.1021,m3,120,4/4,C Major
note,13775,370,62:37,D4,D4,0.051,P4,120,4/4,C Major
note,14930,680,79:43,G5,G5,0.051,m6,120,4/4,C Major
note,15371,327,87:64,D#6,Eb6,0.051,P1,120,4/4,C Major
note,15880,1542,87:71,D#6,Eb6,0.2041,m6,120,4/4,C Major
note,15888,520,67:37,G4,G4,0.1531,m6,120,4/4,C Major
note,15900,592,75:45,D#5,Eb5,0.1021,m6,120,4/4,C Major
note,15916,2123,55:27,G3,G3,0.051,M7,120,4/4,C Major
note,16788,640,78:56,F#5,Gb5,0.1531,M6,120,4/4,C Major
note,16802,471,69:41,A4,A4,0.1021,d5,120,4/4,C Major
note,16811,688,75:48,D#5,Eb5,0.051,M6,120,4/4,C Major
note,17211,503,84:73,C6,C6,0.051,m2,120,4/4,C Major
note,17669,594,83:75,B5,B5,0.2041,P1,120,4/4,C Major
note,17687,474,71:42,B4,B4,0.1531,m3,120,4/4,C Major
note,17691,490,74:59,D5,D5,0.1021,P4,120,4/4,C Major
note,17695,542,79:54,G5,G5,0.051,m3,120,4/4,C Major
note,18609,728,82:83,A#5,Bb5,0.2552,P1,120,4/4,C Major
