type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1130,1359,63:48,D#4,Eb4,0.1021,M3,117,4/4,C Major
note,1134,1270,67:50,G4,G4,0.051,M2,117,4/4,C Major
note,3230,1630,65:47,F4,F4,0.1021,P5,117,4/4,C Major
note,3238,1775,58:43,A#3,Bb3,0.051,m7,117,4/4,C Major
note,6044,2510,48:29,C3,C3,0.2041,m3,117,4/4,C Major
note,6045,2787,63:39,D#4,Eb4,0.1531,m6,117,4/4,C Major
note,6057,2266,55:32,G3,G3,0.1021,P5,117,4/4,C Major
note,6065,2295,36:32,C2,C2,0.051,m3,117,4/4,C Major
note,9249,1179,63:49,D#4,Eb4,0.1531,P1,117,4/4,C Major
note,9272,547,51:34,D#3,Eb3,0.1021,m3,117,4/4,C Major
note,9278,510,48:35,C3,C3,0.051,m6,117,4/4,C Major
note,9912,334,68:55,G#4,Ab4,0.2041,m2,117,4/4,C Major
note,10132,800,67:61,G4,G4,0.1531,m3,117,4/4,C Major
note,10147,671,52:39,E3,E3,0.1021,d5,117,4/4,C Major
note,10155,660,46:42,A#2,Bb2,0.051,M6,117,4/4,C Major
note,11089,1127,67:70,G4,G4,0.1531,m3,117,4/4,C Major
note,11104,549,52:45,E3,E3,0.1021,d5,117,4/4,C Major
note,11107,784,46:45,A#2,Bb2,0.051,m3,117,4/4,C Major
note,11816,388,73:70,C#5,Db5,0.2041,m6,117,4/4,C Major
note,12065,601,53:43,F3,F3,0.1531,P5,117,4/4,C Major
note,12066,648,72:73,C5,C5,0.1021,m3,117,4/4,C Major
note,12084,731,45:44,A2,A2,0.051,m3,117,4/4,C Major
note,13220,247,72:64,C5,C5,0.2552,M3,117,4/4,C Major
note,13226,978,44:37,G#2,Ab2,0.2041,m7,117,4/4,C Major
note,13226,789,54:34,F#3,Gb3,0.2041,m6,117,4/4,C Major
note,13500,92,74:54,D5,D5,0.2041,M2,117,4/4,C Major
note,13587,41,72:62,C5,C5,0.1531,m2,117,4/4,C Major
note,13643,143,71:60,B4,B4,0.1531,m2,117,4/4,C Major
note,13724,270,72:71,C5,C5,0.1021,M2,117,4/4,C Major
note,13981,472,74:73,D5,D5,0.1021,m2,117,4/4,C Major
note,14359,1619,75:68,D#5,Eb5,0.2041,m6,117,4/4,C Major
note,14369,449,55:36,G3,G3,0.1531,m6,117,4/4,C Major
note,14375,467,63:48,D#4,Eb4,0.1021,m6,117,4/4,C Major
note,14377,1490,43:38,G2,G2,0.051,M2,117,4/4,C Major
note,15417,303,57:35,A3,A3,0.1531,M6,117,4/4,C Major
note,15435,544,66:44,F#4,Gb4,0.1021,m3,117,4/4,C Major
note,15436,532,63:36,D#4,Eb4,0.051,M6,117,4/4,C Major
note,15921,568,72:48,C5,C5,0.051,m2,117,4/4,C Major
note,16490,529,59:26,B3,B3,0.2552,P1,117,4/4,C Major
note,16501,67,71:42,B4,B4,0.2041,M6,117,4/4,C Major
note,16526,294,62:28,D4,D4,0.1531,P4,117,4/4,C Major
note,16551,431,67:20,G4,G4,0.1021,M3,117,4/4,C Major
note,16568,457,71:3,B4,B4,0.051,m6,117,4/4,C Major
note,17779,625,79:45,G5,G5,0.051,m6,117,4/4,C Major
note,18267,204,87:57,D#6,Eb6,0.051,P1,117,4/4,C Major
note,18827,1644,87:55,D#6,Eb6,0.2041,m6,117,4/4,C Major
note,18829,361,67:27,G4,G4,0.1531,P1,117,4/4,C Major
note,18831,1296,55:28,G3,G3,0.1021,m6,117,4/4,C Major
note,18844,573,75:41,D#5,Eb5,0.051,m3,117,4/4,C Major
note,19805,583,78:43,F#5,Gb5,0.1531,M6,117,4/4,C Major
note,19815,378,69:32,A4,A4,0.1021,d5,117,4/4,C Major
note,19833,596,75:35,D#5,Eb5,0.051,M6,117,4/4,C Major
note,20274,649,84:67,C6,C6,0.051,m2,117,4/4,C Major
note,20768,1371,83:59,B5,B5,0.2041,P1,117,4/4,C Major
note,20783,584,71:42,B4,B4,0.1531,m3,117,4/4,C Major
note,20792,639,74:41,D5,D5,0.1021,P4,117,4/4,C Major
note,20805,741,79:36,G5,G5,0.051,m3,117,4/4,C Major
