type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density
ticksPerQuarter,0,0,480,480,,
keySignature,0,0,-3:0,Eb Major,,
timeSignature,0,0,2:4,2/4,,
setTempo,0,0,2068966,28.999993233334912,,
noteOn,0,479,63:49,Eb4,Eb4,0.1826
noteOn,0,479,67:49,G4,G4,0.1826
noteOn,480,479,58:49,Bb3,Bb3,0.2739
noteOn,480,479,65:49,F4,F4,0.2739
noteOn,960,719,55:49,G3,G3,0.1826
noteOn,960,719,63:49,Eb4,Eb4,0.1826
noteOn,960,719,36:49,C2,C2,0.1826
noteOn,960,719,48:49,C3,C3,0.1826
noteOn,1680,179,63:49,Eb4,Eb4,0.4564
noteOn,1680,239,48:49,C3,C3,0.4564
noteOn,1680,239,51:49,Eb3,Eb3,0.4564
noteOn,1860,59,68:49,Ab4,Ab4,0.3651
noteOn,1920,239,67:49,G4,G4,0.4564
noteOn,1920,239,46:49,Bb2,Bb2,0.4564
noteOn,1920,239,52:49,E3,E3,0.4564
noteOn,2160,179,67:49,G4,G4,0.4564
noteOn,2160,239,46:49,Bb2,Bb2,0.4564
noteOn,2160,239,52:49,E3,E3,0.4564
noteOn,2340,59,73:49,Db5,Db5,0.6847
noteOn,2400,239,72:49,C5,C5,0.8216
noteOn,2400,239,45:49,A2,A2,0.8216
noteOn,2400,239,53:49,F3,F3,0.8216
noteOn,2640,13,73:49,Db5,Db5,0.8216
noteOn,2640,239,44:49,Ab2,Ab2,0.8216
noteOn,2640,239,54:49,Gb3,Gb3,0.8216
noteOn,2654,13,72:49,C5,C5,0.6847
noteOn,2669,13,70:49,Bb4,Bb4,0.639
noteOn,2685,35,72:49,C5,C5,0.5934
noteOn,2700,19,74:49,D5,D5,0.5477
noteOn,2720,40,72:49,C5,C5,0.5021
noteOn,2740,19,71:49,B4,B4,0.4564
noteOn,2760,59,72:49,C5,C5,0.4564
noteOn,2820,59,74:49,D5,D5,0.4108
noteOn,2880,359,75:49,Eb5,Eb5,0.5477
noteOn,2880,239,63:49,Eb4,Eb4,0.5477
noteOn,2880,239,55:49,G3,G3,0.5477
noteOn,2880,719,43:49,G2,G2,0.5477
noteOn,3120,239,63:49,Eb4,Eb4,0.4108
noteOn,3120,239,66:49,Gb4,Gb4,0.4108
noteOn,3120,239,57:49,A3,A3,0.4108
noteOn,3240,119,72:49,C5,C5,0.3195
noteOn,3360,239,71:49,B4,B4,0.4564
noteOn,3360,239,62:49,D4,D4,0.4564
noteOn,3360,239,67:49,G4,G4,0.4564
noteOn,3360,239,59:49,B3,B3,0.4564
noteOn,3600,119,79:49,G5,G5,0.4108
noteOn,3720,119,87:49,Eb6,Eb6,0.4108
noteOn,3840,359,87:49,Eb6,Eb6,0.5477
noteOn,3840,239,75:49,Eb5,Eb5,0.5477
noteOn,3840,239,67:49,G4,G4,0.5477
noteOn,3840,719,55:49,G3,G3,0.5477
noteOn,4080,239,75:55,Eb5,Eb5,0.5934
noteOn,4080,239,78:55,Gb5,Gb5,0.5934
noteOn,4080,239,69:55,A4,A4,0.5934
noteOn,4200,119,84:55,C6,C6,0.4564
noteOn,4320,239,83:58,B5,B5,0.639
noteOn,4320,239,74:58,D5,D5,0.639
noteOn,4320,239,79:58,G5,G5,0.639
noteOn,4320,239,71:58,B4,B4,0.639
noteOn,4560,239,82:61,Bb5,Bb5,0.5934
noteOn,4560,239,74:61,D5,D5,0.5934
noteOn,4560,239,79:61,G5,G5,0.5934
noteOn,4560,239,70:61,Bb4,Bb4,0.5934
noteOn,4560,239,67:61,G4,G4,0.5934
noteOn,4800,559,82:64,Bb5,Bb5,0.5021
noteOn,4800,239,74:64,D5,D5,0.5021
noteOn,4800,560,70:64,Bb4,Bb4,0.5021
noteOn,4800,239,65:64,F4,F4,0.5021
noteOn,4800,239,68:64,Ab4,Ab4,0.5021
noteOn,5040,239,75:59,Eb5,Eb5,0.5021
noteOn,5040,239,63:49,Eb4,Eb4,0.5021
noteOn,5040,239,67:49,G4,G4,0.5021
noteOn,5280,119,77:54,F5,F5,0.639
noteOn,5280,239,62:54,D4,D4,0.639
noteOn,5280,239,65:54,F4,F4,0.639
noteOn,5360,159,70:49,Bb4,Bb4,0.5021
noteOn,5440,79,72:49,C5,C5,0.4564
noteOn,5520,79,69:49,A4,A4,0.4108
noteOn,5520,239,58:49,Bb3,Bb3,0.4108
noteOn,5520,239,62:49,D4,D4,0.4108
noteOn,5600,79,70:49,Bb4,Bb4,0.2739
noteOn,5680,39,68:49,Ab4,Ab4,0.2282
noteOn,5760,479,58:49,Bb3,Bb3,0.4108
noteOn,5760,479,61:49,Db4,Db4,0.4108
noteOn,5760,479,64:49,E4,E4,0.4108
noteOn,5760,479,67:49,G4,G4,0.4108
noteOn,6240,479,56:49,Ab3,Ab3,0.4108
noteOn,6240,479,62:49,D4,D4,0.4108
noteOn,6240,479,65:49,F4,F4,0.4108
noteOn,6240,479,34:49,Bb1,Bb1,0.4108
noteOn,6240,479,46:49,Bb2,Bb2,0.4108
noteOn,6720,719,54:49,Gb3,Gb3,0.1826
noteOn,6720,719,63:49,Eb4,Eb4,0.1826
noteOn,6720,719,35:49,B1,B1,0.1826
noteOn,6720,719,47:49,B2,B2,0.1826
noteOn,7440,179,66:49,Gb4,Gb4,0.5934
noteOn,7440,239,63:49,Eb4,Eb4,0.5934
noteOn,7440,239,47:49,B2,B2,0.5934
noteOn,7440,239,54:49,Gb3,Gb3,0.5934
noteOn,7620,59,71:49,B4,B4,0.4564
noteOn,7680,239,71:49,B4,B4,0.5934
noteOn,7680,239,64:49,E4,E4,0.5934
noteOn,7680,239,49:49,Db3,Db3,0.5934
noteOn,7680,239,54:49,Gb3,Gb3,0.5934
noteOn,7920,179,70:49,Bb4,Bb4,0.5477
noteOn,7920,239,64:49,E4,E4,0.5477
noteOn,7920,239,49:49,Db3,Db3,0.5477
noteOn,7920,239,54:49,Gb3,Gb3,0.5477
noteOn,8100,59,76:49,E5,E5,0.7303
noteOn,8160,239,75:49,Eb5,Eb5,0.8216
noteOn,8160,239,63:49,Eb4,Eb4,0.8216
noteOn,8160,239,47:49,B2,B2,0.8216
noteOn,8160,239,54:49,Gb3,Gb3,0.8216
noteOn,8400,13,76:49,E5,E5,0.7303
noteOn,8400,239,46:49,Bb2,Bb2,0.7303
noteOn,8400,479,54:49,Gb3,Gb3,0.7303
noteOn,8414,13,75:49,Eb5,Eb5,0.5934
noteOn,8429,13,74:49,D5,D5,0.5477
noteOn,8445,35,75:49,Eb5,Eb5,0.5021
noteOn,8460,19,77:49,F5,F5,0.4564
noteOn,8480,40,75:49,Eb5,Eb5,0.4108
noteOn,8500,19,74:49,D5,D5,0.3651
noteOn,8520,59,75:49,Eb5,Eb5,0.3651
noteOn,8580,59,77:49,F5,F5,0.3195
noteOn,8640,359,78:49,Gb5,Gb5,0.4564
noteOn,8640,239,72:49,C5,C5,0.4564
noteOn,8640,479,45:49,A2,A2,0.4564
noteOn,8880,239,72:49,C5,C5,0.5021
noteOn,8880,239,53:49,F3,F3,0.5021
noteOn,9000,119,75:49,Eb5,Eb5,0.7303
noteOn,9120,239,74:49,D5,D5,0.8216
noteOn,9120,239,70:49,Bb4,Bb4,0.8216
noteOn,9120,239,53:49,F3,F3,0.8216
noteOn,9120,239,46:49,Bb2,Bb2,0.8216
noteOn,9360,13,75:49,Eb5,Eb5,0.7303
noteOn,9360,479,70:49,Bb4,Bb4,0.7303
noteOn,9360,479,52:49,E3,E3,0.7303
noteOn,9360,239,44:49,Ab2,Ab2,0.7303
noteOn,9374,13,73:49,Db5,Db5,0.5477
noteOn,9389,13,72:49,C5,C5,0.5021
noteOn,9405,35,73:49,Db5,Db5,0.4564
noteOn,9420,19,75:49,Eb5,Eb5,0.4108
noteOn,9440,40,73:49,Db5,Db5,0.3651
noteOn,9460,19,72:49,C5,C5,0.3195
noteOn,9480,59,73:49,Db5,Db5,0.3195
noteOn,9540,59,75:49,Eb5,Eb5,0.3195
noteOn,9600,359,76:49,E5,E5,0.4564
noteOn,9600,479,43:49,G2,G2,0.4564
noteOn,9840,239,70:49,Bb4,Bb4,0.639
noteOn,9840,239,51:49,Eb3,Eb3,0.639
noteOn,9960,59,75:49,Eb5,Eb5,0.5477
noteOn,10020,59,73:49,Db5,Db5,0.5021
noteOn,10080,239,71:49,B4,B4,0.7759
noteOn,10080,239,68:49,Ab4,Ab4,0.7759
noteOn,10080,239,51:49,Eb3,Eb3,0.7759
noteOn,10080,239,44:49,Ab2,Ab2,0.7759
noteOn,10320,239,75:49,Eb5,Eb5,0.5934
noteOn,10320,239,63:49,Eb4,Eb4,0.5934
noteOn,10320,239,70:49,Bb4,Bb4,0.5934
noteOn,10320,239,54:49,Gb3,Gb3,0.5934
noteOn,10320,239,42:49,Gb2,Gb2,0.5934
noteOn,10320,239,46:49,Bb2,Bb2,0.5934
noteOn,10560,239,62:49,D4,D4,0.3195
noteOn,10560,239,68:49,Ab4,Ab4,0.3195
noteOn,10560,239,70:49,Bb4,Bb4,0.3195
noteOn,10560,239,74:49,D5,D5,0.3195
noteOn,10560,239,41:49,F2,F2,0.3195
noteOn,10560,239,46:49,Bb2,Bb2,0.3195
noteOn,10560,239,53:49,F3,F3,0.3195
noteOn,11160,119,62:49,D4,D4,1.2324
noteOn,11160,119,68:49,Ab4,Ab4,1.2324
noteOn,11160,119,70:49,Bb4,Bb4,1.2324
noteOn,11160,119,74:49,D5,D5,1.2324
noteOn,11160,119,41:49,F2,F2,1.2324
noteOn,11160,119,46:49,Bb2,Bb2,1.2324
noteOn,11160,119,53:49,F3,F3,1.2324
noteOn,11280,119,63:49,Eb4,Eb4,0.9129
noteOn,11280,119,66:49,Gb4,Gb4,0.9129
noteOn,11280,119,70:49,Bb4,Bb4,0.9129
noteOn,11280,119,75:49,Eb5,Eb5,0.9129
noteOn,11280,119,39:49,Eb2,Eb2,0.9129
noteOn,11280,119,46:49,Bb2,Bb2,0.9129
noteOn,11280,119,51:49,Eb3,Eb3,0.9129
noteOn,11400,119,63:49,Eb4,Eb4,0.5934
noteOn,11400,119,66:49,Gb4,Gb4,0.5934
noteOn,11400,119,70:49,Bb4,Bb4,0.5934
noteOn,11400,119,75:49,Eb5,Eb5,0.5934
noteOn,11400,119,39:49,Eb2,Eb2,0.5934
noteOn,11400,119,46:49,Bb2,Bb2,0.5934
noteOn,11400,119,51:49,Eb3,Eb3,0.5934
noteOn,11520,239,65:49,F4,F4,0.2739
noteOn,11520,239,70:49,Bb4,Bb4,0.2739
noteOn,11520,239,77:49,F5,F5,0.2739
noteOn,11520,239,38:49,D2,D2,0.2739
noteOn,11520,239,46:49,Bb2,Bb2,0.2739
noteOn,11520,239,50:49,D3,D3,0.2739
noteOn,12120,119,70:49,Bb4,Bb4,0.7303
noteOn,12120,119,74:49,D5,D5,0.7303
noteOn,12120,119,65:49,F4,F4,0.7303
noteOn,12120,119,68:49,Ab4,Ab4,0.7303
noteOn,12240,119,70:49,Bb4,Bb4,0.5477
noteOn,12240,119,75:49,Eb5,Eb5,0.5477
noteOn,12240,119,63:49,Eb4,Eb4,0.5477
noteOn,12240,119,66:49,Gb4,Gb4,0.5477
noteOn,12360,119,70:49,Bb4,Bb4,0.3651
noteOn,12360,119,75:49,Eb5,Eb5,0.3651
noteOn,12360,119,63:49,Eb4,Eb4,0.3651
noteOn,12360,119,66:49,Gb4,Gb4,0.3651
noteOn,12480,239,70:49,Bb4,Bb4,0.1826
noteOn,12480,239,77:49,F5,F5,0.1826
noteOn,12480,239,62:49,D4,D4,0.1826
noteOn,12480,239,65:49,F4,F4,0.1826
noteOn,13080,119,70:49,Bb4,Bb4,0.7303
noteOn,13080,119,77:49,F5,F5,0.7303
noteOn,13080,119,62:49,D4,D4,0.7303
