type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,3:0,A Major,,,,,,
time_signature,0,0,6:8,6/8,,,,,,
tempo,0,0,634921,94.5,,,,,,
note,0,2159,40:49,E2,E2,0.3651,P1,94.5,6/8,A Major
note,0,479,52:49,E3,E3,0.3651,P1,94.5,6/8,A Major
note,0,239,64:49,E4,E4,0.3651,M3,94.5,6/8,A Major
note,0,479,68:49,G#4,Ab4,0.3651,M6,94.5,6/8,A Major
note,240,239,59:55,B3,B3,0.3195,m6,94.5,6/8,A Major
note,480,239,51:61,D#3,Eb3,0.3195,m3,94.5,6/8,A Major
note,480,239,66:61,F#4,Gb4,0.3195,m3,94.5,6/8,A Major
note,480,239,69:61,A4,A4,0.3195,P5,94.5,6/8,A Major
note,720,479,50:67,D3,D3,0.3195,d5,94.5,6/8,A Major
note,720,239,68:67,G#4,Ab4,0.3195,m3,94.5,6/8,A Major
note,720,479,71:67,B4,B4,0.3195,P5,94.5,6/8,A Major
note,960,239,64:73,E4,E4,0.2739,m3,94.5,6/8,A Major
note,1200,239,49:80,C#3,Db3,0.2739,m6,94.5,6/8,A Major
note,1200,479,69:80,A4,A4,0.2739,M3,94.5,6/8,A Major
note,1200,239,73:80,C#5,Db5,0.2739,M2,94.5,6/8,A Major
note,1440,719,47:80,B2,B2,0.2282,P4,94.5,6/8,A Major
note,1440,479,76:80,E5,E5,0.2282,m7,94.5,6/8,A Major
note,1680,239,66:80,F#4,Gb4,0.3195,P4,94.5,6/8,A Major
note,1920,239,71:80,B4,B4,0.2739,m3,94.5,6/8,A Major
note,1920,239,74:80,D5,D5,0.2739,m7,94.5,6/8,A Major
note,2160,719,40:80,E2,E2,0.2739,P1,94.5,6/8,A Major
note,2160,479,52:80,E3,E3,0.2739,M3,94.5,6/8,A Major
note,2160,479,68:80,G#4,Ab4,0.2739,m3,94.5,6/8,A Major
note,2160,479,71:80,B4,B4,0.2739,M2,94.5,6/8,A Major
note,2640,0,69:80,A4,A4,0.2282,P1,94.5,6/8,A Major
note,2640,479,69:80,A4,A4,0.2282,m3,94.5,6/8,A Major
note,2880,479,66:80,F#4,Gb4,0.2282,m3,94.5,6/8,A Major
note,2880,479,81:80,A5,A5,0.2282,P1,94.5,6/8,A Major
note,3120,719,69:80,A4,A4,0.2739,P4,94.5,6/8,A Major
note,3360,239,64:80,E4,E4,0.2739,M3,94.5,6/8,A Major
note,3360,239,80:80,G#5,Ab5,0.2739,M7,94.5,6/8,A Major
note,3600,719,57:80,A3,A3,0.2739,P4,94.5,6/8,A Major
note,3600,479,62:80,D4,D4,0.2739,M3,94.5,6/8,A Major
note,3600,479,78:80,F#5,Gb5,0.2739,M6,94.5,6/8,A Major
note,3840,719,69:80,A4,A4,0.2739,m6,94.5,6/8,A Major
note,4080,239,61:80,C#4,Db4,0.2739,m3,94.5,6/8,A Major
note,4080,239,76:80,E5,E5,0.2739,m3,94.5,6/8,A Major
note,4320,479,49:80,C#3,Db3,0.2739,P1,94.5,6/8,A Major
note,4320,719,61:80,C#4,Db4,0.2739,P4,94.5,6/8,A Major
note,4320,479,78:80,F#5,Gb5,0.2739,M6,94.5,6/8,A Major
note,4560,719,69:80,A4,A4,0.2282,P5,94.5,6/8,A Major
note,4800,239,50:80,D3,D3,0.3195,M2,94.5,6/8,A Major
note,4800,479,76:80,E5,E5,0.3195,P1,94.5,6/8,A Major
note,5040,719,52:80,E3,E3,0.3651,M6,94.5,6/8,A Major
note,5040,239,61:80,C#4,Db4,0.3651,M3,94.5,6/8,A Major
note,5280,239,57:80,A3,A3,0.4564,P5,94.5,6/8,A Major
note,5280,239,64:80,E4,E4,0.4564,M6,94.5,6/8,A Major
note,5280,239,73:80,C#5,Db5,0.4564,P4,94.5,6/8,A Major
note,5520,239,56:80,G#3,Ab3,0.3651,m6,94.5,6/8,A Major
note,5520,239,64:80,E4,E4,0.3651,P5,94.5,6/8,A Major
note,5520,239,71:80,B4,B4,0.3651,P5,94.5,6/8,A Major
tempo,5760,0,648647,92.5,,,,,,
