type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density
ticksPerQuarter,0,0,384,384,,
keySignature,0,0,0:0,C Major,,
timeSignature,0,0,4:4,4/4,,
setTempo,0,0,500000,120,,
noteOn,764,1767,72:60,C5,C5,0.2041
noteOn,766,880,68:48,G#4,Ab4,0.1531
noteOn,776,1815,44:37,G#2,Ab2,0.1021
noteOn,783,624,51:38,D#3,Eb3,0.051
noteOn,2083,171,68:58,G#4,Ab4,0.2552
noteOn,2099,167,48:42,C3,C3,0.3062
noteOn,2100,187,63:43,D#4,Eb4,0.2552
noteOn,2107,70,51:47,D#3,Eb3,0.2552
noteOn,2460,277,68:65,G#4,Ab4,0.2041
noteOn,2479,204,48:53,C3,C3,0.1531
noteOn,2479,293,63:54,D#4,Eb4,0.1531
noteOn,2490,175,51:45,D#3,Eb3,0.051
noteOn,3022,255,68:64,G#4,Ab4,0.4082
noteOn,3030,122,48:51,C3,C3,0.3572
noteOn,3030,123,63:49,D#4,Eb4,0.3572
noteOn,3037,38,51:51,D#3,Eb3,0.2552
noteOn,3248,483,67:53,G4,G4,0.2041
noteOn,3256,1003,73:68,C#5,Db5,0.1531
noteOn,3263,1010,46:53,A#2,Bb2,0.1021
noteOn,3269,436,51:39,D#3,Eb3,0.051
noteOn,4169,1177,49:41,C#3,Db3,0.2041
noteOn,4170,974,51:38,D#3,Eb3,0.1531
noteOn,4171,1148,67:29,G4,G4,0.1021
noteOn,4172,2127,70:52,A#4,Bb4,0.051
noteOn,6204,1145,48:36,C3,C3,0.2041
noteOn,6211,817,75:63,D#5,Eb5,0.1531
noteOn,6227,592,68:46,G#4,Ab4,0.1021
noteOn,6246,1053,51:39,D#3,Eb3,0.051
noteOn,6678,545,56:50,G#3,Ab3,0.1021
noteOn,7054,443,60:58,C4,C4,0.1531
noteOn,7413,229,73:78,C#5,Db5,0.2041
noteOn,7425,165,68:61,G#4,Ab4,0.1531
noteOn,7443,419,58:54,A#3,Bb3,0.1531
noteOn,7445,440,53:52,F3,F3,0.1021
noteOn,7819,457,75:80,D#5,Eb5,0.2041
noteOn,7830,255,60:56,C4,C4,0.1531
noteOn,7838,425,51:54,D#3,Eb3,0.1021
noteOn,7838,233,68:56,G#4,Ab4,0.1021
noteOn,8273,403,77:74,F5,F5,0.2041
noteOn,8283,151,61:46,C#4,Db4,0.1531
noteOn,8292,217,68:53,G#4,Ab4,0.1021
noteOn,8294,513,49:44,C#3,Db3,0.051
noteOn,8816,557,75:57,D#5,Eb5,0.2041
noteOn,8834,417,51:44,D#3,Eb3,0.1531
noteOn,8834,339,58:37,A#3,Bb3,0.1531
noteOn,8841,667,67:32,G4,G4,0.051
noteOn,9443,98,74:53,D5,D5,0.2552
noteOn,9711,729,51:41,D#3,Eb3,0.3062
noteOn,9715,213,67:46,G4,G4,0.2552
noteOn,9717,182,73:54,C#5,Db5,0.2041
noteOn,9733,1058,58:35,A#3,Bb3,0.1531
noteOn,9947,62,75:45,D#5,Eb5,0.2552
noteOn,10038,56,73:41,C#5,Db5,0.3062
noteOn,10127,50,75:54,D#5,Eb5,0.3062
noteOn,10210,39,73:48,C#5,Db5,0.3062
noteOn,10280,38,75:53,D#5,Eb5,0.3062
noteOn,10342,40,73:55,C#5,Db5,0.3062
noteOn,10417,45,75:61,D#5,Eb5,0.3062
noteOn,10489,33,73:49,C#5,Db5,0.3062
noteOn,10574,26,75:51,D#5,Eb5,0.3572
noteOn,10611,37,73:58,C#5,Db5,0.3062
noteOn,10678,52,75:62,D#5,Eb5,0.3062
noteOn,10750,36,73:50,C#5,Db5,0.3062
noteOn,10837,33,75:60,D#5,Eb5,0.3062
noteOn,10886,41,73:55,C#5,Db5,0.3062
noteOn,10953,43,75:61,D#5,Eb5,0.3062
noteOn,11029,37,73:55,C#5,Db5,0.2552
noteOn,11102,36,75:61,D#5,Eb5,0.2552
noteOn,11167,45,73:53,C#5,Db5,0.2041
noteOn,11242,71,75:59,D#5,Eb5,0.2041
noteOn,11315,51,73:48,C#5,Db5,0.2041
noteOn,11466,150,72:63,C5,C5,0.1531
noteOn,11576,151,73:59,C#5,Db5,0.1531
noteOn,11690,144,75:67,D#5,Eb5,0.1531
noteOn,11903,121,73:57,C#5,Db5,0.1531
noteOn,11996,331,75:69,D#5,Eb5,0.1021
noteOn,12286,402,77:58,F5,F5,0.051
noteOn,12816,262,75:43,D#5,Eb5,0.1021
