type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,775,1548,72:53,C5,C5,0.2041,M6,120,4/4,C Major
note,776,863,51:39,D#3,Eb3,0.1531,P4,120,4/4,C Major
note,792,652,68:45,G#4,Ab4,0.1021,P1,120,4/4,C Major
note,801,1514,44:28,G#2,Ab2,0.051,P1,120,4/4,C Major
note,2205,208,68:31,G#4,Ab4,0.2041,P4,120,4/4,C Major
note,2214,183,63:32,D#4,Eb4,0.1531,P1,120,4/4,C Major
note,2217,188,51:23,D#3,Eb3,0.1021,m3,120,4/4,C Major
note,2219,189,48:31,C3,C3,0.051,m6,120,4/4,C Major
note,2646,254,68:58,G#4,Ab4,0.2041,P4,120,4/4,C Major
note,2653,230,63:47,D#4,Eb4,0.1531,P1,120,4/4,C Major
note,2659,172,51:31,D#3,Eb3,0.1021,m3,120,4/4,C Major
note,2668,155,48:32,C3,C3,0.051,m6,120,4/4,C Major
note,3255,293,68:72,G#4,Ab4,0.4082,m6,120,4/4,C Major
note,3256,265,48:40,C3,C3,0.3572,m3,120,4/4,C Major
note,3263,102,51:38,D#3,Eb3,0.3062,P1,120,4/4,C Major
note,3270,345,63:48,D#4,Eb4,0.2552,m7,120,4/4,C Major
note,3517,1005,73:65,C#5,Db5,0.2041,d5,120,4/4,C Major
note,3542,321,67:47,G4,G4,0.1531,M3,120,4/4,C Major
note,3546,428,51:35,D#3,Eb3,0.1021,P4,120,4/4,C Major
note,3547,1117,46:37,A#2,Bb2,0.051,P4,120,4/4,C Major
note,4501,636,51:26,D#3,Eb3,0.2041,P5,120,4/4,C Major
note,4506,1759,70:44,A#4,Bb4,0.1531,m3,120,4/4,C Major
note,4510,681,67:33,G4,G4,0.1021,d5,120,4/4,C Major
note,4522,832,49:26,C#3,Db3,0.051,M2,120,4/4,C Major
note,6217,1280,75:55,D#5,Eb5,0.2041,P1,120,4/4,C Major
note,6221,445,51:39,D#3,Eb3,0.1531,m3,120,4/4,C Major
note,6241,522,48:25,C3,C3,0.1021,m6,120,4/4,C Major
note,6251,354,68:33,G#4,Ab4,0.051,P1,120,4/4,C Major
note,6707,430,56:47,G#3,Ab3,0.051,M3,120,4/4,C Major
note,7106,471,60:51,C4,C4,0.051,M2,120,4/4,C Major
note,7501,362,58:45,A#3,Bb3,0.2041,m3,120,4/4,C Major
note,7503,519,73:60,C#5,Db5,0.1531,P4,120,4/4,C Major
note,7504,235,68:45,G#4,Ab4,0.1021,m3,120,4/4,C Major
note,7510,354,53:36,F3,F3,0.051,m7,120,4/4,C Major
note,7916,247,75:79,D#5,Eb5,0.2041,P1,120,4/4,C Major
note,7922,178,51:43,D#3,Eb3,0.1531,M6,120,4/4,C Major
note,7924,162,60:45,C4,C4,0.1021,m6,120,4/4,C Major
note,7929,179,68:57,G#4,Ab4,0.051,M6,120,4/4,C Major
note,8381,269,77:82,F5,F5,0.2041,M3,120,4/4,C Major
note,8390,897,61:44,C#4,Db4,0.1531,P5,120,4/4,C Major
note,8395,264,68:57,G#4,Ab4,0.1021,P5,120,4/4,C Major
note,8397,308,49:43,C#3,Db3,0.051,M2,120,4/4,C Major
note,9125,791,75:46,D#5,Eb5,0.2041,P4,120,4/4,C Major
note,9128,636,58:37,A#3,Bb3,0.1531,M6,120,4/4,C Major
note,9137,518,67:35,G4,G4,0.1021,M3,120,4/4,C Major
note,9144,604,51:25,D#3,Eb3,0.051,M7,120,4/4,C Major
note,9908,365,74:56,D5,D5,0.2041,M3,120,4/4,C Major
note,10203,2813,58:34,A#3,Bb3,0.2552,P5,120,4/4,C Major
note,10214,2743,51:34,D#3,Eb3,0.2041,M3,120,4/4,C Major
note,10288,299,67:37,G4,G4,0.1531,d5,120,4/4,C Major
note,10293,269,73:45,C#5,Db5,0.1021,M2,120,4/4,C Major
note,10569,159,75:49,D#5,Eb5,0.2041,M2,120,4/4,C Major
note,10720,117,73:47,C#5,Db5,0.2552,M2,120,4/4,C Major
note,10844,82,75:49,D#5,Eb5,0.3062,M2,120,4/4,C Major
note,10948,48,73:46,C#5,Db5,0.3572,M2,120,4/4,C Major
note,11007,58,75:38,D#5,Eb5,0.3062,M2,120,4/4,C Major
