type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512821,117,,,,,,
note,1466,449,72:58,C5,C5,0.5477,P5,117,4/4,C Major
note,1498,227,41:38,F2,F2,0.5021,m3,117,4/4,C Major
note,1498,251,68:41,G#4,Ab4,0.5021,m3,117,4/4,C Major
note,1516,80,53:25,F3,F3,0.4108,P4,117,4/4,C Major
note,1695,234,70:67,A#4,Bb4,0.5477,d5,117,4/4,C Major
note,1706,49,64:56,E4,E4,0.5021,M6,117,4/4,C Major
note,1735,39,43:42,G2,G2,0.4564,P1,117,4/4,C Major
note,1755,70,55:39,G3,G3,0.4108,m2,117,4/4,C Major
note,1896,83,68:71,G#4,Ab4,0.5477,P1,117,4/4,C Major
note,1928,218,44:51,G#2,Ab2,0.5477,M6,117,4/4,C Major
note,1929,209,65:60,F4,F4,0.5021,M6,117,4/4,C Major
note,1939,166,56:45,G#3,Ab3,0.4564,M7,117,4/4,C Major
note,2124,241,67:70,G4,G4,0.4564,M6,117,4/4,C Major
note,2135,71,58:62,A#3,Bb3,0.5934,P1,117,4/4,C Major
note,2138,57,46:52,A#2,Bb2,0.5477,m3,117,4/4,C Major
note,2140,46,61:58,C#4,Db4,0.5021,m2,117,4/4,C Major
note,2359,26,62:59,D4,D4,0.4564,m3,117,4/4,C Major
note,2364,32,65:60,F4,F4,0.4108,M6,117,4/4,C Major
note,2370,40,56:54,G#3,Ab3,0.3651,m3,117,4/4,C Major
note,2371,34,59:53,B3,B3,0.3195,P1,117,4/4,C Major
note,2381,40,47:42,B2,B2,0.2739,P1,117,4/4,C Major
note,2599,41,47:49,B2,B2,0.4108,P1,117,4/4,C Major
note,2608,35,59:43,B3,B3,0.3651,m3,117,4/4,C Major
note,2609,37,56:42,G#3,Ab3,0.3195,M6,117,4/4,C Major
note,2609,26,65:59,F4,F4,0.3195,m3,117,4/4,C Major
note,2614,35,62:47,D4,D4,0.2282,M2,117,4/4,C Major
note,2878,93,64:58,E4,E4,0.3651,M3,117,4/4,C Major
note,2899,86,48:44,C3,C3,0.3195,P1,117,4/4,C Major
note,2899,61,60:27,C4,C4,0.3195,P4,117,4/4,C Major
note,2914,75,55:32,G3,G3,0.2282,P1,117,4/4,C Major
note,3328,248,79:95,G5,G5,0.7303,P5,117,4/4,C Major
note,3343,117,72:85,C5,C5,0.6847,P1,117,4/4,C Major
note,3345,113,48:98,C3,C3,0.639,P1,117,4/4,C Major
note,3346,160,36:92,C2,C2,0.5934,M3,117,4/4,C Major
note,3396,50,76:23,E5,E5,0.5477,P1,117,4/4,C Major
note,3543,56,76:91,E5,E5,0.7303,P1,117,4/4,C Major
note,3554,69,40:81,E2,E2,0.6847,P1,117,4/4,C Major
note,3554,87,52:90,E3,E3,0.6847,m3,117,4/4,C Major
note,3555,28,67:87,G4,G4,0.5934,P4,117,4/4,C Major
note,3559,21,72:75,C5,C5,0.5477,P1,117,4/4,C Major
