type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,480,480,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,512819,117,,,,,,
note,1918,1602,77:39,F5,F5,0.1826,M3,117,4/4,C Major
note,1934,1471,73:33,C#5,Db5,0.1369,m3,117,4/4,C Major
note,1965,1030,34:23,A#1,Bb1,0.0913,P1,117,4/4,C Major
note,1975,1028,46:20,A#2,Bb2,0.0456,P5,117,4/4,C Major
note,4125,364,77:52,F5,F5,0.3651,M3,117,4/4,C Major
note,4141,367,73:42,C#5,Db5,0.3195,m3,117,4/4,C Major
note,4174,68,46:16,A#2,Bb2,0.2739,P1,117,4/4,C Major
note,4183,58,34:16,A#1,Bb1,0.2282,m6,117,4/4,C Major
note,4452,446,78:52,F#5,Gb5,0.1826,m3,117,4/4,C Major
note,4459,540,75:47,D#5,Eb5,0.1369,P4,117,4/4,C Major
note,4469,531,46:26,A#2,Bb2,0.0913,P1,117,4/4,C Major
note,4472,468,34:22,A#1,Bb1,0.0456,M7,117,4/4,C Major
note,5787,621,69:45,A4,A4,0.2739,M6,117,4/4,C Major
note,5805,543,60:38,C4,C4,0.2282,m3,117,4/4,C Major
note,5813,684,63:30,D#4,Eb4,0.1826,P4,117,4/4,C Major
note,5821,549,46:21,A#2,Bb2,0.1369,P1,117,4/4,C Major
note,5835,508,34:22,A#1,Bb1,0.0913,m6,117,4/4,C Major
note,5842,80,66:24,F#4,Gb4,0.0456,M3,117,4/4,C Major
note,7101,757,70:37,A#4,Bb4,0.2282,M6,117,4/4,C Major
note,7121,582,61:28,C#4,Db4,0.1826,M3,117,4/4,C Major
note,7124,562,65:32,F4,F4,0.1369,P5,117,4/4,C Major
note,7139,4429,46:22,A#2,Bb2,0.0913,P1,117,4/4,C Major
note,7145,4334,34:25,A#1,Bb1,0.0456,P5,117,4/4,C Major
note,8665,1462,77:50,F5,F5,0.0913,m3,117,4/4,C Major
note,8681,1378,74:42,D5,D5,0.0456,d5,117,4/4,C Major
note,9773,1417,80:58,G#5,Ab5,0.0913,P4,117,4/4,C Major
note,9777,1885,75:43,D#5,Eb5,0.0456,m3,117,4/4,C Major
note,11038,753,78:45,F#5,Gb5,0.0456,P1,117,4/4,C Major
note,12556,1634,78:41,F#5,Gb5,0.1826,m3,117,4/4,C Major
note,12571,1906,75:35,D#5,Eb5,0.1369,M3,117,4/4,C Major
note,12612,854,47:15,B2,B2,0.0913,P1,117,4/4,C Major
note,12617,1215,35:21,B1,B1,0.0456,M6,117,4/4,C Major
note,14858,1168,80:57,G#5,Ab5,0.1826,M6,117,4/4,C Major
note,14863,1363,71:44,B4,B4,0.1369,P5,117,4/4,C Major
note,14888,1100,52:30,E3,E3,0.0913,P1,117,4/4,C Major
note,14915,1173,40:31,E2,E2,0.0456,M6,117,4/4,C Major
note,17094,1320,61:52,C#4,Db4,0.1826,M2,117,4/4,C Major
note,17101,1066,59:45,B3,B3,0.1369,P4,117,4/4,C Major
