type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,766,43,63:91,D#4,Eb4,0.2041,P1,120,4/4,C Major
note,772,60,51:90,D#3,Eb3,0.1531,m3,120,4/4,C Major
note,928,597,54:95,F#3,Gb3,0.1021,P1,120,4/4,C Major
note,934,701,42:89,F#2,Gb2,0.051,M6,120,4/4,C Major
note,2080,133,75:92,D#5,Eb5,0.6124,P1,120,4/4,C Major
note,2081,116,63:93,D#4,Eb4,0.5613,d5,120,4/4,C Major
note,2083,103,69:80,A4,A4,0.5103,m3,120,4/4,C Major
note,2083,103,72:84,C5,C5,0.5103,d5,120,4/4,C Major
note,2084,51,42:96,F#2,Gb2,0.4082,P1,120,4/4,C Major
note,2091,27,30:80,F#1,Gb1,0.3572,P1,120,4/4,C Major
note,2288,1389,54:86,F#3,Gb3,0.3062,M6,120,4/4,C Major
note,2289,1238,63:91,D#4,Eb4,0.2552,d5,120,4/4,C Major
note,2291,1386,69:79,A4,A4,0.2041,d5,120,4/4,C Major
note,2291,1201,75:102,D#5,Eb5,0.2041,m3,120,4/4,C Major
note,2292,1399,72:84,C5,C5,0.1021,d5,120,4/4,C Major
note,2296,1213,42:84,F#2,Gb2,0.051,d5,120,4/4,C Major
note,4330,169,72:90,C5,C5,0.4082,m3,120,4/4,C Major
note,4333,81,69:75,A4,A4,0.3572,d5,120,4/4,C Major
note,4334,119,63:80,D#4,Eb4,0.3572,M6,120,4/4,C Major
note,4338,104,54:71,F#3,Gb3,0.3062,M6,120,4/4,C Major
note,4563,1212,63:76,D#4,Eb4,0.4082,M6,120,4/4,C Major
note,4567,125,72:85,C5,C5,0.3572,m3,120,4/4,C Major
note,4569,260,69:76,A4,A4,0.3062,m3,120,4/4,C Major
note,4571,1168,54:65,F#3,Gb3,0.2552,m6,120,4/4,C Major
note,4718,60,74:72,D5,D5,0.3572,M2,120,4/4,C Major
note,4798,50,72:71,C5,C5,0.3572,M2,120,4/4,C Major
note,4871,44,74:64,D5,D5,0.4082,M2,120,4/4,C Major
note,4929,29,72:69,C5,C5,0.4082,M2,120,4/4,C Major
note,4976,37,74:63,D5,D5,0.4082,M2,120,4/4,C Major
note,5021,35,72:73,C5,C5,0.3572,M2,120,4/4,C Major
note,5089,28,74:55,D5,D5,0.3062,M2,120,4/4,C Major
note,5141,24,72:68,C5,C5,0.3062,M2,120,4/4,C Major
note,5191,34,74:69,D5,D5,0.3062,M2,120,4/4,C Major
note,5247,28,72:65,C5,C5,0.2552,M2,120,4/4,C Major
note,5304,61,74:57,D5,D5,0.2552,M2,120,4/4,C Major
note,5345,30,72:58,C5,C5,0.2041,M2,120,4/4,C Major
note,5495,72,74:64,D5,D5,0.2041,M2,120,4/4,C Major
note,5568,65,72:62,C5,C5,0.1531,m2,120,4/4,C Major
note,5663,175,71:54,B4,B4,0.1021,m2,120,4/4,C Major
note,5844,260,72:62,C5,C5,0.2552,m2,120,4/4,C Major
note,6094,472,71:59,B4,B4,0.2041,M3,120,4/4,C Major
note,6108,449,67:43,G4,G4,0.1531,P4,120,4/4,C Major
note,6111,454,62:39,D4,D4,0.1021,P5,120,4/4,C Major
note,6117,454,55:39,G3,G3,0.051,P4,120,4/4,C Major
note,7259,491,72:54,C5,C5,0.3062,M6,120,4/4,C Major
note,7270,491,63:43,D#4,Eb4,0.2552,m3,120,4/4,C Major
note,7275,546,48:38,C3,C3,0.2041,P5,120,4/4,C Major
note,7277,478,67:43,G4,G4,0.1531,P5,120,4/4,C Major
note,7278,446,60:36,C4,C4,0.1021,P4,120,4/4,C Major
note,7283,475,55:43,G3,G3,0.051,m6,120,4/4,C Major
note,8139,387,35:45,B1,B1,0.3572,m3,120,4/4,C Major
note,8232,205,38:54,D2,D2,0.4082,P4,120,4/4,C Major
note,8290,226,43:64,G2,G2,0.4082,M3,120,4/4,C Major
note,8355,104,47:71,B2,B2,0.6124,m3,120,4/4,C Major
note,8385,50,50:68,D3,D3,0.5613,P4,120,4/4,C Major
note,8426,61,55:79,G3,G3,0.5613,M3,120,4/4,C Major
note,8483,21,59:80,B3,B3,0.5103,m3,120,4/4,C Major
note,8554,51,62:82,D4,D4,0.4593,P4,120,4/4,C Major
