type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,949,888,67:60,G4,G4,0.3195,M3,120,4/4,C Major
note,958,520,63:47,D#4,Eb4,0.2739,P1,120,4/4,C Major
note,963,127,39:52,D#2,Eb2,0.2282,P5,120,4/4,C Major
note,972,496,58:42,A#3,Bb3,0.1826,P5,120,4/4,C Major
note,1104,42,51:56,D#3,Eb3,0.1826,P1,120,4/4,C Major
note,1232,34,51:63,D#3,Eb3,0.1826,P1,120,4/4,C Major
note,1351,40,51:62,D#3,Eb3,0.3195,P1,120,4/4,C Major
note,1480,41,51:61,D#3,Eb3,0.3195,P1,120,4/4,C Major
note,1604,37,51:62,D#3,Eb3,0.3195,P1,120,4/4,C Major
note,1759,329,63:52,D#4,Eb4,0.3195,P1,120,4/4,C Major
note,1761,38,51:35,D#3,Eb3,0.2739,M3,120,4/4,C Major
note,1762,280,55:44,G3,G3,0.2282,m3,120,4/4,C Major
note,1769,325,58:46,A#3,Bb3,0.1826,P5,120,4/4,C Major
note,1911,37,51:37,D#3,Eb3,0.1826,P1,120,4/4,C Major
note,2038,41,51:69,D#3,Eb3,0.1826,P1,120,4/4,C Major
note,2166,44,51:63,D#3,Eb3,0.3651,P1,120,4/4,C Major
note,2298,33,51:67,D#3,Eb3,0.3651,P1,120,4/4,C Major
note,2411,43,51:67,D#3,Eb3,0.3651,M3,120,4/4,C Major
note,2567,386,67:78,G4,G4,0.3651,m3,120,4/4,C Major
note,2570,427,70:94,A#4,Bb4,0.3195,P1,120,4/4,C Major
note,2583,449,58:73,A#3,Bb3,0.2739,P4,120,4/4,C Major
note,2584,430,63:68,D#4,Eb4,0.2282,P1,120,4/4,C Major
note,2590,108,39:67,D#2,Eb2,0.1826,P1,120,4/4,C Major
note,2720,39,51:72,D#3,Eb3,0.1826,P1,120,4/4,C Major
note,2844,42,51:66,D#3,Eb3,0.1826,P1,120,4/4,C Major
note,2989,36,51:67,D#3,Eb3,0.3651,P1,120,4/4,C Major
note,3125,35,51:63,D#3,Eb3,0.3651,P1,120,4/4,C Major
note,3244,37,51:62,D#3,Eb3,0.3651,P1,120,4/4,C Major
note,3393,37,51:57,D#3,Eb3,0.3651,M3,120,4/4,C Major
note,3396,400,67:63,G4,G4,0.3195,M6,120,4/4,C Major
note,3421,251,58:41,A#3,Bb3,0.2739,P4,120,4/4,C Major
note,3425,371,63:47,D#4,Eb4,0.2282,m6,120,4/4,C Major
note,3427,246,55:31,G3,G3,0.1826,M3,120,4/4,C Major
note,3532,40,51:64,D#3,Eb3,0.1826,P1,120,4/4,C Major
note,3658,39,51:64,D#3,Eb3,0.2282,P1,120,4/4,C Major
note,3784,43,51:69,D#3,Eb3,0.3651,P1,120,4/4,C Major
note,3908,41,51:62,D#3,Eb3,0.3651,P1,120,4/4,C Major
note,4033,39,51:60,D#3,Eb3,0.3651,P5,120,4/4,C Major
