type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density
ticksPerQuarter,0,0,480,480,,
keySignature,0,0,0:0,C Major,,
timeSignature,0,0,4:4,4/4,,
setTempo,0,0,512821,116.99988885010559,,
noteOn,5963,605,69:45,A4,A4,0.1826
noteOn,6324,225,66:40,F#4,Gb4,0.1826
noteOn,6345,830,50:30,D3,D3,0.1369
noteOn,6355,331,57:32,A3,A3,0.1369
noteOn,6594,349,78:54,F#5,Gb5,0.0913
noteOn,6833,312,76:62,E5,E5,0.2282
noteOn,7100,260,74:59,D5,D5,0.2282
noteOn,7111,419,52:42,E3,E3,0.1826
noteOn,7121,450,67:45,G4,G4,0.1369
noteOn,7135,315,57:44,A3,A3,0.1369
noteOn,7361,225,73:57,C#5,Db5,0.0913
noteOn,7608,35,76:63,E5,E5,0.2282
noteOn,7920,1229,74:61,D5,D5,0.1826
noteOn,7943,313,57:37,A3,A3,0.1369
noteOn,7946,757,69:46,A4,A4,0.0913
noteOn,7956,848,54:34,F#3,Gb3,0.0456
noteOn,8755,370,66:49,F#4,Gb4,0.2282
noteOn,8763,277,50:38,D3,D3,0.1826
noteOn,8768,203,57:39,A3,A3,0.1369
noteOn,9005,220,69:56,A4,A4,0.1826
noteOn,9224,60,71:64,B4,B4,0.2739
noteOn,9464,202,69:56,A4,A4,0.3651
noteOn,9478,102,64:52,E4,E4,0.3195
noteOn,9486,443,57:36,A3,A3,0.2739
noteOn,9489,421,49:39,C#3,Db3,0.2282
noteOn,9684,36,67:63,G4,G4,0.3195
noteOn,9891,34,61:64,C#4,Db4,0.3651
noteOn,9894,32,69:68,A4,A4,0.3195
noteOn,9895,253,45:54,A2,A2,0.2739
noteOn,10148,231,67:59,G4,G4,0.4564
noteOn,10156,450,50:53,D3,D3,0.4108
noteOn,10158,205,64:58,E4,E4,0.3651
noteOn,10165,181,57:52,A3,A3,0.3195
noteOn,10365,51,66:65,F#4,Gb4,0.2739
noteOn,10378,33,62:52,D4,D4,0.2282
noteOn,10586,374,43:50,G2,G2,0.3651
noteOn,10586,55,67:66,G4,G4,0.3651
noteOn,10596,42,59:61,B3,B3,0.2739
noteOn,10604,47,64:45,E4,E4,0.2282
noteOn,10859,847,66:66,F#4,Gb4,0.1826
noteOn,10875,140,62:50,D4,D4,0.1369
noteOn,10878,86,57:50,A3,A3,0.0913
noteOn,10885,135,45:54,A2,A2,0.0456
noteOn,11369,506,57:74,A3,A3,0.1826
noteOn,11618,97,64:57,E4,E4,0.2282
noteOn,11621,73,61:51,C#4,Db4,0.1826
noteOn,11821,265,55:73,G3,G3,0.1369
noteOn,12044,512,71:88,B4,B4,0.2739
noteOn,12056,318,54:70,F#3,Gb3,0.2282
noteOn,12321,233,67:63,G4,G4,0.2739
noteOn,12328,242,59:60,B3,B3,0.2282
noteOn,12335,276,55:57,G3,G3,0.1826
noteOn,12339,265,52:58,E3,E3,0.1369
noteOn,12548,268,79:78,G5,G5,0.0913
noteOn,12765,348,78:83,F#5,Gb5,0.3195
noteOn,13061,269,76:78,E5,E5,0.3651
noteOn,13083,342,63:53,D#4,Eb4,0.3195
