type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1503,2118,60:91,C4,C4,0.3572,P1,117,4/4,C Major
note,1509,1961,48:62,C3,C3,0.3062,P1,117,4/4,C Major
note,1512,1848,36:71,C2,C2,0.2552,m3,117,4/4,C Major
note,1513,1807,51:79,D#3,Eb3,0.2041,P1,117,4/4,C Major
note,1515,1903,39:67,D#2,Eb2,0.1531,M3,117,4/4,C Major
note,1517,1872,43:69,G2,G2,0.1021,P1,117,4/4,C Major
note,1517,1913,55:78,G3,G3,0.1021,P4,117,4/4,C Major
note,3917,74,60:64,C4,C4,0.3572,M6,117,4/4,C Major
note,3919,77,51:47,D#3,Eb3,0.3062,M3,117,4/4,C Major
note,3922,50,55:51,G3,G3,0.2552,P5,117,4/4,C Major
note,4050,361,62:58,D4,D4,0.2041,P1,117,4/4,C Major
note,4058,506,50:45,D3,D3,0.1531,P4,117,4/4,C Major
note,4058,404,55:45,G3,G3,0.1531,M3,117,4/4,C Major
note,4058,463,59:50,B3,B3,0.1531,M3,117,4/4,C Major
note,4737,56,55:39,G3,G3,0.4082,P5,117,4/4,C Major
note,4739,158,48:39,C3,C3,0.3572,m3,117,4/4,C Major
note,4742,61,63:56,D#4,Eb4,0.3062,m3,117,4/4,C Major
note,4745,60,60:45,C4,C4,0.2552,m3,117,4/4,C Major
note,4895,1251,63:47,D#4,Eb4,0.2041,d5,117,4/4,C Major
note,4912,1592,57:34,A3,A3,0.1531,m3,117,4/4,C Major
note,4913,1605,54:41,F#3,Gb3,0.1021,d5,117,4/4,C Major
note,4915,1506,60:24,C4,C4,0.051,M2,117,4/4,C Major
note,6634,864,62:45,D4,D4,0.1531,m3,117,4/4,C Major
note,6644,846,59:38,B3,B3,0.1021,M3,117,4/4,C Major
note,6659,896,55:28,G3,G3,0.051,M7,117,4/4,C Major
note,8390,56,44:86,G#2,Ab2,0.2552,M6,117,4/4,C Major
note,8576,1893,65:90,F4,F4,0.2041,m3,117,4/4,C Major
note,8582,1934,62:85,D4,D4,0.1531,m3,117,4/4,C Major
note,8584,1927,59:85,B3,B3,0.1021,m3,117,4/4,C Major
note,8599,2006,56:72,G#3,Ab3,0.051,m3,117,4/4,C Major
note,10907,73,59:54,B3,B3,0.4082,d5,117,4/4,C Major
note,10910,94,65:58,F4,F4,0.3572,m3,117,4/4,C Major
note,10916,55,62:49,D4,D4,0.3062,d5,117,4/4,C Major
note,10930,90,56:44,G#3,Ab3,0.2552,M7,117,4/4,C Major
note,11070,283,67:60,G4,G4,0.2041,m6,117,4/4,C Major
note,11079,407,59:54,B3,B3,0.1531,m3,117,4/4,C Major
note,11079,480,62:47,D4,D4,0.1531,P5,117,4/4,C Major
note,11092,543,55:37,G3,G3,0.051,M3,117,4/4,C Major
note,11785,96,59:50,B3,B3,0.4082,M6,117,4/4,C Major
note,11785,90,68:58,G#4,Ab4,0.4082,d5,117,4/4,C Major
note,11790,77,62:50,D4,D4,0.3062,M6,117,4/4,C Major
note,11792,169,53:41,F3,F3,0.2552,d5,117,4/4,C Major
note,11966,950,59:46,B3,B3,0.2041,M6,117,4/4,C Major
note,11970,1380,68:50,G#4,Ab4,0.1531,d5,117,4/4,C Major
note,11982,1157,62:42,D4,D4,0.1021,M7,117,4/4,C Major
note,11988,2794,51:40,D#3,Eb3,0.051,M3,117,4/4,C Major
note,13829,902,67:40,G4,G4,0.1531,P5,117,4/4,C Major
note,13836,898,60:34,C4,C4,0.1021,m3,117,4/4,C Major
note,13836,917,63:35,D#4,Eb4,0.1021,P1,117,4/4,C Major
note,15604,75,51:91,D#3,Eb3,0.2552,M6,117,4/4,C Major
note,15804,1809,72:88,C5,C5,0.2041,m3,117,4/4,C Major
note,15813,1870,69:77,A4,A4,0.1531,m3,117,4/4,C Major
note,15819,1845,66:68,F#4,Gb4,0.1021,m3,117,4/4,C Major
note,15824,1914,63:73,D#4,Eb4,0.051,M6,117,4/4,C Major
note,18111,84,72:66,C5,C5,0.4082,d5,117,4/4,C Major
note,18114,60,66:50,F#4,Gb4,0.3572,m3,117,4/4,C Major
note,18117,95,63:48,D#4,Eb4,0.3062,d5,117,4/4,C Major
