type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,960,960,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,1920,1703,71:58,B4,B4,0.2259,P5,120,4/4,C Major
note,2297,173,52:43,E3,E3,0.2905,M3,120,4/4,C Major
note,2300,130,56:51,G#3,Ab3,0.2582,m3,120,4/4,C Major
note,2338,100,59:40,B3,B3,0.2259,P1,120,4/4,C Major
note,2680,85,59:60,B3,B3,0.2582,P5,120,4/4,C Major
note,2705,100,52:45,E3,E3,0.2259,M3,120,4/4,C Major
note,2710,75,56:54,G#3,Ab3,0.1936,P1,120,4/4,C Major
note,2995,70,56:60,G#3,Ab3,0.2582,M3,120,4/4,C Major
note,3025,77,52:40,E3,E3,0.2259,P5,120,4/4,C Major
note,3038,70,59:46,B3,B3,0.1936,P4,120,4/4,C Major
note,3410,1488,76:62,E5,E5,0.2582,P1,120,4/4,C Major
note,3455,1552,64:42,E4,E4,0.2582,m6,120,4/4,C Major
note,3730,92,56:57,G#3,Ab3,0.2905,m3,120,4/4,C Major
note,3730,83,59:63,B3,B3,0.2905,P5,120,4/4,C Major
note,3738,95,52:49,E3,E3,0.2259,M3,120,4/4,C Major
note,4083,82,56:57,G#3,Ab3,0.2259,M3,120,4/4,C Major
note,4090,90,52:57,E3,E3,0.1936,P5,120,4/4,C Major
note,4110,72,59:61,B3,B3,0.1614,P5,120,4/4,C Major
note,4407,88,52:53,E3,E3,0.2259,P5,120,4/4,C Major
note,4420,80,59:43,B3,B3,0.1936,m3,120,4/4,C Major
note,4425,70,56:44,G#3,Ab3,0.1614,P4,120,4/4,C Major
note,4820,1760,73:80,C#5,Db5,0.2259,M3,120,4/4,C Major
note,5130,175,57:47,A3,A3,0.2905,M3,120,4/4,C Major
note,5138,122,61:60,C#4,Db4,0.2582,M6,120,4/4,C Major
note,5140,125,52:54,E3,E3,0.2259,P4,120,4/4,C Major
note,5513,132,57:43,A3,A3,0.2582,M3,120,4/4,C Major
note,5520,85,61:63,C#4,Db4,0.2259,M6,120,4/4,C Major
note,5535,105,52:52,E3,E3,0.1936,M6,120,4/4,C Major
note,5840,97,61:56,C#4,Db4,0.2582,M3,120,4/4,C Major
note,5877,96,57:41,A3,A3,0.2259,P4,120,4/4,C Major
