type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1129,2706,48:83,C3,C3,0.1021,P1,117,4/4,C Major
note,1131,2823,36:84,C2,C2,0.051,m3,117,4/4,C Major
note,3798,547,51:55,D#3,Eb3,0.1021,P1,117,4/4,C Major
note,3820,466,39:41,D#2,Eb2,0.051,P4,117,4/4,C Major
note,4431,346,56:57,G#3,Ab3,0.1021,P1,117,4/4,C Major
note,4443,390,44:37,G#2,Ab2,0.051,M2,117,4/4,C Major
note,4856,240,58:66,A#3,Bb3,0.2041,P1,117,4/4,C Major
note,4867,147,46:44,A#2,Bb2,0.1531,M2,117,4/4,C Major
note,5188,181,60:71,C4,C4,0.2041,P1,117,4/4,C Major
note,5199,208,48:43,C3,C3,0.1531,M3,117,4/4,C Major
note,5471,107,44:44,G#2,Ab2,0.2041,P1,117,4/4,C Major
note,5473,123,56:73,G#3,Ab3,0.1531,P5,117,4/4,C Major
note,5775,206,63:71,D#4,Eb4,0.2041,P1,117,4/4,C Major
note,5793,254,51:43,D#3,Eb3,0.1531,P5,117,4/4,C Major
note,6043,171,70:76,A#4,Bb4,0.2041,P1,117,4/4,C Major
note,6064,36,58:52,A#3,Bb3,0.1531,M2,117,4/4,C Major
note,6315,187,72:74,C5,C5,0.2041,P1,117,4/4,C Major
note,6324,209,60:44,C4,C4,0.1531,m6,117,4/4,C Major
note,6590,106,68:82,G#4,Ab4,0.2041,P1,117,4/4,C Major
note,6592,139,56:49,G#3,Ab3,0.1531,P5,117,4/4,C Major
note,6866,176,75:76,D#5,Eb5,0.2041,P1,117,4/4,C Major
note,6884,230,63:44,D#4,Eb4,0.1531,P5,117,4/4,C Major
note,7156,238,82:83,A#5,Bb5,0.1531,P1,117,4/4,C Major
note,7180,44,70:48,A#4,Bb4,0.1021,M2,117,4/4,C Major
note,7532,481,84:76,C6,C6,0.1021,P1,117,4/4,C Major
note,7566,230,72:41,C5,C5,0.051,P5,117,4/4,C Major
note,7964,344,79:73,G5,G5,0.2041,P1,117,4/4,C Major
note,8000,300,67:32,G4,G4,0.1531,m3,117,4/4,C Major
note,8282,484,82:75,A#5,Bb5,0.2041,P1,117,4/4,C Major
note,8295,298,70:43,A#4,Bb4,0.1531,m7,117,4/4,C Major
note,8606,333,80:78,G#5,Ab5,0.1021,P1,117,4/4,C Major
note,8616,256,68:40,G#4,Ab4,0.051,M7,117,4/4,C Major
note,9220,1598,79:67,G5,G5,0.1021,P1,117,4/4,C Major
note,9222,1636,67:34,G4,G4,0.051,M7,117,4/4,C Major
note,10789,1014,78:39,F#5,Gb5,0.1021,P1,117,4/4,C Major
note,10804,951,66:25,F#4,Gb4,0.051,P1,117,4/4,C Major
note,13690,427,78:47,F#5,Gb5,0.1021,P1,117,4/4,C Major
note,13695,442,66:24,F#4,Gb4,0.051,m2,117,4/4,C Major
note,14119,324,67:36,G4,G4,0.2041,P1,117,4/4,C Major
note,14122,319,79:52,G5,G5,0.1531,m2,117,4/4,C Major
note,14435,319,78:60,F#5,Gb5,0.2041,P1,117,4/4,C Major
note,14445,306,66:34,F#4,Gb4,0.1531,M7,117,4/4,C Major
note,14751,322,77:63,F5,F5,0.2041,P1,117,4/4,C Major
note,14760,301,65:39,F4,F4,0.1531,m2,117,4/4,C Major
note,15074,449,78:64,F#5,Gb5,0.1021,P1,117,4/4,C Major
note,15094,417,66:35,F#4,Gb4,0.051,m3,117,4/4,C Major
note,15522,251,81:64,A5,A5,0.2041,P1,117,4/4,C Major
note,15534,215,69:30,A4,A4,0.1531,m7,117,4/4,C Major
note,15754,267,79:69,G5,G5,0.2041,P1,117,4/4,C Major
note,15768,235,67:37,G4,G4,0.1531,m6,117,4/4,C Major
note,16003,214,75:63,D#5,Eb5,0.1021,P1,117,4/4,C Major
note,16019,198,63:33,D#4,Eb4,0.051,P1,117,4/4,C Major
note,16536,1044,75:61,D#5,Eb5,0.1021,P1,117,4/4,C Major
note,16559,942,63:35,D#4,Eb4,0.051,M7,117,4/4,C Major
note,17628,268,74:56,D5,D5,0.2041,P1,117,4/4,C Major
note,17649,187,62:36,D4,D4,0.1531,m3,117,4/4,C Major
