type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,559,79,72:38,C5,C5,0.2041,P1,120,4/4,C Major
note,607,56,60:19,C4,C4,0.1531,P1,120,4/4,C Major
note,903,107,72:41,C5,C5,0.1021,P1,120,4/4,C Major
note,927,76,60:25,C4,C4,0.051,P1,120,4/4,C Major
note,1487,86,72:45,C5,C5,0.2041,P1,120,4/4,C Major
note,1514,53,60:32,C4,C4,0.1531,P1,120,4/4,C Major
note,1806,93,72:49,C5,C5,0.1021,P1,120,4/4,C Major
note,1819,67,60:32,C4,C4,0.051,P1,120,4/4,C Major
note,2341,100,72:52,C5,C5,0.2041,P1,120,4/4,C Major
note,2360,58,60:37,C4,C4,0.1531,P1,120,4/4,C Major
note,2669,101,72:58,C5,C5,0.1021,P1,120,4/4,C Major
note,2687,68,60:38,C4,C4,0.051,P1,120,4/4,C Major
note,3252,103,72:46,C5,C5,0.1021,P1,120,4/4,C Major
note,3264,94,60:33,C4,C4,0.051,P1,120,4/4,C Major
note,3656,265,72:51,C5,C5,0.2552,m3,120,4/4,C Major
note,3679,62,69:34,A4,A4,0.2041,M6,120,4/4,C Major
note,3687,285,60:32,C4,C4,0.1531,P5,120,4/4,C Major
note,3695,260,53:38,F3,F3,0.1021,M3,120,4/4,C Major
note,3741,158,69:12,A4,A4,0.051,m3,120,4/4,C Major
note,4236,66,72:56,C5,C5,0.4082,P5,120,4/4,C Major
note,4258,64,53:36,F3,F3,0.3572,M3,120,4/4,C Major
note,4258,69,69:45,A4,A4,0.3572,M6,120,4/4,C Major
note,4282,53,60:23,C4,C4,0.2552,P1,120,4/4,C Major
note,4552,266,72:58,C5,C5,0.2041,M2,120,4/4,C Major
note,4568,241,70:51,A#4,Bb4,0.1531,P4,120,4/4,C Major
note,4596,147,53:28,F3,F3,0.1021,P5,120,4/4,C Major
note,4600,199,60:18,C4,C4,0.051,P1,120,4/4,C Major
note,5112,435,72:57,C5,C5,0.4082,M2,120,4/4,C Major
note,5131,29,70:42,A#4,Bb4,0.3572,P4,120,4/4,C Major
note,5136,53,53:37,F3,F3,0.3062,P5,120,4/4,C Major
note,5148,63,60:25,C4,C4,0.2552,M3,120,4/4,C Major
note,5442,537,76:59,E5,E5,0.2041,M7,120,4/4,C Major
note,5482,231,53:29,F3,F3,0.1531,P4,120,4/4,C Major
note,5491,145,70:31,A#4,Bb4,0.1531,m7,120,4/4,C Major
note,5494,255,60:23,C4,C4,0.1021,M2,120,4/4,C Major
note,5872,208,74:63,D5,D5,0.2552,M2,120,4/4,C Major
note,6004,434,72:62,C5,C5,0.2552,P5,120,4/4,C Major
note,6027,87,53:30,F3,F3,0.3062,P5,120,4/4,C Major
note,6034,116,60:26,C4,C4,0.2552,m7,120,4/4,C Major
note,6056,33,70:27,A#4,Bb4,0.2552,P5,120,4/4,C Major
note,6368,1006,77:56,F5,F5,0.2041,m6,120,4/4,C Major
note,6389,356,69:34,A4,A4,0.1531,M3,120,4/4,C Major
note,6403,422,53:29,F3,F3,0.1021,P5,120,4/4,C Major
note,6419,404,60:17,C4,C4,0.051,M2,120,4/4,C Major
note,7003,457,74:60,D5,D5,0.3062,M6,120,4/4,C Major
note,7028,184,65:40,F4,F4,0.2552,P5,120,4/4,C Major
note,7040,340,58:38,A#3,Bb3,0.2041,M2,120,4/4,C Major
note,7341,205,72:72,C5,C5,0.1531,P5,120,4/4,C Major
note,7357,562,65:50,F4,F4,0.1021,m6,120,4/4,C Major
note,7361,315,57:46,A3,A3,0.051,P1,120,4/4,C Major
note,7894,419,69:55,A4,A4,0.3572,P4,120,4/4,C Major
note,7922,297,64:44,E4,E4,0.3572,M3,120,4/4,C Major
note,7929,323,48:40,C3,C3,0.3062,M6,120,4/4,C Major
note,7942,84,57:31,A3,A3,0.2552,m6,120,4/4,C Major
note,8233,320,65:57,F4,F4,0.2041,P4,120,4/4,C Major
note,8258,216,60:37,C4,C4,0.1531,m7,120,4/4,C Major
note,8267,199,50:32,D3,D3,0.1021,P5,120,4/4,C Major
note,8286,325,57:33,A3,A3,0.051,m7,120,4/4,C Major
note,8835,164,67:52,G4,G4,0.3572,M2,120,4/4,C Major
