type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1130,252,37:80,C#2,Db2,0.1021,P1,117,4/4,C Major
note,1132,156,25:70,C#1,Db1,0.051,P5,117,4/4,C Major
note,2174,2225,80:74,G#5,Ab5,0.1531,M6,117,4/4,C Major
note,2186,1497,71:68,B4,B4,0.1021,M3,117,4/4,C Major
note,2195,1653,75:57,D#5,Eb5,0.051,P5,117,4/4,C Major
note,3582,333,68:46,G#4,Ab4,0.1531,M6,117,4/4,C Major
note,3844,258,77:62,F5,F5,0.2552,M3,117,4/4,C Major
note,3861,110,61:41,C#4,Db4,0.2041,P1,117,4/4,C Major
note,3971,315,61:3,C#4,Db4,0.1531,P1,117,4/4,C Major
note,4127,249,73:59,C#5,Db5,0.3062,m3,117,4/4,C Major
note,4149,217,70:50,A#4,Bb4,0.2552,m6,117,4/4,C Major
note,4380,231,78:69,F#5,Gb5,0.4082,P1,117,4/4,C Major
note,4401,98,66:47,F#4,Gb4,0.3572,M6,117,4/4,C Major
note,4406,158,75:46,D#5,Eb5,0.3062,M6,117,4/4,C Major
note,4499,90,66:6,F#4,Gb4,0.4082,M2,117,4/4,C Major
note,4593,196,80:74,G#5,Ab5,0.3572,m7,117,4/4,C Major
note,4604,113,70:62,A#4,Bb4,0.3062,M6,117,4/4,C Major
note,4622,96,61:38,C#4,Db4,0.2552,P1,117,4/4,C Major
note,4718,92,61:4,C#4,Db4,0.3572,P4,117,4/4,C Major
note,4802,197,78:72,F#5,Gb5,0.3572,P5,117,4/4,C Major
note,4812,173,71:53,B4,B4,0.3062,m3,117,4/4,C Major
note,4830,192,68:51,G#4,Ab4,0.2552,M6,117,4/4,C Major
note,5016,200,77:71,F5,F5,0.3572,P1,117,4/4,C Major
note,5024,22,65:53,F4,F4,0.3062,m6,117,4/4,C Major
note,5031,97,73:43,C#5,Db5,0.2552,P1,117,4/4,C Major
note,5128,93,73:13,C#5,Db5,0.3572,P4,117,4/4,C Major
note,5216,266,78:70,F#5,Gb5,0.3062,m7,117,4/4,C Major
note,5242,94,68:61,G#4,Ab4,0.2552,P5,117,4/4,C Major
note,5275,505,49:44,C#3,Db3,0.2041,M2,117,4/4,C Major
note,5464,548,75:72,D#5,Eb5,0.2552,M6,117,4/4,C Major
note,5468,348,66:55,F#4,Gb4,0.2041,M3,117,4/4,C Major
note,5495,184,70:48,A#4,Bb4,0.1531,m2,117,4/4,C Major
note,5712,263,71:51,B4,B4,0.2552,m6,117,4/4,C Major
note,5721,325,63:48,D#4,Eb4,0.2041,M2,117,4/4,C Major
note,5939,61,77:68,F5,F5,0.3572,M3,117,4/4,C Major
note,5945,583,49:37,C#3,Db3,0.3062,P4,117,4/4,C Major
note,5949,128,66:61,F#4,Gb4,0.2552,M6,117,4/4,C Major
note,6171,251,75:58,D#5,Eb5,0.3572,m7,117,4/4,C Major
note,6194,237,65:51,F4,F4,0.3572,m3,117,4/4,C Major
note,6199,77,68:36,G#4,Ab4,0.3062,P1,117,4/4,C Major
note,6276,336,68:14,G#4,Ab4,0.3572,P4,117,4/4,C Major
note,6429,255,73:57,C#5,Db5,0.3572,m3,117,4/4,C Major
note,6447,121,70:46,A#4,Bb4,0.3062,M6,117,4/4,C Major
note,6459,289,61:37,C#4,Db4,0.2552,M6,117,4/4,C Major
note,6568,114,70:3,A#4,Bb4,0.3572,P4,117,4/4,C Major
note,6655,245,75:64,D#5,Eb5,0.3062,M2,117,4/4,C Major
note,6657,560,49:42,C#3,Db3,0.2552,M3,117,4/4,C Major
note,6666,49,65:51,F4,F4,0.2041,d5,117,4/4,C Major
note,6894,276,71:60,B4,B4,0.3062,m6,117,4/4,C Major
note,6907,257,63:48,D#4,Eb4,0.2552,m3,117,4/4,C Major
note,6920,59,66:41,F#4,Gb4,0.2041,M6,117,4/4,C Major
note,7143,258,75:64,D#5,Eb5,0.3062,P5,117,4/4,C Major
note,7157,26,68:54,G#4,Ab4,0.2552,M6,117,4/4,C Major
note,7162,416,59:46,B3,B3,0.2041,M2,117,4/4,C Major
note,7400,63,73:60,C#5,Db5,0.3572,m7,117,4/4,C Major
note,7409,110,63:52,D#4,Eb4,0.3062,M2,117,4/4,C Major
