type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1128,35,48:102,C3,C3,0.4593,P1,117,4/4,C Major
note,1138,29,36:86,C2,C2,0.4082,P1,117,4/4,C Major
note,1245,35,48:78,C3,C3,0.4593,P5,117,4/4,C Major
note,1319,56,55:70,G3,G3,0.4593,P4,117,4/4,C Major
note,1375,29,60:69,C4,C4,0.4593,M3,117,4/4,C Major
note,1411,24,64:75,E4,E4,0.4593,M3,117,4/4,C Major
note,1442,1315,48:83,C3,C3,0.4593,P1,117,4/4,C Major
note,1445,1324,36:69,C2,C2,0.4082,P1,117,4/4,C Major
note,1481,51,60:74,C4,C4,0.4082,P5,117,4/4,C Major
note,1553,50,67:74,G4,G4,0.4082,P4,117,4/4,C Major
note,1597,41,72:71,C5,C5,0.3572,M3,117,4/4,C Major
note,1640,22,76:78,E5,E5,0.4082,M3,117,4/4,C Major
note,1722,31,72:66,C5,C5,0.4593,P5,117,4/4,C Major
note,1770,46,79:74,G5,G5,0.4593,P4,117,4/4,C Major
note,1807,42,84:65,C6,C6,0.4593,M3,117,4/4,C Major
note,1849,20,88:82,E6,E6,0.4082,M3,117,4/4,C Major
note,1925,34,84:75,C6,C6,0.4082,P5,117,4/4,C Major
note,1990,41,91:80,G6,G6,0.4593,P4,117,4/4,C Major
note,2022,58,96:76,C7,C7,0.4082,M3,117,4/4,C Major
note,2083,42,100:65,E7,E7,0.4082,m2,117,4/4,C Major
note,2092,21,101:54,F7,F7,0.3572,P4,117,4/4,C Major
note,2132,61,96:73,C7,C7,0.3572,P4,117,4/4,C Major
note,2182,38,91:73,G6,G6,0.3572,P5,117,4/4,C Major
note,2248,48,84:70,C6,C6,0.3572,M3,117,4/4,C Major
note,2313,44,88:82,E6,E6,0.3572,M3,117,4/4,C Major
note,2371,53,84:71,C6,C6,0.3572,P4,117,4/4,C Major
note,2410,40,79:73,G5,G5,0.3572,P5,117,4/4,C Major
note,2481,34,72:76,C5,C5,0.3572,M3,117,4/4,C Major
note,2539,53,76:81,E5,E5,0.3572,M3,117,4/4,C Major
note,2607,36,72:77,C5,C5,0.3572,P4,117,4/4,C Major
note,2638,35,67:74,G4,G4,0.3062,P5,117,4/4,C Major
note,2712,29,60:72,C4,C4,0.3572,M3,117,4/4,C Major
note,2775,45,64:84,E4,E4,0.3572,M3,117,4/4,C Major
note,2824,58,60:66,C4,C4,0.3572,P4,117,4/4,C Major
note,2876,33,55:66,G3,G3,0.3572,P5,117,4/4,C Major
note,2954,66,48:74,C3,C3,0.3572,P5,117,4/4,C Major
note,3041,864,41:102,F2,F2,0.3572,P1,117,4/4,C Major
note,3049,814,29:82,F1,F1,0.3062,P5,117,4/4,C Major
note,3104,27,48:70,C3,C3,0.3062,M6,117,4/4,C Major
note,3184,70,57:74,A3,A3,0.3572,m3,117,4/4,C Major
note,3237,59,60:74,C4,C4,0.3062,P4,117,4/4,C Major
note,3303,19,65:69,F4,F4,0.3572,P4,117,4/4,C Major
note,3376,22,60:77,C4,C4,0.3572,M6,117,4/4,C Major
note,3455,56,69:76,A4,A4,0.4082,m3,117,4/4,C Major
note,3502,47,72:73,C5,C5,0.3572,P4,117,4/4,C Major
note,3562,18,77:61,F5,F5,0.4082,P4,117,4/4,C Major
note,3624,26,72:75,C5,C5,0.5103,M6,117,4/4,C Major
note,3681,45,81:78,A5,A5,0.5103,m3,117,4/4,C Major
note,3720,45,84:71,C6,C6,0.5103,P4,117,4/4,C Major
note,3770,24,89:75,F6,F6,0.5103,P4,117,4/4,C Major
note,3832,42,84:75,C6,C6,0.5103,M6,117,4/4,C Major
note,3893,59,93:84,A6,A6,0.4593,m3,117,4/4,C Major
note,3946,70,96:79,C7,C7,0.4593,P1,117,4/4,C Major
note,3955,75,36:13,C2,C2,0.4082,M3,117,4/4,C Major
note,4006,63,100:88,E7,E7,0.4593,m7,117,4/4,C Major
note,4008,860,42:100,F#2,Gb2,0.4082,P1,117,4/4,C Major
note,4021,799,30:80,F#1,Gb1,0.3572,d5,117,4/4,C Major
note,4075,68,96:72,C7,C7,0.3572,m3,117,4/4,C Major
note,4128,44,93:77,A6,A6,0.3062,M6,117,4/4,C Major
