type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1133,49,63:45,D#4,Eb4,0.3062,P5,117,4/4,C Major
note,1320,87,44:44,G#2,Ab2,0.5103,P1,117,4/4,C Major
note,1406,73,68:61,G#4,Ab4,0.6634,m6,117,4/4,C Major
note,1481,61,60:43,C4,C4,0.7655,P1,117,4/4,C Major
note,1486,25,72:43,C5,C5,0.7655,m6,117,4/4,C Major
note,1505,38,80:52,G#5,Ab5,0.7144,m7,117,4/4,C Major
note,1570,68,70:62,A#4,Bb4,0.8165,M2,117,4/4,C Major
note,1576,39,56:41,G#3,Ab3,0.7655,M2,117,4/4,C Major
note,1625,76,82:71,A#5,Bb5,0.8165,M6,117,4/4,C Major
note,1629,41,73:55,C#5,Db5,0.7655,m7,117,4/4,C Major
note,1640,88,51:54,D#3,Eb3,0.7144,m6,117,4/4,C Major
note,1712,46,71:62,B4,B4,0.8165,m6,117,4/4,C Major
note,1730,34,63:45,D#4,Eb4,0.7655,M7,117,4/4,C Major
note,1779,22,74:50,D5,D5,0.7655,d5,117,4/4,C Major
note,1788,27,56:51,G#3,Ab3,0.7655,M2,117,4/4,C Major
note,1815,61,82:7,A#5,Bb5,0.7144,m2,117,4/4,C Major
note,1818,44,83:20,B5,B5,0.6634,M7,117,4/4,C Major
note,1837,69,72:54,C5,C5,0.7144,M3,117,4/4,C Major
note,1868,40,44:60,G#2,Ab2,0.6634,M3,117,4/4,C Major
note,1908,46,84:59,C6,C6,0.6124,M6,117,4/4,C Major
note,1940,24,75:44,D#5,Eb5,0.6634,m3,117,4/4,C Major
note,1950,62,60:54,C4,C4,0.6124,m2,117,4/4,C Major
note,1987,75,73:81,C#5,Db5,0.5613,P4,117,4/4,C Major
note,2008,61,56:59,G#3,Ab3,0.6124,P4,117,4/4,C Major
note,2060,73,85:70,C#6,Db6,0.6124,M6,117,4/4,C Major
note,2066,35,76:47,E5,E5,0.5613,m2,117,4/4,C Major
note,2089,97,51:61,D#3,Eb3,0.5613,M7,117,4/4,C Major
note,2140,63,74:79,D5,D5,0.6124,M7,117,4/4,C Major
note,2165,37,63:53,D#4,Eb4,0.6634,P5,117,4/4,C Major
note,2208,30,56:59,G#3,Ab3,0.6124,d5,117,4/4,C Major
note,2217,57,86:64,D6,D6,0.5613,M7,117,4/4,C Major
note,2301,71,75:76,D#5,Eb5,0.7655,P5,117,4/4,C Major
note,2306,49,44:62,G#2,Ab2,0.7144,P5,117,4/4,C Major
note,2383,61,87:65,D#6,Eb6,0.7655,m6,117,4/4,C Major
note,2387,26,79:53,G5,G5,0.7144,d5,117,4/4,C Major
note,2400,68,61:59,C#4,Db4,0.6634,M3,117,4/4,C Major
note,2459,47,77:63,F5,F5,0.7655,m7,117,4/4,C Major
note,2476,50,55:52,G3,G3,0.7144,m7,117,4/4,C Major
note,2517,61,89:77,F6,F6,0.6634,M6,117,4/4,C Major
note,2532,46,80:68,G#5,Ab5,0.7144,P4,117,4/4,C Major
note,2542,80,51:51,D#3,Eb3,0.6634,P1,117,4/4,C Major
note,2602,62,75:76,D#5,Eb5,0.7655,P1,117,4/4,C Major
note,2607,35,63:54,D#4,Eb4,0.7144,m6,117,4/4,C Major
note,2663,36,55:55,G3,G3,0.7655,P1,117,4/4,C Major
note,2676,24,79:55,G5,G5,0.7144,m6,117,4/4,C Major
note,2678,27,87:74,D#6,Eb6,0.6634,m3,117,4/4,C Major
note,2744,66,72:75,C5,C5,0.7655,M3,117,4/4,C Major
note,2748,54,44:67,G#2,Ab2,0.7144,M3,117,4/4,C Major
note,2818,38,84:56,C6,C6,0.7655,M6,117,4/4,C Major
note,2824,33,75:71,D#5,Eb5,0.7144,m3,117,4/4,C Major
note,2840,69,60:51,C4,C4,0.6634,m7,117,4/4,C Major
note,2902,58,70:77,A#4,Bb4,0.7655,M2,117,4/4,C Major
note,2910,66,56:62,G#3,Ab3,0.7144,P4,117,4/4,C Major
note,2962,31,73:64,C#5,Db5,0.7144,M6,117,4/4,C Major
note,2964,62,82:71,A#5,Bb5,0.6634,P5,117,4/4,C Major
note,2986,83,51:59,D#3,Eb3,0.6634,M6,117,4/4,C Major
