type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density
ticksPerQuarter,0,0,480,480,,
keySignature,0,0,-3:0,Eb Major,,
timeSignature,0,0,4:4,4/4,,
setTempo,0,0,375000,160,,
noteOn,0,959,71:115,B4,B4,0.3651
noteOn,0,959,74:115,D5,D5,0.3651
noteOn,0,959,77:115,F5,F5,0.3651
noteOn,0,959,79:115,G5,G5,0.3651
noteOn,0,959,83:115,B5,B5,0.3651
noteOn,240,119,68:115,Ab4,Ab4,0.2282
noteOn,360,119,67:96,G4,G4,0.2282
noteOn,480,119,65:115,F4,F4,0.2282
noteOn,600,119,62:96,D4,D4,0.2282
noteOn,720,119,63:96,Eb4,Eb4,0.2282
noteOn,840,119,62:96,D4,D4,0.2282
noteOn,960,119,59:115,B3,B3,0.2282
noteOn,1080,119,55:96,G3,G3,0.2282
noteOn,1200,119,56:96,Ab3,Ab3,0.2282
noteOn,1320,119,55:96,G3,G3,0.2282
noteOn,1440,119,53:115,F3,F3,0.2282
noteOn,1560,119,50:96,D3,D3,0.2282
noteOn,1680,119,51:96,Eb3,Eb3,0.2282
noteOn,1800,119,50:96,D3,D3,0.2282
noteOn,1920,119,47:115,B2,B2,0.2282
noteOn,2040,119,43:96,G2,G2,0.2282
noteOn,2160,119,44:96,Ab2,Ab2,0.2282
noteOn,2280,119,43:96,G2,G2,0.2282
noteOn,2400,119,41:115,F2,F2,0.2282
noteOn,2520,119,38:96,D2,D2,0.2282
noteOn,2640,119,39:96,Eb2,Eb2,0.2282
noteOn,2760,119,38:96,D2,D2,0.2282
noteOn,2880,119,36:115,C2,C2,0.4108
noteOn,3000,119,31:96,G1,G1,0.4108
noteOn,3120,119,36:96,C2,C2,0.4108
noteOn,3240,119,31:96,G1,G1,0.5021
noteOn,3360,359,68:96,Ab4,Ab4,0.6847
noteOn,3360,359,75:96,Eb5,Eb5,0.6847
noteOn,3360,359,77:96,F5,F5,0.6847
noteOn,3360,359,80:96,Ab5,Ab5,0.6847
noteOn,3360,119,36:115,C2,C2,0.6847
noteOn,3480,119,31:96,G1,G1,0.4564
noteOn,3600,119,36:96,C2,C2,0.4564
noteOn,3720,119,67:96,G4,G4,0.4564
noteOn,3720,119,79:96,G5,G5,0.4564
noteOn,3720,119,31:96,G1,G1,0.4564
noteOn,3840,959,74:115,D5,D5,0.3651
noteOn,3840,959,77:115,F5,F5,0.3651
noteOn,3840,959,79:115,G5,G5,0.3651
noteOn,3840,959,86:115,D6,D6,0.3651
noteOn,3840,119,35:96,B1,B1,0.3651
noteOn,4080,119,68:115,Ab4,Ab4,0.2282
noteOn,4200,119,67:96,G4,G4,0.2282
noteOn,4320,119,65:115,F4,F4,0.2282
noteOn,4440,119,62:96,D4,D4,0.2282
noteOn,4560,119,63:96,Eb4,Eb4,0.2282
noteOn,4680,119,62:96,D4,D4,0.2282
noteOn,4800,119,59:115,B3,B3,0.2282
noteOn,4920,119,55:96,G3,G3,0.2282
noteOn,5040,119,56:96,Ab3,Ab3,0.2282
noteOn,5160,119,55:96,G3,G3,0.2282
noteOn,5280,119,53:115,F3,F3,0.2282
noteOn,5400,119,50:96,D3,D3,0.2282
noteOn,5520,119,51:96,Eb3,Eb3,0.2282
noteOn,5640,119,50:96,D3,D3,0.2282
noteOn,5760,119,47:115,B2,B2,0.2282
noteOn,5880,119,43:96,G2,G2,0.2282
noteOn,6000,119,44:96,Ab2,Ab2,0.2282
noteOn,6120,119,43:96,G2,G2,0.2282
noteOn,6240,119,41:115,F2,F2,0.2282
noteOn,6360,119,38:96,D2,D2,0.2282
noteOn,6480,119,39:96,Eb2,Eb2,0.2282
noteOn,6600,119,38:96,D2,D2,0.2282
noteOn,6720,119,36:115,C2,C2,0.4108
noteOn,6840,119,31:96,G1,G1,0.4108
noteOn,6960,119,36:96,C2,C2,0.4108
noteOn,7080,119,31:96,G1,G1,0.5021
noteOn,7200,359,68:96,Ab4,Ab4,0.6847
noteOn,7200,359,75:96,Eb5,Eb5,0.6847
noteOn,7200,359,77:96,F5,F5,0.6847
noteOn,7200,359,80:96,Ab5,Ab5,0.6847
noteOn,7200,119,36:115,C2,C2,0.6847
noteOn,7320,119,31:96,G1,G1,0.4564
noteOn,7440,119,36:96,C2,C2,0.5021
noteOn,7560,119,67:96,G4,G4,0.5477
noteOn,7560,119,79:96,G5,G5,0.5477
noteOn,7560,119,31:96,G1,G1,0.5477
noteOn,7680,119,77:96,F5,F5,0.5021
noteOn,7680,119,79:96,G5,G5,0.5021
noteOn,7680,119,86:96,D6,D6,0.5021
noteOn,7680,119,89:96,F6,F6,0.5021
noteOn,7680,119,35:96,B1,B1,0.5021
noteOn,7920,119,92:115,Ab6,Ab6,0.4564
noteOn,7920,119,80:115,Ab5,Ab5,0.4564
noteOn,8040,119,91:96,G6,G6,0.4564
noteOn,8040,119,79:96,G5,G5,0.4564
noteOn,8160,119,89:115,F6,F6,0.4564
noteOn,8160,119,77:115,F5,F5,0.4564
noteOn,8280,119,86:96,D6,D6,0.4564
noteOn,8280,119,74:96,D5,D5,0.4564
noteOn,8400,119,87:96,Eb6,Eb6,0.4564
noteOn,8400,119,75:96,Eb5,Eb5,0.4564
noteOn,8520,119,86:96,D6,D6,0.4564
noteOn,8520,119,74:96,D5,D5,0.4564
noteOn,8640,119,83:115,B5,B5,0.4564
noteOn,8640,119,71:115,B4,B4,0.4564
noteOn,8760,119,79:96,G5,G5,0.4564
noteOn,8760,119,67:96,G4,G4,0.4564
noteOn,8880,119,80:96,Ab5,Ab5,0.4564
noteOn,8880,119,68:96,Ab4,Ab4,0.4564
noteOn,9000,119,79:96,G5,G5,0.4564
noteOn,9000,119,67:96,G4,G4,0.4564
noteOn,9120,119,77:115,F5,F5,0.4564
noteOn,9120,119,65:115,F4,F4,0.4564
noteOn,9240,119,74:96,D5,D5,0.4564
noteOn,9240,119,62:96,D4,D4,0.4564
noteOn,9360,119,75:96,Eb5,Eb5,0.4564
noteOn,9360,119,63:96,Eb4,Eb4,0.4564
noteOn,9480,119,74:96,D5,D5,0.4564
noteOn,9480,119,62:96,D4,D4,0.4564
noteOn,9600,119,71:115,B4,B4,0.4564
noteOn,9600,119,59:115,B3,B3,0.4564
noteOn,9720,119,67:96,G4,G4,0.4564
noteOn,9720,119,55:96,G3,G3,0.4564
noteOn,9840,119,68:96,Ab4,Ab4,0.4564
noteOn,9840,119,56:96,Ab3,Ab3,0.4564
noteOn,9960,119,67:96,G4,G4,0.4564
noteOn,9960,119,55:96,G3,G3,0.4564
noteOn,10080,119,65:115,F4,F4,0.4564
noteOn,10080,119,53:115,F3,F3,0.4564
noteOn,10200,119,62:96,D4,D4,0.4564
noteOn,10200,119,50:96,D3,D3,0.4564
noteOn,10320,119,63:96,Eb4,Eb4,0.4564
noteOn,10320,119,51:96,Eb3,Eb3,0.4564
noteOn,10440,119,62:96,D4,D4,0.4564
noteOn,10440,119,50:96,D3,D3,0.4564
noteOn,10560,119,59:115,B3,B3,0.4564
noteOn,10560,119,47:115,B2,B2,0.4564
noteOn,10680,119,55:96,G3,G3,0.4564
noteOn,10680,119,43:96,G2,G2,0.4564
noteOn,10800,119,56:96,Ab3,Ab3,0.4564
noteOn,10800,119,44:96,Ab2,Ab2,0.4564
noteOn,10920,119,55:96,G3,G3,0.4564
noteOn,10920,119,43:96,G2,G2,0.4564
noteOn,11040,119,53:115,F3,F3,0.4564
noteOn,11040,119,41:115,F2,F2,0.4564
noteOn,11160,119,50:96,D3,D3,0.4564
noteOn,11160,119,38:96,D2,D2,0.4564
noteOn,11280,119,51:96,Eb3,Eb3,0.4564
noteOn,11280,119,39:96,Eb2,Eb2,0.4564
noteOn,11400,119,50:96,D3,D3,0.4564
noteOn,11400,119,38:96,D2,D2,0.4564
noteOn,11520,119,48:96,C3,C3,0.4564
noteOn,11520,119,36:96,C2,C2,0.4564
noteOn,11640,119,47:96,B2,B2,0.4564
noteOn,11640,119,35:96,B1,B1,0.4564
noteOn,11760,119,55:96,G3,G3,0.4564
noteOn,11760,119,43:96,G2,G2,0.4564
noteOn,11880,119,53:96,F3,F3,0.4564
noteOn,11880,119,41:96,F2,F2,0.4564
noteOn,12000,119,51:96,Eb3,Eb3,0.4564
noteOn,12000,119,39:96,Eb2,Eb2,0.4564
noteOn,12120,119,50:96,D3,D3,0.4564
noteOn,12120,119,38:96,D2,D2,0.4564
noteOn,12240,119,51:96,Eb3,Eb3,0.4564
noteOn,12240,119,39:96,Eb2,Eb2,0.4564
noteOn,12360,119,50:96,D3,D3,0.4564
noteOn,12360,119,38:96,D2,D2,0.4564
noteOn,12480,119,48:96,C3,C3,0.4564
noteOn,12480,119,36:96,C2,C2,0.4564
noteOn,12600,119,47:96,B2,B2,0.4564
noteOn,12600,119,35:96,B1,B1,0.4564
noteOn,12720,119,58:96,Bb3,Bb3,0.4564
noteOn,12720,119,46:96,Bb2,Bb2,0.4564
noteOn,12840,119,56:96,Ab3,Ab3,0.4564
noteOn,12840,119,44:96,Ab2,Ab2,0.4564
noteOn,12960,119,55:96,G3,G3,0.4564
noteOn,12960,119,43:96,G2,G2,0.4564
noteOn,13080,119,53:96,F3,F3,0.4564
noteOn,13080,119,41:96,F2,F2,0.4564
noteOn,13200,119,55:96,G3,G3,0.4564
noteOn,13200,119,43:96,G2,G2,0.4564
noteOn,13320,119,53:96,F3,F3,0.4564
noteOn,13320,119,41:96,F2,F2,0.4564
noteOn,13440,119,51:96,Eb3,Eb3,0.4564
noteOn,13440,119,39:96,Eb2,Eb2,0.4564
noteOn,13560,119,50:96,D3,D3,0.4564
noteOn,13560,119,38:96,D2,D2,0.4564
noteOn,13680,119,63:96,Eb4,Eb4,0.4564
noteOn,13680,119,51:96,Eb3,Eb3,0.4564
noteOn,13800,119,62:96,D4,D4,0.4564
noteOn,13800,119,50:96,D3,D3,0.4564
noteOn,13920,119,60:96,C4,C4,0.4564
noteOn,13920,119,48:96,C3,C3,0.4564
noteOn,14040,119,59:96,B3,B3,0.4564
noteOn,14040,119,47:96,B2,B2,0.4564
noteOn,14160,119,60:96,C4,C4,0.4564
noteOn,14160,119,48:96,C3,C3,0.4564
noteOn,14280,119,59:96,B3,B3,0.4564
noteOn,14280,119,47:96,B2,B2,0.4564
noteOn,14400,119,56:96,Ab3,Ab3,0.4564
noteOn,14400,119,44:96,Ab2,Ab2,0.4564
noteOn,14520,119,55:96,G3,G3,0.4564
noteOn,14520,119,43:96,G2,G2,0.4564
noteOn,14640,119,56:96,Ab3,Ab3,0.4564
noteOn,14640,119,44:96,Ab2,Ab2,0.4564
noteOn,14760,119,55:96,G3,G3,0.4564
noteOn,14760,119,43:96,G2,G2,0.4564
noteOn,14880,119,53:96,F3,F3,0.4564
noteOn,14880,119,41:96,F2,F2,0.4564
noteOn,15000,119,51:96,Eb3,Eb3,0.4108
noteOn,15000,119,39:96,Eb2,Eb2,0.4108
noteOn,15120,119,53:96,F3,F3,0.3651
noteOn,15120,119,41:96,F2,F2,0.3651
noteOn,15240,119,51:96,Eb3,Eb3,0.3195
noteOn,15240,119,39:96,Eb2,Eb2,0.3195
noteOn,15360,239,48:96,C3,C3,0.2739
noteOn,15360,119,36:96,C2,C2,0.2739
noteOn,15480,119,43:96,G2,G2,0.2282
noteOn,15600,119,48:96,C3,C3,0.2282
noteOn,15720,119,50:96,D3,D3,0.2282
noteOn,15840,119,51:96,Eb3,Eb3,0.2282
noteOn,15960,119,55:96,G3,G3,0.2282
noteOn,16080,119,60:96,C4,C4,0.2282
noteOn,16200,119,62:96,D4,D4,0.2282
noteOn,16320,119,63:96,Eb4,Eb4,0.2282
noteOn,16440,119,62:96,D4,D4,0.2282
noteOn,16560,119,60:96,C4,C4,0.2282
noteOn,16680,119,55:96,G3,G3,0.2282
