type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1992,1271,59:46,B3,B3,0.0456,P5,117,4/4,C Major
note,3043,1546,40:22,E2,E2,0.1369,P1,117,4/4,C Major
note,3133,1098,64:55,E4,E4,0.0913,m6,117,4/4,C Major
note,3138,732,56:41,G#3,Ab3,0.0456,M6,117,4/4,C Major
note,3735,65,47:49,B2,B2,0.1369,P1,117,4/4,C Major
note,3870,326,59:39,B3,B3,0.1369,M3,117,4/4,C Major
note,4191,391,63:66,D#4,Eb4,0.2282,P5,117,4/4,C Major
note,4219,190,56:40,G#3,Ab3,0.1826,M6,117,4/4,C Major
note,4533,324,47:32,B2,B2,0.3195,P4,117,4/4,C Major
note,4548,76,64:74,E4,E4,0.2739,P4,117,4/4,C Major
note,4591,80,59:6,B3,B3,0.2282,P1,117,4/4,C Major
note,4868,1393,35:36,B1,B1,0.1826,P5,117,4/4,C Major
note,4961,1814,66:60,F#4,Gb4,0.1369,m3,117,4/4,C Major
note,4988,1787,63:46,D#4,Eb4,0.0913,d5,117,4/4,C Major
note,4990,562,57:40,A3,A3,0.0913,m7,117,4/4,C Major
note,5469,51,47:47,B2,B2,0.1369,P1,117,4/4,C Major
note,5555,368,59:46,B3,B3,0.0913,M2,117,4/4,C Major
note,5910,293,57:40,A3,A3,0.1369,m7,117,4/4,C Major
note,6212,55,47:41,B2,B2,0.1826,P1,117,4/4,C Major
note,6213,391,59:40,B3,B3,0.1369,P1,117,4/4,C Major
note,6559,1544,35:35,B1,B1,0.1369,m7,117,4/4,C Major
note,6627,157,57:39,A3,A3,0.0913,m7,117,4/4,C Major
note,7039,225,47:41,B2,B2,0.1369,M6,117,4/4,C Major
note,7184,209,68:65,G#4,Ab4,0.2282,M6,117,4/4,C Major
note,7200,74,59:43,B3,B3,0.1826,M6,117,4/4,C Major
note,7543,337,68:70,G#4,Ab4,0.2739,M7,117,4/4,C Major
note,7570,53,57:41,A3,A3,0.2282,d5,117,4/4,C Major
note,7585,276,63:37,D#4,Eb4,0.1826,m3,117,4/4,C Major
note,7849,88,66:80,F#4,Gb4,0.3195,P5,117,4/4,C Major
note,7865,48,47:45,B2,B2,0.2739,P1,117,4/4,C Major
note,7886,34,59:46,B3,B3,0.2282,P5,117,4/4,C Major
note,8178,1208,40:37,E2,E2,0.1826,M3,117,4/4,C Major
note,8227,1616,68:63,G#4,Ab4,0.2282,M3,117,4/4,C Major
note,8247,1434,64:40,E4,E4,0.1826,m6,117,4/4,C Major
note,8251,463,56:39,G#3,Ab3,0.1369,M6,117,4/4,C Major
note,8667,47,47:57,B2,B2,0.1369,P1,117,4/4,C Major
note,8676,361,59:39,B3,B3,0.0913,m3,117,4/4,C Major
note,8990,329,56:43,G#3,Ab3,0.1369,m3,117,4/4,C Major
note,9292,364,59:53,B3,B3,0.1826,P1,117,4/4,C Major
