type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1501,134,68:99,G#4,Ab4,0.5613,P1,117,4/4,C Major
note,1504,66,56:94,G#3,Ab3,0.5103,P1,117,4/4,C Major
note,1508,243,44:77,G#2,Ab2,0.4593,P1,117,4/4,C Major
note,1508,138,80:96,G#5,Ab5,0.4593,M2,117,4/4,C Major
note,1569,124,78:81,F#5,Gb5,0.4082,M2,117,4/4,C Major
note,1640,65,76:74,E5,E5,0.3572,m2,117,4/4,C Major
note,1696,96,75:83,D#5,Eb5,0.3572,M2,117,4/4,C Major
note,1766,48,49:99,C#3,Db3,0.3572,P1,117,4/4,C Major
note,1769,140,73:102,C#5,Db5,0.3062,P1,117,4/4,C Major
note,1771,35,37:86,C#2,Db2,0.2552,P1,117,4/4,C Major
note,1779,51,85:93,C#6,Db6,0.2041,m7,117,4/4,C Major
note,1931,67,75:60,D#5,Eb5,0.4082,m3,117,4/4,C Major
note,2041,62,72:55,C5,C5,0.4082,m2,117,4/4,C Major
note,2119,69,73:52,C#5,Db5,0.5613,M3,117,4/4,C Major
note,2172,32,69:51,A4,A4,0.5103,d5,117,4/4,C Major
note,2174,45,75:55,D#5,Eb5,0.4593,M6,117,4/4,C Major
note,2178,37,66:44,F#4,Gb4,0.4082,m7,117,4/4,C Major
note,2228,36,76:59,E5,E5,0.4082,m3,117,4/4,C Major
note,2312,52,73:51,C#5,Db5,0.4082,M2,117,4/4,C Major
note,2369,83,75:56,D#5,Eb5,0.5103,P5,117,4/4,C Major
note,2430,31,68:54,G#4,Ab4,0.5103,M3,117,4/4,C Major
note,2431,35,64:54,E4,E4,0.4593,P1,117,4/4,C Major
note,2437,59,76:66,E5,E5,0.4082,M2,117,4/4,C Major
note,2502,51,78:68,F#5,Gb5,0.4082,m3,117,4/4,C Major
note,2577,70,75:56,D#5,Eb5,0.5103,m2,117,4/4,C Major
note,2634,86,76:65,E5,E5,0.5103,M2,117,4/4,C Major
note,2705,72,78:73,F#5,Gb5,0.5103,P1,117,4/4,C Major
note,2706,28,66:59,F#4,Gb4,0.4593,m3,117,4/4,C Major
note,2707,28,63:60,D#4,Eb4,0.4082,P4,117,4/4,C Major
note,2767,50,80:71,G#5,Ab5,0.4082,M3,117,4/4,C Major
note,2836,91,76:68,E5,E5,0.4082,M2,117,4/4,C Major
note,2914,77,78:68,F#5,Gb5,0.6124,P4,117,4/4,C Major
note,2951,33,61:70,C#4,Db4,0.5613,m3,117,4/4,C Major
note,2953,21,64:57,E4,E4,0.5103,M3,117,4/4,C Major
note,2965,60,80:73,G#5,Ab5,0.4593,m2,117,4/4,C Major
note,3037,43,81:66,A5,A5,0.4593,m2,117,4/4,C Major
note,3109,45,80:62,G#5,Ab5,0.4593,P4,117,4/4,C Major
note,3165,96,85:79,C#6,Db6,0.6124,P5,117,4/4,C Major
note,3224,27,66:67,F#4,Gb4,0.6124,P4,117,4/4,C Major
note,3227,28,61:63,C#4,Db4,0.5613,P4,117,4/4,C Major
note,3230,74,78:79,F#5,Gb5,0.5103,M6,117,4/4,C Major
note,3232,25,57:54,A3,A3,0.4593,M7,117,4/4,C Major
note,3292,81,80:79,G#5,Ab5,0.4593,M2,117,4/4,C Major
note,3370,56,78:79,F#5,Gb5,0.4593,P5,117,4/4,C Major
note,3435,81,85:82,C#6,Db6,0.6634,M6,117,4/4,C Major
note,3498,29,64:65,E4,E4,0.6634,P1,117,4/4,C Major
note,3498,55,76:82,E5,E5,0.6634,m6,117,4/4,C Major
note,3501,32,56:63,G#3,Ab3,0.5613,P4,117,4/4,C Major
note,3501,25,61:62,C#4,Db4,0.5613,P4,117,4/4,C Major
note,3558,68,78:76,F#5,Gb5,0.5613,M2,117,4/4,C Major
note,3641,48,76:62,E5,E5,0.6634,M6,117,4/4,C Major
note,3692,89,85:70,C#6,Db6,0.6124,P1,117,4/4,C Major
note,3757,27,61:62,C#4,Db4,0.6124,M2,117,4/4,C Major
note,3763,51,75:72,D#5,Eb5,0.6124,M6,117,4/4,C Major
note,3767,33,54:50,F#3,Gb3,0.5613,M6,117,4/4,C Major
note,3796,21,63:4,D#4,Eb4,0.5103,m2,117,4/4,C Major
