type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1503,29,44:93,G#2,Ab2,0.6124,P1,117,4/4,C Major
note,1503,20,56:88,G#3,Ab3,0.6124,P1,117,4/4,C Major
note,1514,77,68:79,G#4,Ab4,0.5103,P1,117,4/4,C Major
note,1517,107,80:80,G#5,Ab5,0.4593,M2,117,4/4,C Major
note,1588,109,78:66,F#5,Gb5,0.4593,M2,117,4/4,C Major
note,1663,59,76:63,E5,E5,0.5613,m2,117,4/4,C Major
note,1700,61,75:68,D#5,Eb5,0.5613,M2,117,4/4,C Major
note,1760,35,49:98,C#3,Db3,0.5613,P1,117,4/4,C Major
note,1766,23,37:73,C#2,Db2,0.5103,P1,117,4/4,C Major
note,1775,84,73:85,C#5,Db5,0.5103,P1,117,4/4,C Major
note,1782,51,85:81,C#6,Db6,0.4593,m7,117,4/4,C Major
note,1871,25,75:70,D#5,Eb5,0.4593,m3,117,4/4,C Major
note,1941,44,72:67,C5,C5,0.5613,m2,117,4/4,C Major
note,1989,58,73:65,C#5,Db5,0.5613,P5,117,4/4,C Major
note,2018,23,66:78,F#4,Gb4,0.5613,m3,117,4/4,C Major
note,2025,19,69:62,A4,A4,0.5103,d5,117,4/4,C Major
note,2048,55,75:67,D#5,Eb5,0.4593,m2,117,4/4,C Major
note,2095,43,76:64,E5,E5,0.4593,m3,117,4/4,C Major
note,2158,40,73:55,C#5,Db5,0.5613,M2,117,4/4,C Major
note,2214,52,75:60,D#5,Eb5,0.5613,P5,117,4/4,C Major
note,2271,25,68:51,G#4,Ab4,0.5613,M3,117,4/4,C Major
note,2274,29,64:45,E4,E4,0.5103,P1,117,4/4,C Major
note,2280,42,76:63,E5,E5,0.4593,M2,117,4/4,C Major
note,2335,25,78:53,F#5,Gb5,0.4593,m3,117,4/4,C Major
note,2376,53,75:65,D#5,Eb5,0.5103,m2,117,4/4,C Major
note,2447,65,76:62,E5,E5,0.5613,m7,117,4/4,C Major
note,2511,25,66:64,F#4,Gb4,0.5613,m3,117,4/4,C Major
note,2517,26,63:54,D#4,Eb4,0.5103,m3,117,4/4,C Major
note,2520,46,78:67,F#5,Gb5,0.4593,M2,117,4/4,C Major
note,2573,38,80:63,G#5,Ab5,0.4593,M3,117,4/4,C Major
note,2638,36,76:56,E5,E5,0.6124,M2,117,4/4,C Major
note,2692,67,78:62,F#5,Gb5,0.6124,M2,117,4/4,C Major
note,2757,49,80:64,G#5,Ab5,0.6124,P5,117,4/4,C Major
note,2758,23,61:53,C#4,Db4,0.5613,m3,117,4/4,C Major
note,2772,31,64:40,E4,E4,0.5103,P4,117,4/4,C Major
note,2815,31,81:63,A5,A5,0.5103,m2,117,4/4,C Major
note,2870,24,80:62,G#5,Ab5,0.6634,P4,117,4/4,C Major
note,2933,62,85:76,C#6,Db6,0.6634,P5,117,4/4,C Major
note,2992,24,66:53,F#4,Gb4,0.6634,M6,117,4/4,C Major
note,2993,24,57:52,A3,A3,0.6124,M3,117,4/4,C Major
note,2997,31,61:40,C#4,Db4,0.5613,P4,117,4/4,C Major
note,2997,50,78:73,F#5,Gb5,0.5613,M2,117,4/4,C Major
note,3055,60,80:73,G#5,Ab5,0.5103,M2,117,4/4,C Major
note,3115,66,78:65,F#5,Gb5,0.6634,P5,117,4/4,C Major
note,3179,60,85:74,C#6,Db6,0.6634,P4,117,4/4,C Major
note,3230,27,56:57,G#3,Ab3,0.6634,P4,117,4/4,C Major
note,3232,25,61:59,C#4,Db4,0.6124,m3,117,4/4,C Major
note,3237,51,76:79,E5,E5,0.5613,P1,117,4/4,C Major
note,3245,31,64:40,E4,E4,0.6124,M2,117,4/4,C Major
note,3301,90,78:65,F#5,Gb5,0.6124,M2,117,4/4,C Major
note,3359,31,76:54,E5,E5,0.6634,M6,117,4/4,C Major
note,3393,66,85:72,C#6,Db6,0.6634,P5,117,4/4,C Major
note,3460,25,54:53,F#3,Gb3,0.6634,M6,117,4/4,C Major
note,3463,30,63:39,D#4,Eb4,0.6124,P1,117,4/4,C Major
note,3469,51,75:82,D#5,Eb5,0.5613,M2,117,4/4,C Major
note,3472,33,61:34,C#4,Db4,0.5103,m3,117,4/4,C Major
