type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512819,117,,,,,,
note,1918,106,80:81,G#5,Ab5,0.5934,P1,117,4/4,C Major
note,1922,46,68:74,G#4,Ab4,0.5477,P1,117,4/4,C Major
note,1925,33,56:81,G#3,Ab3,0.5021,P1,117,4/4,C Major
note,1928,35,44:83,G#2,Ab2,0.4564,m7,117,4/4,C Major
note,1989,76,78:67,F#5,Gb5,0.4564,M2,117,4/4,C Major
note,2054,59,76:67,E5,E5,0.4564,m2,117,4/4,C Major
note,2118,73,75:73,D#5,Eb5,0.4564,M2,117,4/4,C Major
note,2199,63,73:82,C#5,Db5,0.4564,P1,117,4/4,C Major
note,2206,28,85:79,C#6,Db6,0.4108,P1,117,4/4,C Major
note,2224,28,37:80,C#2,Db2,0.4108,P1,117,4/4,C Major
note,2224,35,49:79,C#3,Db3,0.4108,M2,117,4/4,C Major
note,2308,71,75:73,D#5,Eb5,0.3651,m3,117,4/4,C Major
note,2370,55,72:66,C5,C5,0.4564,m2,117,4/4,C Major
note,2455,80,73:66,C#5,Db5,0.4564,M2,117,4/4,C Major
note,2533,77,75:70,D#5,Eb5,0.4108,d5,117,4/4,C Major
note,2566,24,69:50,A4,A4,0.3651,P5,117,4/4,C Major
note,2615,44,76:63,E5,E5,0.3651,m3,117,4/4,C Major
note,2688,55,73:66,C#5,Db5,0.4564,M2,117,4/4,C Major
note,2761,91,75:62,D#5,Eb5,0.4564,M7,117,4/4,C Major
note,2848,26,64:51,E4,E4,0.4564,M3,117,4/4,C Major
note,2848,29,68:53,G#4,Ab4,0.4564,m6,117,4/4,C Major
note,2849,65,76:65,E5,E5,0.3651,M2,117,4/4,C Major
note,2921,53,78:61,F#5,Gb5,0.3651,M2,117,4/4,C Major
note,3080,57,76:54,E5,E5,0.5021,M2,117,4/4,C Major
note,3149,56,78:56,F#5,Gb5,0.5021,P1,117,4/4,C Major
note,3153,30,66:44,F#4,Gb4,0.4564,m3,117,4/4,C Major
note,3157,29,63:49,D#4,Eb4,0.4108,P4,117,4/4,C Major
note,3214,64,80:66,G#5,Ab5,0.3651,M3,117,4/4,C Major
note,3307,35,76:57,E5,E5,0.5021,M2,117,4/4,C Major
note,3387,73,78:58,F#5,Gb5,0.5477,M2,117,4/4,C Major
note,3457,52,80:66,G#5,Ab5,0.5477,P5,117,4/4,C Major
note,3460,38,61:56,C#4,Db4,0.5021,m3,117,4/4,C Major
note,3466,35,64:39,E4,E4,0.4564,P4,117,4/4,C Major
note,3550,73,81:59,A5,A5,0.4564,m2,117,4/4,C Major
note,3618,50,80:65,G#5,Ab5,0.5477,M3,117,4/4,C Major
note,3741,52,84:19,C6,C6,0.5477,d5,117,4/4,C Major
note,3759,56,78:68,F#5,Gb5,0.5477,P4,117,4/4,C Major
note,3766,41,61:52,C#4,Db4,0.5021,P4,117,4/4,C Major
