type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1504,66,68:80,G#4,Ab4,0.7144,P1,117,4/4,C Major
note,1507,22,56:90,G#3,Ab3,0.6634,P1,117,4/4,C Major
note,1508,53,44:89,G#2,Ab2,0.6124,P1,117,4/4,C Major
note,1508,142,80:89,G#5,Ab5,0.6124,M2,117,4/4,C Major
note,1582,96,78:72,F#5,Gb5,0.5613,M2,117,4/4,C Major
note,1631,76,76:71,E5,E5,0.5103,m2,117,4/4,C Major
note,1700,50,75:73,D#5,Eb5,0.6634,M2,117,4/4,C Major
note,1752,30,49:97,C#3,Db3,0.6124,P1,117,4/4,C Major
note,1757,19,37:90,C#2,Db2,0.5613,P1,117,4/4,C Major
note,1758,70,73:85,C#5,Db5,0.5103,P1,117,4/4,C Major
note,1770,19,85:68,C#6,Db6,0.5103,m3,117,4/4,C Major
note,1788,32,82:55,A#5,Bb5,0.4593,P5,117,4/4,C Major
note,1860,27,75:63,D#5,Eb5,0.4593,m3,117,4/4,C Major
note,1876,80,72:58,C5,C5,0.5613,m2,117,4/4,C Major
note,1957,72,73:62,C#5,Db5,0.5613,M2,117,4/4,C Major
note,2020,68,75:62,D#5,Eb5,0.5613,M6,117,4/4,C Major
note,2029,25,66:64,F#4,Gb4,0.5103,m3,117,4/4,C Major
note,2029,21,69:54,A4,A4,0.5103,P5,117,4/4,C Major
note,2083,48,76:62,E5,E5,0.4593,m3,117,4/4,C Major
note,2150,50,73:52,C#5,Db5,0.6124,M2,117,4/4,C Major
note,2219,37,75:53,D#5,Eb5,0.6124,P5,117,4/4,C Major
note,2251,26,68:64,G#4,Ab4,0.5613,m6,117,4/4,C Major
note,2251,58,76:59,E5,E5,0.5613,P1,117,4/4,C Major
note,2254,24,64:64,E4,E4,0.4593,M2,117,4/4,C Major
note,2314,44,78:62,F#5,Gb5,0.4593,m3,117,4/4,C Major
note,2370,52,75:57,D#5,Eb5,0.5613,m2,117,4/4,C Major
note,2435,50,76:65,E5,E5,0.5613,m7,117,4/4,C Major
note,2476,26,66:65,F#4,Gb4,0.5613,P1,117,4/4,C Major
note,2484,63,78:56,F#5,Gb5,0.5103,m3,117,4/4,C Major
note,2487,25,63:47,D#4,Eb4,0.4593,P4,117,4/4,C Major
note,2533,35,80:64,G#5,Ab5,0.4593,M3,117,4/4,C Major
note,2598,47,76:61,E5,E5,0.6124,M2,117,4/4,C Major
note,2667,48,78:66,F#5,Gb5,0.6634,M2,117,4/4,C Major
note,2702,51,80:65,G#5,Ab5,0.6124,M3,117,4/4,C Major
note,2714,24,64:49,E4,E4,0.6124,m3,117,4/4,C Major
note,2728,35,61:33,C#4,Db4,0.5613,m6,117,4/4,C Major
note,2759,39,81:62,A5,A5,0.5103,m2,117,4/4,C Major
note,2825,45,80:56,G#5,Ab5,0.6634,P4,117,4/4,C Major
note,2882,36,85:69,C#6,Db6,0.6124,P5,117,4/4,C Major
note,2924,26,66:56,F#4,Gb4,0.6124,M6,117,4/4,C Major
note,2928,27,57:59,A3,A3,0.5613,M3,117,4/4,C Major
note,2930,25,61:48,C#4,Db4,0.5103,P4,117,4/4,C Major
note,2930,44,78:69,F#5,Gb5,0.5103,M2,117,4/4,C Major
note,2983,41,80:63,G#5,Ab5,0.4593,M2,117,4/4,C Major
note,3037,53,78:49,F#5,Gb5,0.6124,P5,117,4/4,C Major
note,3092,42,85:69,C#6,Db6,0.6124,M6,117,4/4,C Major
note,3158,26,76:54,E5,E5,0.6634,m6,117,4/4,C Major
note,3159,25,56:62,G#3,Ab3,0.6124,m6,117,4/4,C Major
note,3159,28,64:47,E4,E4,0.6124,M2,117,4/4,C Major
note,3196,41,78:52,F#5,Gb5,0.5613,M2,117,4/4,C Major
note,3267,42,76:61,E5,E5,0.6634,M6,117,4/4,C Major
note,3326,39,85:47,C#6,Db6,0.6634,m7,117,4/4,C Major
note,3386,31,75:66,D#5,Eb5,0.7144,M6,117,4/4,C Major
note,3390,26,54:55,F#3,Gb3,0.6634,M6,117,4/4,C Major
note,3395,33,63:36,D#4,Eb4,0.6124,M2,117,4/4,C Major
note,3416,43,61:15,C#4,Db4,0.5613,m3,117,4/4,C Major
