type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,744,125,80:87,G#5,Ab5,0.6124,P1,120,4/4,C Major
note,749,37,68:77,G#4,Ab4,0.5613,P1,120,4/4,C Major
note,752,30,44:77,G#2,Ab2,0.5103,P1,120,4/4,C Major
note,752,25,56:76,G#3,Ab3,0.5103,m7,120,4/4,C Major
note,811,117,78:76,F#5,Gb5,0.4593,M2,120,4/4,C Major
note,880,75,76:73,E5,E5,0.4593,m2,120,4/4,C Major
note,939,52,75:86,D#5,Eb5,0.5613,M2,120,4/4,C Major
note,1002,44,49:97,C#3,Db3,0.5613,P1,120,4/4,C Major
note,1006,30,37:83,C#2,Db2,0.5103,P1,120,4/4,C Major
note,1010,66,85:91,C#6,Db6,0.4593,P1,120,4/4,C Major
note,1013,27,73:70,C#5,Db5,0.4082,M2,120,4/4,C Major
note,1098,32,75:68,D#5,Eb5,0.4082,m3,120,4/4,C Major
note,1152,62,72:60,C5,C5,0.4082,m2,120,4/4,C Major
note,1233,76,73:53,C#5,Db5,0.5103,P5,120,4/4,C Major
note,1291,26,66:53,F#4,Gb4,0.5103,m3,120,4/4,C Major
note,1291,24,69:50,A4,A4,0.5103,d5,120,4/4,C Major
note,1299,53,75:58,D#5,Eb5,0.4082,m2,120,4/4,C Major
note,1365,52,76:61,E5,E5,0.4082,m3,120,4/4,C Major
note,1444,46,73:59,C#5,Db5,0.4593,M2,120,4/4,C Major
note,1507,71,75:55,D#5,Eb5,0.5613,M7,120,4/4,C Major
note,1570,28,64:54,E4,E4,0.5613,P1,120,4/4,C Major
note,1573,57,76:66,E5,E5,0.5103,m6,120,4/4,C Major
note,1575,27,68:48,G#4,Ab4,0.4593,m7,120,4/4,C Major
note,1646,30,78:59,F#5,Gb5,0.4593,m3,120,4/4,C Major
note,1698,46,75:64,D#5,Eb5,0.4593,m2,120,4/4,C Major
note,1792,55,76:29,E5,E5,0.5613,m2,120,4/4,C Major
note,1797,37,77:38,F5,F5,0.5103,M7,120,4/4,C Major
note,1841,24,66:54,F#4,Gb4,0.5103,m3,120,4/4,C Major
note,1847,24,63:50,D#4,Eb4,0.4593,m3,120,4/4,C Major
note,1853,53,78:66,F#5,Gb5,0.4082,M2,120,4/4,C Major
note,1926,40,80:57,G#5,Ab5,0.4082,M3,120,4/4,C Major
note,1978,59,76:47,E5,E5,0.4082,M2,120,4/4,C Major
note,2051,60,78:58,F#5,Gb5,0.5613,M2,120,4/4,C Major
note,2116,37,80:64,G#5,Ab5,0.5613,M3,120,4/4,C Major
note,2121,30,64:65,E4,E4,0.5103,m3,120,4/4,C Major
note,2131,25,61:52,C#4,Db4,0.4593,m6,120,4/4,C Major
note,2186,61,81:53,A5,A5,0.4593,m2,120,4/4,C Major
note,2257,49,80:63,G#5,Ab5,0.4593,P4,120,4/4,C Major
note,2330,30,85:50,C#6,Db6,0.5613,P5,120,4/4,C Major
note,2379,25,66:67,F#4,Gb4,0.5613,M6,120,4/4,C Major
note,2381,31,57:61,A3,A3,0.5103,M6,120,4/4,C Major
note,2387,41,78:65,F#5,Gb5,0.4593,P4,120,4/4,C Major
note,2394,28,61:46,C#4,Db4,0.4082,P5,120,4/4,C Major
note,2454,50,80:56,G#5,Ab5,0.4082,M2,120,4/4,C Major
note,2524,63,78:61,F#5,Gb5,0.4082,P5,120,4/4,C Major
note,2608,21,85:55,C#6,Db6,0.5613,M6,120,4/4,C Major
note,2648,26,64:74,E4,E4,0.5103,m6,120,4/4,C Major
note,2654,32,56:64,G#3,Ab3,0.4593,m6,120,4/4,C Major
note,2657,45,76:69,E5,E5,0.4082,M2,120,4/4,C Major
note,2730,34,78:60,F#5,Gb5,0.4082,M2,120,4/4,C Major
note,2803,24,76:46,E5,E5,0.5103,M6,120,4/4,C Major
note,2872,20,85:56,C#6,Db6,0.5613,m7,120,4/4,C Major
note,2929,35,75:68,D#5,Eb5,0.5613,P1,120,4/4,C Major
note,2932,30,63:68,D#4,Eb4,0.5103,M6,120,4/4,C Major
note,2935,28,54:63,F#3,Gb3,0.4593,m7,120,4/4,C Major
note,2981,60,76:59,E5,E5,0.4593,m2,120,4/4,C Major
