type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,480,480,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,996,28,68:80,G#4,Ab4,0.5477,P1,120,4/4,C Major
note,996,93,80:93,G#5,Ab5,0.5477,P1,120,4/4,C Major
note,1010,33,56:68,G#3,Ab3,0.4564,P1,120,4/4,C Major
note,1016,45,44:67,G#2,Ab2,0.4108,m7,120,4/4,C Major
note,1081,93,78:73,F#5,Gb5,0.5021,M2,120,4/4,C Major
note,1129,69,76:82,E5,E5,0.5021,d5,120,4/4,C Major
note,1131,34,46:56,A#2,Bb2,0.4564,P4,120,4/4,C Major
note,1206,30,75:74,D#5,Eb5,0.4564,M2,120,4/4,C Major
note,1249,30,49:95,C#3,Db3,0.4564,P1,120,4/4,C Major
note,1263,47,85:94,C#6,Db6,0.4108,P1,120,4/4,C Major
note,1270,24,73:95,C#5,Db5,0.3651,m2,120,4/4,C Major
note,1447,56,72:58,C5,C5,0.5477,m2,120,4/4,C Major
note,1510,42,73:68,C#5,Db5,0.5477,M3,120,4/4,C Major
note,1552,40,69:66,A4,A4,0.5021,m3,120,4/4,C Major
note,1560,40,66:58,F#4,Gb4,0.5021,M6,120,4/4,C Major
note,1580,49,75:60,D#5,Eb5,0.4564,m2,120,4/4,C Major
note,1645,54,76:57,E5,E5,0.4108,m3,120,4/4,C Major
note,1694,46,73:63,C#5,Db5,0.5021,M2,120,4/4,C Major
note,1775,46,75:58,D#5,Eb5,0.5021,P5,120,4/4,C Major
note,1831,43,68:60,G#4,Ab4,0.4564,m6,120,4/4,C Major
note,1832,72,76:67,E5,E5,0.4108,P1,120,4/4,C Major
note,1849,31,64:49,E4,E4,0.4108,M2,120,4/4,C Major
note,1908,67,78:70,F#5,Gb5,0.3651,m3,120,4/4,C Major
note,1983,40,75:59,D#5,Eb5,0.4564,m2,120,4/4,C Major
note,2038,58,76:70,E5,E5,0.4564,m2,120,4/4,C Major
note,2127,44,63:62,D#4,Eb4,0.4564,m3,120,4/4,C Major
note,2133,67,78:67,F#5,Gb5,0.4108,P1,120,4/4,C Major
note,2143,37,66:54,F#4,Gb4,0.3651,M2,120,4/4,C Major
note,2220,58,80:74,G#5,Ab5,0.3651,M3,120,4/4,C Major
note,2319,33,76:45,E5,E5,0.5021,m3,120,4/4,C Major
note,2425,43,61:52,C#4,Db4,0.5477,m3,120,4/4,C Major
note,2426,52,64:63,E4,E4,0.5021,M3,120,4/4,C Major
note,2431,68,80:72,G#5,Ab5,0.4564,m2,120,4/4,C Major
note,2512,35,81:76,A5,A5,0.4564,m2,120,4/4,C Major
note,2587,50,80:69,G#5,Ab5,0.5477,P4,120,4/4,C Major
note,2668,66,85:78,C#6,Db6,0.5477,M3,120,4/4,C Major
note,2734,44,57:51,A3,A3,0.5477,M6,120,4/4,C Major
note,2740,41,66:65,F#4,Gb4,0.5021,P1,120,4/4,C Major
